datetime,epoch_ms,ts_millis,sensor,temperature_c,pressure_hpa,altitude_m
2026-05-21 00:21:08.651,1206408107,310651,BME280,28.38,1005.98,60.698
2026-05-21 00:21:08.651,1206408107,310651,BME280,28.38,1005.98,60.698
2026-05-21 00:21:14.056,1206413512,316056,BME280,28.41,1005.95,60.923
2026-05-21 00:21:14.256,1206413712,316256,BME280,28.41,1005.95,60.923
2026-05-21 00:21:14.456,1206413912,316456,BME280,28.41,1005.95,60.923
2026-05-21 00:21:14.656,1206414112,316656,BME280,28.41,1005.95,60.923
2026-05-21 00:21:14.656,1206414112,316656,BME280,28.41,1005.95,60.923
2026-05-21 00:21:19.739,1206419195,321739,BME280,28.45,1005.98,60.744
2026-05-21 00:21:20.939,1206420395,321939,BME280,28.45,1005.98,60.744
2026-05-21 00:21:20.139,1206419595,322139,BME280,28.45,1005.95,60.946
2026-05-21 00:21:20.339,1206419795,322339,BME280,28.45,1005.95,60.946
2026-05-21 00:21:20.539,1206419995,322539,BME280,28.45,1005.95,60.946
2026-05-21 00:21:20.539,1206419995,322539,BME280,28.45,1005.95,60.946
2026-05-21 00:21:25.642,1206425098,327642,BME280,28.49,1005.97,60.748
2026-05-21 00:21:25.842,1206425298,327842,BME280,28.49,1005.97,60.748
2026-05-21 00:21:26.042,1206425498,328042,BME280,28.5,1005.98,60.719
2026-05-21 00:21:26.242,1206425698,328242,BME280,28.5,1005.98,60.719
2026-05-21 00:21:26.442,1206425898,328442,BME280,28.5,1005.98,60.719
2026-05-21 00:21:26.642,1206426098,328642,BME280,28.5,1005.98,60.719
2026-05-21 00:21:26.842,1206426298,328842,BME280,28.5,1005.98,60.719
2026-05-21 00:21:27.042,1206426498,329042,BME280,28.5,1005.96,60.844
2026-05-21 00:21:27.242,1206426698,329242,BME280,28.5,1005.96,60.844
2026-05-21 00:21:27.442,1206426898,329442,BME280,28.5,1005.96,60.844
2026-05-21 00:21:27.442,1206426898,329442,BME280,28.5,1005.96,60.844
2026-05-21 00:21:32.522,1206431978,334521,BME280,28.52,1005.93,61.131
2026-05-21 00:21:32.721,1206432177,334721,BME280,28.52,1005.93,61.131
2026-05-21 00:21:33.921,1206433377,334921,BME280,28.52,1005.93,61.131
2026-05-21 00:21:33.121,1206432577,335121,BME280,28.54,1005.97,60.8
2026-05-21 00:21:33.121,1206432577,335121,BME280,28.54,1005.97,60.8
2026-05-21 00:21:38.191,1206437647,340191,BME280,28.56,1005.94,61.02
2026-05-21 00:21:38.391,1206437847,340391,BME280,28.56,1005.94,61.02
2026-05-21 00:21:38.591,1206438047,340591,BME280,28.56,1005.94,61.02
2026-05-21 00:21:38.791,1206438247,340791,BME280,28.56,1005.94,61.02
2026-05-21 00:21:39.991,1206439447,340991,BME280,28.59,1005.99,60.613
2026-05-21 00:21:39.191,1206438647,341191,BME280,28.59,1005.99,60.613
2026-05-21 00:21:39.391,1206438847,341391,BME280,28.59,1005.99,60.613
2026-05-21 00:21:39.591,1206439047,341591,BME280,28.59,1005.99,60.613
2026-05-21 00:21:39.791,1206439247,341791,BME280,28.59,1005.99,60.613
2026-05-21 00:21:40.991,1206440447,341991,BME280,28.59,1006.0,60.575
2026-05-21 00:21:40.191,1206439647,342191,BME280,28.59,1006.0,60.575
2026-05-21 00:21:40.391,1206439847,342391,BME280,28.59,1006.0,60.575
2026-05-21 00:21:40.591,1206440047,342591,BME280,28.59,1006.0,60.575
2026-05-21 00:21:40.791,1206440247,342791,BME280,28.59,1006.0,60.575
2026-05-21 00:21:43.849,1206443305,345848,BME280,28.61,1006.0,60.558
2026-05-21 00:21:44.048,1206443504,346048,BME280,28.62,1005.98,60.736
2026-05-21 00:21:44.248,1206443704,346248,BME280,28.62,1005.98,60.736
