datetime,epoch_ms,ts_millis,sensor,temperature_c,pressure_hpa,altitude_m
2026-05-22 15:34:57.943,1347637399,7943,BME280,29.25,1005.58,64.026
2026-05-22 15:34:57.296,1347636752,8296,BME280,29.25,1005.61,63.813
2026-05-22 15:34:57.562,1347637018,8562,BME280,29.25,1005.61,63.813
2026-05-22 15:34:57.762,1347637218,8762,BME280,29.25,1005.61,63.813
2026-05-22 15:34:58.121,1347637577,9121,BME280,29.25,1005.61,63.813
2026-05-22 15:34:58.515,1347637971,9515,BME280,29.24,1005.6,63.899
2026-05-22 15:34:58.715,1347638171,9715,BME280,29.24,1005.6,63.899
2026-05-22 15:34:59.915,1347639371,9915,BME280,29.24,1005.6,63.899
2026-05-22 15:34:59.115,1347638571,10115,BME280,29.24,1005.6,63.899
2026-05-22 15:34:59.315,1347638771,10315,BME280,29.23,1005.61,63.806
2026-05-22 15:34:59.515,1347638971,10515,BME280,29.23,1005.61,63.806
2026-05-22 15:34:59.715,1347639171,10715,BME280,29.23,1005.61,63.806
2026-05-22 15:35:00.345,1347639801,11345,BME280,29.23,1005.58,64.086
2026-05-22 15:35:00.545,1347640001,11545,BME280,29.23,1005.58,64.086
2026-05-22 15:35:00.745,1347640201,11745,BME280,29.23,1005.58,64.086
2026-05-22 15:35:01.945,1347641401,11945,BME280,29.23,1005.58,64.086
2026-05-22 15:35:01.145,1347640601,12145,BME280,29.23,1005.58,64.086
2026-05-22 15:35:01.345,1347640801,12345,BME280,29.23,1005.59,63.964
2026-05-22 15:35:01.545,1347641001,12545,BME280,29.23,1005.59,63.964
2026-05-22 15:35:01.745,1347641201,12745,BME280,29.23,1005.59,63.964
2026-05-22 15:35:02.945,1347642401,12945,BME280,29.23,1005.59,63.964
2026-05-22 15:35:02.145,1347641601,13145,BME280,29.23,1005.59,63.964
2026-05-22 15:35:02.345,1347641801,13345,BME280,29.22,1005.59,63.939
2026-05-22 15:35:02.545,1347642001,13545,BME280,29.22,1005.59,63.939
2026-05-22 15:35:02.745,1347642201,13745,BME280,29.22,1005.59,63.939
2026-05-22 15:35:03.945,1347643401,13945,BME280,29.22,1005.59,63.939
2026-05-22 15:35:03.145,1347642601,14145,BME280,29.22,1005.59,63.939
2026-05-22 15:35:03.345,1347642801,14345,BME280,29.21,1005.6,63.886
2026-05-22 15:35:03.545,1347643001,14545,BME280,29.21,1005.6,63.886
2026-05-22 15:35:03.745,1347643201,14745,BME280,29.21,1005.6,63.886
2026-05-22 15:35:04.945,1347644401,14945,BME280,29.21,1005.6,63.886
2026-05-22 15:35:04.145,1347643601,15145,BME280,29.21,1005.6,63.886
2026-05-22 15:35:04.345,1347643801,15345,BME280,29.2,1005.56,64.216
2026-05-22 15:35:04.545,1347644001,15545,BME280,29.2,1005.56,64.216
2026-05-22 15:35:04.745,1347644201,15745,BME280,29.2,1005.56,64.216
2026-05-22 16:01:50.805,1349250261,7805,BME280,30.34,1005.34,66.081
2026-05-22 16:01:51.005,1349250461,8005,BME280,30.34,1005.34,66.081
2026-05-22 16:01:51.205,1349250661,8205,BME280,30.34,1005.34,66.081
2026-05-22 16:01:51.405,1349250861,8405,BME280,30.35,1005.32,66.229
2026-05-22 16:01:51.605,1349251061,8605,BME280,30.35,1005.32,66.229
2026-05-22 16:01:51.805,1349251261,8805,BME280,30.35,1005.32,66.229
2026-05-22 16:01:52.005,1349251461,9005,BME280,30.35,1005.32,66.229
2026-05-22 16:01:52.205,1349251661,9205,BME280,30.35,1005.32,66.229
2026-05-22 16:01:52.405,1349251861,9405,BME280,30.37,1005.33,66.129
2026-05-22 16:01:52.605,1349252061,9605,BME280,30.37,1005.33,66.129
2026-05-22 16:01:52.805,1349252261,9805,BME280,30.37,1005.33,66.129
2026-05-22 16:01:53.005,1349252461,10005,BME280,30.37,1005.33,66.129
2026-05-22 16:01:53.205,1349252661,10205,BME280,30.37,1005.33,66.129
2026-05-22 16:01:53.405,1349252861,10405,BME280,30.38,1005.35,65.992
2026-05-22 16:01:53.605,1349253061,10605,BME280,30.38,1005.35,65.992
2026-05-22 16:01:53.805,1349253261,10805,BME280,30.38,1005.35,65.992
2026-05-22 16:01:54.005,1349253461,11005,BME280,30.38,1005.35,65.992
2026-05-22 16:01:54.205,1349253661,11205,BME280,30.38,1005.35,65.992
2026-05-22 16:01:54.405,1349253861,11405,BME280,30.4,1005.37,65.789
2026-05-22 16:01:54.605,1349254061,11605,BME280,30.4,1005.37,65.789
2026-05-22 16:01:54.805,1349254261,11805,BME280,30.4,1005.37,65.789
2026-05-22 16:01:55.005,1349254461,12005,BME280,30.4,1005.37,65.789
2026-05-22 16:01:55.205,1349254661,12205,BME280,30.4,1005.37,65.789
2026-05-22 16:01:55.405,1349254861,12405,BME280,30.4,1005.34,66.071
2026-05-22 16:01:55.605,1349255061,12605,BME280,30.4,1005.34,66.071
2026-05-22 16:01:55.805,1349255261,12805,BME280,30.4,1005.34,66.071
