datetime,epoch_ms,ts_millis,sensor,temperature_c,pressure_hpa,altitude_m
2026-05-23 12:36:48.892,1423348348,5892,BME280,23.42,1008.14,42.605
2026-05-23 12:36:49.092,1423348548,6092,BME280,23.42,1008.14,42.605
2026-05-23 12:36:49.292,1423348748,6292,BME280,23.42,1008.14,42.605
2026-05-23 12:36:49.492,1423348948,6492,BME280,23.43,1008.13,42.709
2026-05-23 12:36:49.692,1423349148,6692,BME280,23.43,1008.13,42.709
2026-05-23 12:36:49.892,1423349348,6892,BME280,23.43,1008.13,42.709
2026-05-23 12:36:50.092,1423349548,7092,BME280,23.43,1008.13,42.709
2026-05-23 12:36:50.292,1423349748,7292,BME280,23.43,1008.13,42.709
2026-05-23 12:36:50.492,1423349948,7492,BME280,23.42,1008.13,42.714
2026-05-23 12:36:50.692,1423350148,7692,BME280,23.42,1008.13,42.714
2026-05-23 12:36:50.892,1423350348,7892,BME280,23.42,1008.13,42.714
2026-05-23 12:36:51.092,1423350548,8092,BME280,23.42,1008.13,42.714
2026-05-23 12:36:51.292,1423350748,8292,BME280,23.42,1008.13,42.714
2026-05-23 12:36:51.492,1423350948,8492,BME280,23.42,1008.13,42.714
2026-05-23 12:36:51.692,1423351148,8692,BME280,23.42,1008.13,42.714
2026-05-23 12:36:51.892,1423351348,8892,BME280,23.42,1008.13,42.714
2026-05-23 12:36:52.092,1423351548,9092,BME280,23.42,1008.13,42.714
2026-05-23 12:36:52.292,1423351748,9292,BME280,23.42,1008.13,42.714
2026-05-23 12:36:52.492,1423351948,9492,BME280,23.43,1008.12,42.838
2026-05-23 12:36:52.692,1423352148,9692,BME280,23.43,1008.12,42.838
2026-05-23 12:36:52.892,1423352348,9892,BME280,23.43,1008.12,42.838
2026-05-23 12:36:53.092,1423352548,10092,BME280,23.43,1008.12,42.838
2026-05-23 12:36:53.292,1423352748,10292,BME280,23.43,1008.12,42.838
2026-05-23 12:36:53.492,1423352948,10492,BME280,23.42,1008.11,42.886
2026-05-23 12:36:53.692,1423353148,10692,BME280,23.42,1008.11,42.886
2026-05-23 12:36:53.892,1423353348,10892,BME280,23.42,1008.11,42.886
2026-05-23 12:36:54.092,1423353548,11092,BME280,23.42,1008.11,42.886
2026-05-23 12:36:54.292,1423353748,11292,BME280,23.42,1008.11,42.886
2026-05-23 12:36:54.492,1423353948,11492,BME280,23.43,1008.13,42.733
2026-05-23 12:36:54.692,1423354148,11692,BME280,23.43,1008.13,42.733
2026-05-23 12:36:54.892,1423354348,11892,BME280,23.43,1008.13,42.733
2026-05-23 12:36:55.092,1423354548,12092,BME280,23.43,1008.13,42.733
2026-05-23 12:36:55.292,1423354748,12292,BME280,23.43,1008.13,42.733
2026-05-23 12:36:55.492,1423354948,12492,BME280,23.42,1008.12,42.8
2026-05-23 12:36:55.692,1423355148,12692,BME280,23.42,1008.12,42.8
2026-05-23 12:36:55.892,1423355348,12892,BME280,23.42,1008.12,42.8
2026-05-23 12:36:56.092,1423355548,13092,BME280,23.42,1008.12,42.8
2026-05-23 12:36:56.292,1423355748,13292,BME280,23.42,1008.12,42.8
2026-05-23 12:36:56.492,1423355948,13492,BME280,23.42,1008.14,42.628
2026-05-23 12:36:56.692,1423356148,13692,BME280,23.42,1008.14,42.628
2026-05-23 12:36:56.892,1423356348,13892,BME280,23.42,1008.14,42.628
2026-05-23 12:36:57.092,1423356548,14092,BME280,23.42,1008.14,42.628
2026-05-23 12:36:57.292,1423356748,14292,BME280,23.42,1008.14,42.628
2026-05-23 12:36:57.492,1423356948,14492,BME280,23.43,1008.13,42.709
2026-05-23 12:36:57.692,1423357148,14692,BME280,23.43,1008.13,42.709
2026-05-23 12:36:57.892,1423357348,14892,BME280,23.43,1008.13,42.709
2026-05-23 12:36:58.092,1423357548,15092,BME280,23.43,1008.13,42.709
2026-05-23 12:36:58.292,1423357748,15292,BME280,23.43,1008.13,42.709
2026-05-23 12:36:58.492,1423357948,15492,BME280,23.43,1008.12,42.78
2026-05-23 12:36:58.692,1423358148,15692,BME280,23.43,1008.12,42.78
2026-05-23 12:36:58.892,1423358348,15892,BME280,23.43,1008.12,42.78
2026-05-23 12:36:59.092,1423358548,16092,BME280,23.43,1008.12,42.78
2026-05-23 12:36:59.292,1423358748,16292,BME280,23.43,1008.12,42.78
2026-05-23 12:36:59.492,1423358948,16492,BME280,23.43,1008.1,42.976
2026-05-23 12:36:59.692,1423359148,16692,BME280,23.43,1008.1,42.976
2026-05-23 12:36:59.892,1423359348,16892,BME280,23.43,1008.1,42.976
2026-05-23 12:37:00.092,1423359548,17092,BME280,23.43,1008.1,42.976
2026-05-23 12:37:00.292,1423359748,17292,BME280,23.43,1008.1,42.976
2026-05-23 12:37:00.492,1423359948,17492,BME280,23.42,1008.11,42.843
2026-05-23 12:37:00.692,1423360148,17692,BME280,23.42,1008.11,42.843
2026-05-23 12:37:00.892,1423360348,17892,BME280,23.42,1008.11,42.843
2026-05-23 12:37:01.092,1423360548,18092,BME280,23.42,1008.11,42.843
2026-05-23 12:37:01.292,1423360748,18292,BME280,23.42,1008.11,42.843
2026-05-23 12:37:01.492,1423360948,18492,BME280,23.43,1008.09,43.01
2026-05-23 12:37:01.692,1423361148,18692,BME280,23.43,1008.09,43.01
2026-05-23 12:37:01.892,1423361348,18892,BME280,23.43,1008.09,43.01
2026-05-23 12:37:02.092,1423361548,19092,BME280,23.43,1008.09,43.01
2026-05-23 12:37:02.292,1423361748,19292,BME280,23.43,1008.09,43.01
2026-05-23 12:37:02.492,1423361948,19492,BME280,23.42,1008.12,42.814
2026-05-23 12:37:02.692,1423362148,19692,BME280,23.42,1008.12,42.814
2026-05-23 12:37:02.892,1423362348,19892,BME280,23.42,1008.12,42.814
2026-05-23 12:37:03.092,1423362548,20092,BME280,23.42,1008.12,42.814
2026-05-23 12:37:03.292,1423362748,20292,BME280,23.42,1008.12,42.814
2026-05-23 12:37:03.492,1423362948,20492,BME280,23.43,1008.1,42.948
2026-05-23 12:37:03.692,1423363148,20692,BME280,23.43,1008.1,42.948
2026-05-23 12:37:03.892,1423363348,20892,BME280,23.43,1008.1,42.948
2026-05-23 12:37:04.092,1423363548,21092,BME280,23.43,1008.1,42.948
2026-05-23 12:37:04.292,1423363748,21292,BME280,23.43,1008.1,42.948
2026-05-23 12:37:04.492,1423363948,21492,BME280,23.43,1008.12,42.838
2026-05-23 12:37:09.551,1423369007,26551,BME280,23.43,1008.13,42.682
2026-05-23 12:37:09.751,1423369207,26751,BME280,23.43,1008.13,42.682
2026-05-23 12:37:09.951,1423369407,26951,BME280,23.43,1008.13,42.682
2026-05-23 12:37:10.151,1423369607,27151,BME280,23.43,1008.13,42.682
2026-05-23 12:37:10.351,1423369807,27351,BME280,23.43,1008.12,42.819
2026-05-23 12:37:10.551,1423370007,27551,BME280,23.43,1008.12,42.819
2026-05-23 12:37:10.751,1423370207,27751,BME280,23.43,1008.12,42.819
2026-05-23 12:37:10.951,1423370407,27951,BME280,23.43,1008.12,42.819
2026-05-23 12:37:11.151,1423370607,28151,BME280,23.43,1008.12,42.819
2026-05-23 12:37:11.351,1423370807,28351,BME280,23.43,1008.1,42.924
2026-05-23 12:37:11.551,1423371007,28551,BME280,23.43,1008.1,42.924
2026-05-23 12:37:11.751,1423371207,28751,BME280,23.43,1008.1,42.924
2026-05-23 12:37:11.951,1423371407,28951,BME280,23.43,1008.1,42.924
2026-05-23 12:37:12.151,1423371607,29151,BME280,23.43,1008.1,42.924
2026-05-23 12:37:12.351,1423371807,29351,BME280,23.43,1008.1,42.973
2026-05-23 12:37:12.551,1423372007,29551,BME280,23.43,1008.1,42.973
2026-05-23 12:37:12.751,1423372207,29751,BME280,23.43,1008.1,42.973
2026-05-23 12:37:12.951,1423372407,29951,BME280,23.43,1008.1,42.973
2026-05-23 12:37:13.151,1423372607,30151,BME280,23.43,1008.1,42.973
