datetime,epoch_ms,ts_millis,sensor,temperature_c,pressure_hpa,altitude_m
2026-05-23 15:37:30.776,1434190232,70776,BME280,30.81,1006.49,56.453
2026-05-23 15:37:38.856,1434198312,78856,BME280,30.91,1006.47,56.625
2026-05-23 15:37:39.056,1434198512,79056,BME280,30.91,1006.47,56.625
2026-05-23 15:37:39.256,1434198712,79256,BME280,30.91,1006.47,56.625
2026-05-23 15:37:39.456,1434198912,79456,BME280,30.91,1006.47,56.625
2026-05-23 15:37:39.656,1434199112,79656,BME280,30.91,1006.47,56.625
2026-05-23 15:37:39.856,1434199312,79856,BME280,30.93,1006.5,56.32
2026-05-23 15:37:40.056,1434199512,80056,BME280,30.93,1006.5,56.32
2026-05-23 15:37:40.256,1434199712,80256,BME280,30.93,1006.5,56.32
2026-05-23 15:37:40.456,1434199912,80456,BME280,30.93,1006.5,56.32
2026-05-23 15:37:40.678,1434200134,80678,BME280,30.93,1006.5,56.32
2026-05-23 15:37:40.878,1434200334,80878,BME280,30.94,1006.47,56.631
2026-05-23 15:37:41.078,1434200534,81078,BME280,30.94,1006.47,56.631
2026-05-23 15:37:41.278,1434200734,81278,BME280,30.94,1006.47,56.631
2026-05-23 15:37:41.478,1434200934,81478,BME280,30.94,1006.47,56.631
2026-05-23 15:37:41.678,1434201134,81678,BME280,30.94,1006.47,56.631
2026-05-23 15:37:41.878,1434201334,81878,BME280,30.96,1006.49,56.432
2026-05-23 15:37:42.078,1434201534,82078,BME280,30.96,1006.49,56.432
2026-05-23 15:37:42.278,1434201734,82278,BME280,30.96,1006.49,56.432
2026-05-23 15:37:42.478,1434201934,82478,BME280,30.96,1006.49,56.432
2026-05-23 15:37:42.678,1434202134,82678,BME280,30.96,1006.49,56.432
2026-05-23 15:37:42.878,1434202334,82878,BME280,30.97,1006.5,56.35
2026-05-23 15:37:43.078,1434202534,83078,BME280,30.97,1006.5,56.35
2026-05-23 15:37:43.278,1434202734,83278,BME280,30.97,1006.5,56.35
2026-05-23 15:37:43.478,1434202934,83478,BME280,30.97,1006.5,56.35
2026-05-23 15:37:43.678,1434203134,83678,BME280,30.97,1006.5,56.35
2026-05-23 15:37:43.878,1434203334,83878,BME280,30.99,1006.53,56.104
2026-05-23 15:37:44.078,1434203534,84078,BME280,30.99,1006.53,56.104
2026-05-23 15:37:44.278,1434203734,84278,BME280,30.99,1006.53,56.104
2026-05-23 15:37:44.478,1434203934,84478,BME280,30.99,1006.53,56.104
2026-05-23 15:37:44.678,1434204134,84678,BME280,30.99,1006.53,56.104
2026-05-23 15:37:44.878,1434204334,84878,BME280,31.0,1006.49,56.415
2026-05-23 15:37:45.078,1434204534,85078,BME280,31.0,1006.49,56.415
2026-05-23 15:37:45.278,1434204734,85278,BME280,31.0,1006.49,56.415
2026-05-23 15:37:45.478,1434204934,85478,BME280,31.0,1006.49,56.415
2026-05-23 15:37:45.678,1434205134,85678,BME280,31.0,1006.49,56.415
2026-05-23 15:37:45.878,1434205334,85878,BME280,31.03,1006.49,56.429
2026-05-23 15:37:46.078,1434205534,86078,BME280,31.03,1006.49,56.429
2026-05-23 15:37:46.278,1434205734,86278,BME280,31.03,1006.49,56.429
2026-05-23 15:37:46.478,1434205934,86478,BME280,31.03,1006.49,56.429
2026-05-23 15:37:46.678,1434206134,86678,BME280,31.03,1006.49,56.429
2026-05-23 15:37:46.878,1434206334,86878,BME280,31.04,1006.5,56.386
2026-05-23 15:37:47.078,1434206534,87078,BME280,31.04,1006.5,56.386
2026-05-23 15:37:47.278,1434206734,87278,BME280,31.04,1006.5,56.386
2026-05-23 15:37:47.478,1434206934,87478,BME280,31.04,1006.5,56.386
2026-05-23 15:37:47.678,1434207134,87678,BME280,31.04,1006.5,56.386
2026-05-23 15:37:47.878,1434207334,87878,BME280,31.06,1006.5,56.318
2026-05-23 15:37:48.078,1434207534,88078,BME280,31.06,1006.5,56.318
2026-05-23 15:37:48.278,1434207734,88278,BME280,31.06,1006.5,56.318
2026-05-23 15:37:48.478,1434207934,88478,BME280,31.06,1006.5,56.318
2026-05-23 15:37:48.678,1434208134,88678,BME280,31.06,1006.5,56.318
2026-05-23 15:37:48.878,1434208334,88878,BME280,31.07,1006.49,56.412
2026-05-23 15:37:49.078,1434208534,89078,BME280,31.07,1006.49,56.412
2026-05-23 15:37:49.278,1434208734,89278,BME280,31.07,1006.49,56.412
2026-05-23 15:37:49.478,1434208934,89478,BME280,31.07,1006.49,56.412
2026-05-23 15:37:49.678,1434209134,89678,BME280,31.07,1006.49,56.412
2026-05-23 15:37:49.878,1434209334,89878,BME280,31.09,1006.5,56.313
2026-05-23 15:37:50.078,1434209534,90078,BME280,31.09,1006.5,56.313
2026-05-23 15:37:50.278,1434209734,90278,BME280,31.09,1006.5,56.313
2026-05-23 15:37:50.478,1434209934,90478,BME280,31.09,1006.5,56.313
2026-05-23 15:37:50.678,1434210134,90678,BME280,31.09,1006.5,56.313
2026-05-23 15:37:50.878,1434210334,90878,BME280,31.1,1006.5,56.352
2026-05-23 15:37:51.078,1434210534,91078,BME280,31.1,1006.5,56.352
2026-05-23 15:37:51.278,1434210734,91278,BME280,31.1,1006.5,56.352
2026-05-23 15:37:51.478,1434210934,91478,BME280,31.1,1006.5,56.352
2026-05-23 15:37:51.678,1434211134,91678,BME280,31.1,1006.5,56.352
2026-05-23 15:37:51.878,1434211334,91878,BME280,31.11,1006.48,56.533
2026-05-23 15:37:52.078,1434211534,92078,BME280,31.11,1006.48,56.533
2026-05-23 15:37:52.278,1434211734,92278,BME280,31.11,1006.48,56.533
2026-05-23 15:37:52.478,1434211934,92478,BME280,31.11,1006.48,56.533
2026-05-23 15:37:52.678,1434212134,92678,BME280,31.11,1006.48,56.533
2026-05-23 15:37:52.878,1434212334,92878,BME280,31.12,1006.48,56.536
2026-05-23 15:37:53.078,1434212534,93078,BME280,31.12,1006.48,56.536
2026-05-23 15:37:53.278,1434212734,93278,BME280,31.12,1006.48,56.536
2026-05-23 15:37:53.478,1434212934,93478,BME280,31.12,1006.48,56.536
2026-05-23 15:37:53.678,1434213134,93678,BME280,31.12,1006.48,56.536
2026-05-23 15:37:53.878,1434213334,93878,BME280,31.14,1006.48,56.5
2026-05-23 15:37:54.078,1434213534,94078,BME280,31.14,1006.48,56.5
2026-05-23 15:37:54.278,1434213734,94278,BME280,31.14,1006.48,56.5
2026-05-23 15:37:54.478,1434213934,94478,BME280,31.14,1006.48,56.5
2026-05-23 15:37:54.678,1434214134,94678,BME280,31.14,1006.48,56.5
2026-05-23 15:37:54.878,1434214334,94878,BME280,31.14,1006.49,56.471
