datetime,epoch_ms,ts_millis,sensor,temperature_c,pressure_hpa,altitude_m
2026-05-23 14:49:25.782,1431305238,70782,BME280,29.51,1007.03,51.918
2026-05-23 14:49:28.387,1431307843,74387,BME280,29.53,1007.07,51.596
2026-05-23 14:49:29.587,1431309043,74587,BME280,29.53,1007.07,51.596
2026-05-23 14:49:29.787,1431309243,74787,BME280,29.53,1007.07,51.596
2026-05-23 14:49:29.987,1431309443,74987,BME280,29.52,1007.08,51.537
2026-05-23 14:49:29.206,1431308662,75206,BME280,29.52,1007.08,51.537
2026-05-23 14:49:29.406,1431308862,75406,BME280,29.52,1007.08,51.537
2026-05-23 14:49:30.606,1431310062,75606,BME280,29.52,1007.08,51.537
2026-05-23 14:49:30.806,1431310262,75806,BME280,29.52,1007.08,51.537
2026-05-23 14:49:30.006,1431309462,76006,BME280,29.53,1007.08,51.505
2026-05-23 14:49:30.206,1431309662,76206,BME280,29.53,1007.08,51.505
2026-05-23 14:49:30.406,1431309862,76406,BME280,29.53,1007.08,51.505
2026-05-23 14:49:31.606,1431311062,76606,BME280,29.53,1007.08,51.505
2026-05-23 14:49:31.806,1431311262,76806,BME280,29.53,1007.08,51.505
2026-05-23 14:49:31.006,1431310462,77006,BME280,29.52,1007.07,51.61
2026-05-23 14:49:31.206,1431310662,77206,BME280,29.52,1007.07,51.61
2026-05-23 14:49:31.406,1431310862,77406,BME280,29.52,1007.07,51.61
2026-05-23 14:49:32.606,1431312062,77606,BME280,29.52,1007.07,51.61
2026-05-23 14:49:32.806,1431312262,77806,BME280,29.52,1007.07,51.61
2026-05-23 14:49:32.006,1431311462,78006,BME280,29.53,1007.07,51.591
2026-05-23 14:49:32.206,1431311662,78206,BME280,29.53,1007.07,51.591
2026-05-23 14:49:32.406,1431311862,78406,BME280,29.53,1007.07,51.591
2026-05-23 14:49:33.606,1431313062,78606,BME280,29.53,1007.07,51.591
2026-05-23 14:49:33.806,1431313262,78806,BME280,29.53,1007.07,51.591
2026-05-23 14:49:33.006,1431312462,79006,BME280,29.52,1007.05,51.769
2026-05-23 14:49:33.206,1431312662,79206,BME280,29.52,1007.05,51.769
2026-05-23 14:49:33.406,1431312862,79406,BME280,29.52,1007.05,51.769
2026-05-23 14:49:34.606,1431314062,79606,BME280,29.52,1007.05,51.769
2026-05-23 14:49:34.806,1431314262,79806,BME280,29.52,1007.05,51.769
2026-05-23 14:49:34.006,1431313462,80006,BME280,29.52,1007.07,51.58
2026-05-23 14:49:34.206,1431313662,80206,BME280,29.52,1007.07,51.58
2026-05-23 14:49:34.406,1431313862,80406,BME280,29.52,1007.07,51.58
2026-05-23 14:49:35.606,1431315062,80606,BME280,29.52,1007.07,51.58
2026-05-23 14:49:35.806,1431315262,80806,BME280,29.52,1007.07,51.58
2026-05-23 14:49:35.006,1431314462,81006,BME280,29.53,1007.09,51.412
2026-05-23 14:49:35.206,1431314662,81206,BME280,29.53,1007.09,51.412
2026-05-23 14:49:35.406,1431314862,81406,BME280,29.53,1007.09,51.412
2026-05-23 14:49:36.606,1431316062,81606,BME280,29.53,1007.09,51.412
2026-05-23 14:49:36.806,1431316262,81806,BME280,29.53,1007.09,51.412
2026-05-23 14:49:36.006,1431315462,82006,BME280,29.54,1007.08,51.486
