datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-05-20 17:36:13.461,1182112917,617460,2,0.85645,-0.54858,-0.21899,-0.908,-2.031,0.595
2026-05-20 17:36:29.470,1182128926,633470,1,1.01001,-0.28198,0.28027,0.84,4.45,1.0
2026-05-20 17:36:29.470,1182128926,633470,2,0.83691,-0.57104,-0.22583,-0.885,-1.359,0.908
2026-05-20 17:36:29.670,1182129126,633670,1,1.01489,-0.25854,0.29639,-1.626,1.427,-0.252
2026-05-20 17:36:29.670,1182129126,633670,2,0.83057,-0.56714,-0.23926,-3.443,0.878,0.565
2026-05-20 17:36:29.870,1182129326,633870,1,1.00854,-0.26172,0.29688,0.038,3.206,-1.595
2026-05-20 17:36:29.870,1182129326,633870,2,0.83691,-0.56958,-0.23755,-0.885,-0.16,0.725
2026-05-20 17:36:29.070,1182128526,634070,1,0.99756,-0.26074,0.31885,-1.466,1.847,-0.427
2026-05-20 17:36:29.070,1182128526,634070,2,0.83789,-0.56592,-0.23901,-2.504,0.824,0.649
2026-05-20 17:36:29.270,1182128726,634270,1,1.01245,-0.24585,0.30005,-0.221,2.519,-1.458
2026-05-20 17:36:29.270,1182128726,634270,2,0.83887,-0.56982,-0.24121,-1.099,0.183,0.794
2026-05-20 17:36:30.470,1182129926,634470,1,0.99927,-0.26245,0.32056,0.695,2.092,0.008
2026-05-20 17:36:30.470,1182129926,634470,2,0.83887,-0.56836,-0.23486,-1.733,0.55,0.664
2026-05-20 17:36:30.670,1182130126,634670,1,1.0144,-0.27734,0.26953,1.122,4.45,-1.954
2026-05-20 17:36:30.670,1182130126,634670,2,0.83618,-0.57764,-0.23901,7.45,11.351,0.931
2026-05-20 17:36:30.870,1182130326,634870,1,1.01489,-0.26929,0.33325,11.954,15.183,-7.802
2026-05-20 17:36:30.870,1182130326,634870,2,0.81104,-0.6394,-0.06055,20.328,32.847,-7.71
2026-05-20 17:36:30.194,1182129650,635194,1,0.97852,-0.14233,0.48755,15.908,30.618,-21.863
2026-05-20 17:36:30.194,1182129650,635194,2,0.91211,-0.62793,-0.09692,10.954,50.679,-24.573
2026-05-20 17:36:30.394,1182129850,635394,1,1.02637,0.02051,0.53906,30.626,30.489,-6.015
2026-05-20 17:36:30.394,1182129850,635394,2,0.89429,-0.50269,0.20239,40.16,44.206,-10.824
2026-05-20 17:36:31.594,1182131050,635594,1,0.86548,0.10986,0.72729,18.855,42.534,-12.893
2026-05-20 17:36:31.594,1182131050,635594,2,0.76123,-0.37671,0.37256,-33.076,-0.962,-9.527
2026-05-20 17:36:31.170,1182130626,636170,1,0.67041,0.06079,0.73096,-2.031,-17.908,-1.947
2026-05-20 17:36:31.170,1182130626,636170,2,0.68994,-0.40356,0.35059,-24.031,15.626,-2.962
2026-05-20 17:36:31.370,1182130826,636370,1,0.73315,0.01001,0.71875,-18.176,-11.183,-3.71
2026-05-20 17:36:31.370,1182130826,636370,2,0.73657,-0.52295,0.47729,-38.366,28.397,-7.107
2026-05-20 17:36:32.570,1182132026,636570,1,0.74683,0.02368,0.854,-30.214,-19.71,-6.084
