datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-05-21 17:47:01.279,1269160735,7279,1,0.82861,0.14331,0.47363,1.115,-3.115,-6.985
2026-05-21 17:47:01.279,1269160735,7279,2,0.91846,0.16357,0.71729,-4.809,-2.313,-5.031
2026-05-21 17:47:02.479,1269161935,7479,1,0.82764,0.13281,0.48755,-1.626,-0.695,0.489
2026-05-21 17:47:02.479,1269161935,7479,2,0.92236,0.17358,0.72241,2.725,-1.412,-0.573
2026-05-21 17:47:02.679,1269162135,7679,1,0.84448,0.13965,0.48096,1.237,-0.656,6.107
2026-05-21 17:47:02.679,1269162135,7679,2,0.9209,0.17847,0.69995,2.198,0.397,-0.076
2026-05-21 17:47:02.879,1269162335,7879,1,0.83936,0.1167,0.46924,-5.443,-4.389,7.74
2026-05-21 17:47:02.879,1269162335,7879,2,0.92627,0.18823,0.6814,-0.718,-0.702,10.519
2026-05-21 17:47:02.079,1269161535,8079,1,0.83618,0.07275,0.46167,-4.847,-5.084,-0.84
2026-05-21 17:47:02.079,1269161535,8079,2,0.92383,0.12378,0.69702,-6.435,-6.115,6.466
2026-05-21 17:47:02.279,1269161735,8279,1,0.86353,0.05811,0.46045,-2.969,3.504,1.924
2026-05-21 17:47:02.279,1269161735,8279,2,0.93384,0.09424,0.68042,-0.42,5.389,4.771
2026-05-21 17:47:03.479,1269162935,8479,1,0.86206,0.06738,0.45728,-2.977,-0.954,2.344
2026-05-21 17:47:03.479,1269162935,8479,2,0.94116,0.11743,0.6731,-3.58,-2.87,2.344
2026-05-21 17:47:03.679,1269163135,8679,1,0.86304,0.05518,0.44116,-7.496,1.168,-1.794
2026-05-21 17:47:03.679,1269163135,8679,2,0.92969,0.0979,0.68066,-2.565,0.565,2.557
2026-05-21 17:47:03.879,1269163335,8879,1,0.87256,0.0061,0.44189,-3.977,-1.122,2.244
2026-05-21 17:47:03.879,1269163335,8879,2,0.94043,0.11304,0.67798,-0.29,1.305,0.885
2026-05-21 17:47:03.079,1269162535,9079,1,0.85034,0.06689,0.46631,-6.214,-0.076,-1.519
2026-05-21 17:47:03.079,1269162535,9079,2,0.94116,0.10693,0.67896,-1.931,-0.122,0.229
2026-05-21 17:47:03.279,1269162735,9279,1,0.84888,0.04932,0.46362,-1.985,0.947,1.542
2026-05-21 17:47:03.279,1269162735,9279,2,0.93726,0.11694,0.67725,-1.115,0.695,1.366
