datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-05-21T00:23:11.241841,,,,,,,,,
2026-05-21T00:26:22.025038,,,,,,,,,
2026-05-21T00:27:59.087236,,,,,,,,,
NTP_NOT_SET,,17089,1,-0.34351,0.12915,1.61987,-178.779,159.084,-31.473
NTP_NOT_SET,,17089,2,-0.08569,-0.30811,0.90112,111.626,38.389,30.962
NTP_NOT_SET,,17289,1,0.30615,0.47803,0.28882,159.282,-109.137,1.901
NTP_NOT_SET,,17289,2,-0.22485,-0.19995,0.90112,7.626,-6.244,1.58
NTP_NOT_SET,,17600,1,-0.40308,0.32739,0.88062,178.008,32.511,-36.939
NTP_NOT_SET,,17600,2,-0.23291,-0.21411,0.88818,-7.328,-6.534,-5.527
NTP_NOT_SET,,17879,1,-0.4585,0.31128,0.85059,47.947,21.58,-3.527
NTP_NOT_SET,,17879,2,-0.22729,-0.21582,0.88232,1.756,4.015,3.29
NTP_NOT_SET,,18079,1,-0.44312,0.29858,0.92773,5.389,4.954,0.931
NTP_NOT_SET,,18079,2,-0.22803,-0.22412,0.896,-1.237,-0.069,-0.611
NTP_NOT_SET,,18279,1,-0.45288,0.30518,0.89355,-14.55,-4.359,-1.076
NTP_NOT_SET,,18279,2,-0.2207,-0.22021,0.88184,-0.634,1.092,0.641
NTP_NOT_SET,,18479,1,-0.45459,0.31909,0.87939,-4.069,-0.534,-1.458
NTP_NOT_SET,,18479,2,-0.22803,-0.23242,0.89795,-2.595,-1.229,-0.626
NTP_NOT_SET,,18679,1,-0.45508,0.30884,0.88184,3.916,3.466,-0.092
NTP_NOT_SET,,18679,2,-0.22559,-0.22534,0.88867,-1.458,0.603,0.672
NTP_NOT_SET,,18879,1,-0.45728,0.30981,0.89063,2.282,2.71,0.244
NTP_NOT_SET,,18879,2,-0.21753,-0.22656,0.88501,0.084,1.58,1.29
NTP_NOT_SET,,19079,1,-0.45825,0.31421,0.8811,1.328,1.725,-0.13
NTP_NOT_SET,,19079,2,-0.22412,-0.23315,0.89404,-1.244,0.824,0.939
NTP_NOT_SET,,19279,1,-0.45801,0.30835,0.87939,-0.74,1.16,-0.313
NTP_NOT_SET,,19279,2,-0.22827,-0.22485,0.88574,-2.832,0.145,0.176
NTP_NOT_SET,,19479,1,-0.45923,0.31616,0.87476,-1.321,0.718,-0.74
NTP_NOT_SET,,19479,2,-0.22534,-0.22461,0.88745,-1.618,0.626,0.71
NTP_NOT_SET,,19679,1,-0.45581,0.31958,0.88086,-0.038,1.58,-0.534
NTP_NOT_SET,,19679,2,-0.22461,-0.22021,0.89624,-1.023,,-0.229
NTP_NOT_SET,,19879,1,-0.45923,0.31396,0.8877,0.038,1.137,-0.496
NTP_NOT_SET,,19879,2,-0.21826,-0.22437,0.89941,-1.29,0.893,0.763
NTP_NOT_SET,,20079,1,-0.46167,0.31543,0.87646,0.099,1.656,-0.305
NTP_NOT_SET,,20079,2,-0.22656,-0.2356,0.8916,-0.756,0.947,0.802
NTP_NOT_SET,,20279,1,-0.44482,0.30786,0.87891,0.153,3.046,0.611
NTP_NOT_SET,,20279,2,-0.23315,-0.22876,0.88745,-4.863,-1.176,-0.542
NTP_NOT_SET,,20479,1,-0.46362,0.31885,0.86694,2.084,3.076,-1.145
NTP_NOT_SET,,20479,2,-0.23511,-0.21631,0.87769,-1.878,0.26,0.595
NTP_NOT_SET,,20679,1,-0.46216,0.3269,0.87793,1.221,2.893,-0.756
NTP_NOT_SET,,20679,2,-0.22974,-0.22217,0.90137,-0.962,1.718,1.267
NTP_NOT_SET,,20879,1,-0.45654,0.33667,0.87109,5.962,4.702,-0.351
NTP_NOT_SET,,20879,2,-0.24658,-0.17261,0.90015,5.786,5.908,2.145
NTP_NOT_SET,,21079,1,-0.46387,0.3313,0.875,-2.267,0.893,0.29
NTP_NOT_SET,,21079,2,-0.24512,-0.19019,0.88965,0.229,1.573,0.267
NTP_NOT_SET,,21279,1,-0.46655,0.33301,0.86914,-2.015,0.427,-0.374
NTP_NOT_SET,,21279,2,-0.2439,-0.20313,0.89429,-1.176,0.504,0.542
NTP_NOT_SET,,21479,1,-0.46924,0.33301,0.86719,-1.336,0.763,-0.542
NTP_NOT_SET,,21479,2,-0.25366,-0.21118,0.88599,-3.863,-0.664,0.206
NTP_NOT_SET,,21692,1,-0.46582,0.33276,0.86523,1.802,1.802,-0.458
NTP_NOT_SET,,21692,2,-0.23877,-0.2002,0.89551,-0.87,0.534,0.305
NTP_NOT_SET,,21892,1,-0.46851,0.33179,0.86328,0.649,1.725,-0.282
NTP_NOT_SET,,21892,2,-0.24072,-0.20361,0.8833,-1.13,0.267,0.366
NTP_NOT_SET,,22092,1,-0.46826,0.33081,0.87061,0.107,1.45,-0.42
NTP_NOT_SET,,22092,2,-0.24097,-0.20264,0.89551,-1.305,0.687,0.489
NTP_NOT_SET,,22292,1,-0.46631,0.33521,0.87158,-0.053,1.405,-0.237
NTP_NOT_SET,,22292,2,-0.2395,-0.20532,0.88672,-1.947,0.405,0.527
NTP_NOT_SET,,22492,1,-0.46899,0.33496,0.86572,-0.053,1.336,-0.382
NTP_NOT_SET,,22492,2,-0.24829,-0.20044,0.8916,-1.214,0.672,0.504
2026-05-21T00:28:19.896435,,,,,,,,,
NTP_NOT_SET,,15071,1,-0.46069,0.30762,0.87573,-0.137,1.282,-0.344
NTP_NOT_SET,,15071,2,-0.21191,-0.25391,0.87866,-1.122,0.496,0.611
NTP_NOT_SET,,15271,1,-0.46411,0.30566,0.88257,0.031,1.198,-0.565
NTP_NOT_SET,,15271,2,-0.21191,-0.25171,0.89063,-1.321,0.435,0.794
NTP_NOT_SET,,15471,1,-0.46533,0.3103,0.88379,-0.076,1.153,-0.527
NTP_NOT_SET,,15471,2,-0.21533,-0.25439,0.88501,-1.382,0.481,0.466
NTP_NOT_SET,,15671,1,-0.46411,0.3064,0.87891,-0.214,1.038,-0.496
NTP_NOT_SET,,15671,2,-0.21094,-0.25684,0.89209,-1.397,0.481,0.527
NTP_NOT_SET,,15871,1,-0.46387,0.30786,0.88281,-0.191,1.237,-0.481
NTP_NOT_SET,,15871,2,-0.17651,-0.33643,0.87769,-2.519,0.053,0.458
NTP_NOT_SET,,20994,1,-0.45801,0.28174,0.89941,-0.26,1.359,-0.748
NTP_NOT_SET,,20994,2,-0.18701,-0.33545,0.86426,-1.214,0.679,0.351
NTP_NOT_SET,,21253,1,-0.4624,0.28223,0.89087,-0.252,1.13,-0.344
NTP_NOT_SET,,21253,2,-0.19141,-0.33496,0.87256,-1.351,0.412,0.573
NTP_NOT_SET,,21557,1,-0.45923,0.28564,0.88818,-0.122,1.198,-0.374
NTP_NOT_SET,,21557,2,-0.18408,-0.3374,0.85815,-1.076,0.618,0.626
NTP_NOT_SET,,21757,1,-0.46484,0.28052,0.88989,-0.137,1.038,-0.557
NTP_NOT_SET,,21757,2,-0.1853,-0.34082,0.87793,-1.557,0.611,0.557
NTP_NOT_SET,,21957,1,-0.4585,0.27734,0.89111,-0.221,1.214,-0.405
NTP_NOT_SET,,21957,2,-0.18384,-0.33862,0.87158,-1.237,0.641,0.603
NTP_NOT_SET,,22157,1,-0.45996,0.28394,0.89014,0.115,1.031,-0.557
NTP_NOT_SET,,22157,2,-0.18652,-0.33423,0.87183,-1.29,0.473,0.466
NTP_NOT_SET,,22357,1,-0.46582,0.28223,0.89331,-0.214,1.229,-0.603
NTP_NOT_SET,,22357,2,-0.18604,-0.33618,0.86743,-1.069,0.565,0.466
NTP_NOT_SET,,22557,1,-0.45801,0.28076,0.88867,-0.244,1.191,-0.557
NTP_NOT_SET,,22557,2,-0.19189,-0.33545,0.8667,-1.473,0.573,0.573
NTP_NOT_SET,,22757,1,-0.46021,0.28589,0.89331,-0.252,0.985,-0.679
NTP_NOT_SET,,22757,2,-0.1814,-0.34399,0.86255,-0.969,0.756,0.656
NTP_NOT_SET,,22957,1,-0.46582,0.27466,0.89258,-0.206,1.298,-0.275
NTP_NOT_SET,,22957,2,-0.1875,-0.3374,0.86914,-1.466,0.664,0.649
NTP_NOT_SET,,23157,1,-0.46606,0.2771,0.89722,,1.031,-0.588
NTP_NOT_SET,,23157,2,-0.17969,-0.33301,0.86523,-1.183,0.672,0.389
NTP_NOT_SET,,23357,1,-0.46338,0.28271,0.89819,-0.244,1.069,-0.412
NTP_NOT_SET,,23357,2,-0.19019,-0.3313,0.86548,-1.076,0.687,0.527
NTP_NOT_SET,,23557,1,-0.45728,0.28247,0.89551,-0.145,1.115,-0.359
NTP_NOT_SET,,23557,2,-0.18823,-0.33447,0.86206,-1.176,0.511,0.405
NTP_NOT_SET,,23757,1,-0.45947,0.27954,0.88501,-0.13,1.313,-0.45
NTP_NOT_SET,,23757,2,-0.19263,-0.33057,0.875,-1.26,0.656,0.389
NTP_NOT_SET,,23957,1,-0.45776,0.27783,0.88892,-0.061,1.252,-0.42
NTP_NOT_SET,,23957,2,-0.19385,-0.3374,0.86597,-1.328,0.435,0.611
NTP_NOT_SET,,24157,1,-0.46289,0.2793,0.88574,0.076,1.115,-0.618
NTP_NOT_SET,,24157,2,-0.18604,-0.33667,0.86792,-1.221,0.71,0.809
NTP_NOT_SET,,24357,1,-0.45825,0.28491,0.89795,-0.26,1.229,-0.427
NTP_NOT_SET,,24357,2,-0.18774,-0.33569,0.86157,-1.405,0.565,0.511
NTP_NOT_SET,,24557,1,-0.45557,0.29395,0.89136,-0.191,1.176,-0.473
NTP_NOT_SET,,24557,2,-0.18506,-0.33447,0.86426,-1.244,0.412,0.473
NTP_NOT_SET,,24757,1,-0.45679,0.28271,0.89771,-0.115,1.122,-0.641
NTP_NOT_SET,,24757,2,-0.18555,-0.33496,0.8645,-1.298,0.664,0.427
NTP_NOT_SET,,27621,1,-0.46948,0.28418,0.89014,-0.13,1.046,-0.481
NTP_NOT_SET,,27621,2,-0.17993,-0.33374,0.85913,-1.588,0.504,0.55
NTP_NOT_SET,,27821,1,-0.45728,0.28516,0.89136,0.053,1.252,-0.328
NTP_NOT_SET,,27821,2,-0.19165,-0.33765,0.87036,-1.305,0.496,0.45
NTP_NOT_SET,,28021,1,-0.45459,0.28638,0.89795,-0.198,1.145,-0.511
NTP_NOT_SET,,28021,2,-0.1875,-0.33472,0.85815,-1.031,0.733,0.656
NTP_NOT_SET,,28221,1,-0.46436,0.28149,0.89307,-0.458,1.015,-0.382
NTP_NOT_SET,,28221,2,-0.18726,-0.33789,0.86548,-1.107,0.527,0.389
NTP_NOT_SET,,29457,1,-0.46216,0.28394,0.89453,-0.015,1.214,-0.42
NTP_NOT_SET,,29457,2,-0.18945,-0.33545,0.87036,-1.374,0.489,0.42
NTP_NOT_SET,,29657,1,-0.45972,0.27759,0.90063,0.26,1.198,-0.351
NTP_NOT_SET,,29657,2,-0.18579,-0.33325,0.86694,-1.405,0.611,0.733
NTP_NOT_SET,,29857,1,-0.46265,0.28003,0.89038,0.29,1.344,-0.511
NTP_NOT_SET,,29857,2,-0.18677,-0.33032,0.86914,-1.511,0.748,0.687
NTP_NOT_SET,,29857,2,-0.18677,-0.33032,0.86914,-1.511,0.748,0.687
NTP_NOT_SET,,35073,1,-0.46094,0.28198,0.88696,-0.13,1.328,-0.45
NTP_NOT_SET,,35073,2,-0.18457,-0.34277,0.86963,0.229,0.962,0.519
NTP_NOT_SET,,35295,1,-0.46216,0.27124,0.88647,-0.183,1.191,-0.244
NTP_NOT_SET,,35295,2,-0.18896,-0.34058,0.87329,-1.191,0.473,0.71
NTP_NOT_SET,,35495,1,-0.46045,0.27808,0.88281,-0.206,1.366,-0.603
NTP_NOT_SET,,35495,2,-0.18921,-0.3291,0.87378,-1.237,0.496,0.511
NTP_NOT_SET,,35695,1,-0.46362,0.27832,0.89307,-0.267,1.13,-0.481
NTP_NOT_SET,,35695,2,-0.19116,-0.33569,0.87183,-1.153,0.672,0.519
NTP_NOT_SET,,35895,1,-0.45752,0.27881,0.89087,0.252,1.191,-0.573
NTP_NOT_SET,,35895,1,-0.45752,0.27881,0.89087,0.252,1.191,-0.573
NTP_NOT_SET,,35895,2,-0.18677,-0.33521,0.87402,-1.031,0.473,0.374
NTP_NOT_SET,,41241,1,-0.45508,0.27661,0.88745,-0.26,1.13,-0.481
NTP_NOT_SET,,41241,2,-0.18994,-0.33569,0.86279,-1.511,0.565,0.389
