datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-05-22T17:30:52.505472,,,,,,,,,
NTP_NOT_SET,,15288,1,0.91333,0.07617,0.17383,-12.336,-11.863,3.908
NTP_NOT_SET,,15288,2,0.80444,0.53442,0.46289,23.29,-28.099,1.901
NTP_NOT_SET,,15488,1,0.96216,0.25732,0.16919,-8.405,1.588,-5.809
NTP_NOT_SET,,15488,2,0.75757,0.51953,0.27368,0.496,-13.893,16.573
NTP_NOT_SET,,15688,1,0.96533,0.12842,0.29126,-34.359,22.466,-6.511
NTP_NOT_SET,,15688,2,0.91577,0.5835,0.39355,-40.458,-5.298,24.008
NTP_NOT_SET,,15888,1,0.86475,-0.15161,0.33887,-8.718,-18.809,-8.939
NTP_NOT_SET,,15888,2,1.0061,0.1897,0.21484,10.244,-14.802,-0.206
NTP_NOT_SET,,16088,1,1.08691,0.03174,0.25439,42.725,-4.855,17.763
NTP_NOT_SET,,16088,2,0.88818,0.63867,0.48901,109.985,25.198,-15.076
NTP_NOT_SET,,16288,1,1.05591,0.16479,0.09399,70.313,35.748,33.0
NTP_NOT_SET,,16288,2,0.84961,0.43555,0.5105,34.71,74.924,-6.557
NTP_NOT_SET,,16488,1,0.93848,0.20972,0.26807,72.389,20.137,27.603
NTP_NOT_SET,,16488,2,0.78491,0.53809,0.53418,53.099,52.74,5.626
NTP_NOT_SET,,16688,1,0.91235,0.2854,0.31299,39.58,13.092,11.366
NTP_NOT_SET,,16688,2,0.82031,0.53491,0.56567,37.969,12.55,11.321
NTP_NOT_SET,,16888,1,0.82446,0.31494,0.35498,20.099,13.45,23.443
NTP_NOT_SET,,16888,2,0.78516,0.52173,0.66431,44.206,13.977,15.656
NTP_NOT_SET,,17088,1,0.80786,0.17139,0.35498,25.595,21.733,25.023
NTP_NOT_SET,,17088,2,0.81763,0.43457,0.55566,21.038,28.229,18.947
NTP_NOT_SET,,17288,1,0.8833,0.01196,0.45483,1.344,4.634,6.076
NTP_NOT_SET,,17288,2,0.86035,0.46509,0.51147,-2.092,0.122,12.053
NTP_NOT_SET,,17488,1,0.8667,0.02344,0.43872,-8.542,-4.298,-0.443
NTP_NOT_SET,,17488,2,0.88306,0.35498,0.54565,-5.229,-12.84,-1.763
NTP_NOT_SET,,17688,1,0.90088,0.0481,0.39453,5.389,-6.366,4.687
NTP_NOT_SET,,17688,2,0.91187,0.38354,0.53003,3.389,-4.901,-1.366
NTP_NOT_SET,,17888,1,0.89795,0.03271,0.4043,-8.718,-6.0,-3.977
NTP_NOT_SET,,17888,2,0.90234,0.35938,0.51709,-26.42,-17.183,-4.916
NTP_NOT_SET,,18088,1,0.92749,0.03638,0.34326,-9.534,-8.275,-15.145
NTP_NOT_SET,,18088,2,0.90259,0.40308,0.46338,-19.389,-7.893,-10.527
NTP_NOT_SET,,18288,1,0.94214,0.0415,0.33618,0.534,-7.321,-11.191
NTP_NOT_SET,,18288,2,0.86914,0.40918,0.39941,24.962,-7.053,-13.038
NTP_NOT_SET,,18488,1,0.92773,0.1731,0.31104,-4.947,-0.794,-8.786
NTP_NOT_SET,,18488,2,0.84521,0.42725,0.43188,-1.13,2.359,9.71
NTP_NOT_SET,,18688,1,0.89917,0.19312,0.36328,13.748,13.557,9.397
NTP_NOT_SET,,18688,2,0.69531,0.32764,0.21777,250.13,120.084,18.16
NTP_NOT_SET,,18888,1,0.89893,0.2644,0.32617,3.084,4.504,-3.397
NTP_NOT_SET,,18888,2,0.75732,0.64771,0.41162,9.725,-33.924,-16.153
NTP_NOT_SET,,19088,1,0.89722,0.28857,0.3374,-44.046,-16.489,-21.763
NTP_NOT_SET,,19088,2,0.84619,0.57056,0.448,-39.214,-52.573,14.855
NTP_NOT_SET,,19288,1,0.9397,0.14136,0.27148,-20.733,-21.763,-2.824
NTP_NOT_SET,,19288,2,0.75854,0.86792,0.46045,-6.565,-62.664,-1.489
NTP_NOT_SET,,19488,1,0.9856,0.13745,0.25757,-6.611,-11.672,2.321
NTP_NOT_SET,,19488,2,0.86792,0.53735,0.34839,-21.931,4.641,-4.702
NTP_NOT_SET,,19688,1,1.00024,0.1355,0.28125,-15.847,27.153,-2.641
NTP_NOT_SET,,19688,2,0.90698,0.63672,0.20728,76.29,-31.534,-16.221
NTP_NOT_SET,,19888,1,0.97681,0.11279,0.24463,6.26,-7.878,2.0
NTP_NOT_SET,,19888,2,0.79297,0.50562,0.12646,87.916,-12.954,19.427
NTP_NOT_SET,,20088,1,0.96167,0.12207,0.21533,12.031,-11.168,7.916
NTP_NOT_SET,,20088,2,0.83765,0.40454,-0.07739,64.595,-6.412,12.267
NTP_NOT_SET,,20288,1,1.00024,0.13062,0.21948,-4.229,-4.527,0.122
NTP_NOT_SET,,20288,2,0.72949,0.19824,-0.12939,31.924,1.252,-8.115
NTP_NOT_SET,,20488,1,1.00488,0.12769,0.20996,-4.145,-6.885,1.359
NTP_NOT_SET,,20488,2,0.854,0.25586,-0.2522,-4.359,79.092,-98.885
NTP_NOT_SET,,20688,1,0.98242,0.08252,0.25684,16.16,13.656,10.649
NTP_NOT_SET,,20688,2,0.66724,0.28882,-0.0498,1.55,-39.618,2.84
NTP_NOT_SET,,20888,1,1.00098,0.12842,0.18823,-3.58,-5.534,2.42
NTP_NOT_SET,,20888,2,-0.08179,0.41064,0.25171,112.015,-140.046,76.863
NTP_NOT_SET,,21088,1,1.02368,0.11206,0.16211,-0.748,8.275,-4.13
NTP_NOT_SET,,21088,2,0.59497,0.31665,-0.21313,-75.931,11.977,31.099
NTP_NOT_SET,,21288,1,0.90747,0.14771,-0.12329,-7.511,20.58,-1.397
NTP_NOT_SET,,21288,2,0.84521,0.52783,-0.06299,-21.748,7.641,71.473
NTP_NOT_SET,,21488,1,0.97632,0.12598,0.16333,-2.565,17.481,2.405
NTP_NOT_SET,,21488,2,0.75098,0.40869,-0.09033,-52.122,6.198,12.313
NTP_NOT_SET,,21688,1,0.98755,0.11035,0.22827,-14.656,12.817,-3.519
NTP_NOT_SET,,21688,2,1.05176,0.33887,0.18628,-2.84,37.023,75.916
NTP_NOT_SET,,21888,1,0.99756,0.1228,0.23267,-11.336,9.573,-3.122
NTP_NOT_SET,,21888,2,0.9231,0.08252,0.07959,0.557,10.122,48.191
NTP_NOT_SET,,22088,1,0.98633,0.11426,0.22217,-5.176,7.45,-1.954
NTP_NOT_SET,,22088,2,0.95923,0.15942,0.05737,-10.954,3.58,-1.611
NTP_NOT_SET,,22288,1,1.00244,0.11304,0.21875,-0.137,-4.015,0.71
NTP_NOT_SET,,22288,2,0.92188,0.18042,0.11377,-4.802,25.496,21.824
NTP_NOT_SET,,22488,1,0.9873,0.11548,0.20679,-1.412,0.527,0.443
NTP_NOT_SET,,22488,2,0.91895,0.07153,0.16431,-2.824,-3.748,24.802
NTP_NOT_SET,,22688,1,0.98901,0.11523,0.2124,-0.13,-4.855,1.374
NTP_NOT_SET,,22688,2,0.91089,0.05664,0.08105,-44.168,40.634,-18.817
NTP_NOT_SET,,22888,1,0.99536,0.11426,0.15918,-0.29,-3.679,2.328
NTP_NOT_SET,,22888,2,0.89941,0.02563,0.21777,7.473,7.382,20.382
NTP_NOT_SET,,23088,1,0.99658,0.10962,0.16333,1.992,-15.443,1.275
NTP_NOT_SET,,23088,2,0.98242,0.1311,0.35278,-22.855,3.771,-38.206
NTP_NOT_SET,,23288,1,1.02051,0.1377,0.22168,-20.969,2.504,-7.779
NTP_NOT_SET,,23288,2,0.89087,0.33643,0.17944,47.588,-33.802,-23.206
NTP_NOT_SET,,23488,1,0.99194,0.10449,0.19922,-3.954,6.015,-0.565
NTP_NOT_SET,,23488,2,0.87158,0.29224,0.104,0.481,12.344,1.26
NTP_NOT_SET,,23688,1,0.95483,0.07446,0.13623,4.885,6.527,0.618
NTP_NOT_SET,,23688,2,0.52881,0.13184,0.76587,127.947,2.313,4.947
NTP_NOT_SET,,23888,1,1.0,0.08716,0.17993,-2.542,6.176,0.863
NTP_NOT_SET,,23888,2,0.75122,0.1355,0.67212,64.489,30.076,10.496
NTP_NOT_SET,,24088,1,1.00757,0.10522,0.17847,9.565,-6.893,0.679
NTP_NOT_SET,,24088,2,0.31641,0.20459,-0.11499,-220.893,28.359,18.145
NTP_NOT_SET,,24288,1,1.01221,0.11279,0.16064,-1.634,5.145,-0.42
NTP_NOT_SET,,24288,2,0.88647,0.34937,0.18701,-32.542,-4.908,8.695
NTP_NOT_SET,,24488,1,1.00415,0.11426,0.18481,-5.115,6.977,-0.863
