datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-05-23T12:36:49.603653,,,,,,,,,
2026-05-23T12:39:16.798904,,,,,,,,,
2026-05-23T12:44:44.222913,,,,,,,,,
2026-05-23 12:44:43.449,1423822905,5449,1,0.0647,0.6001,-0.95215,-2.053,0.328,-0.122
2026-05-23 12:44:43.449,1423822905,5449,2,0.33105,0.74463,1.01367,-1.458,1.389,1.427
2026-05-23 12:44:43.649,1423823105,5649,1,0.06494,0.6062,-0.94019,-1.519,0.282,-0.069
2026-05-23 12:44:43.649,1423823105,5649,2,0.32764,0.73975,1.00562,-1.771,1.115,1.473
2026-05-23 12:44:43.851,1423823307,5851,1,0.0686,0.60547,-0.96021,-1.649,0.252,0.023
2026-05-23 12:44:43.851,1423823307,5851,2,0.32959,0.74414,1.01807,-0.916,1.153,1.16
2026-05-23 12:44:44.051,1423823507,6051,1,0.06494,0.60352,-0.95435,-1.954,0.221,0.092
2026-05-23 12:44:44.051,1423823507,6051,2,0.32935,0.74097,1.01343,-0.779,0.817,1.328
2026-05-23 12:44:44.251,1423823707,6251,1,0.06152,0.60474,-0.95313,-1.817,0.206,-0.015
2026-05-23 12:44:44.251,1423823707,6251,2,0.33984,0.74316,1.00708,-0.916,1.0,1.389
2026-05-23 12:44:44.451,1423823907,6451,1,0.06836,0.60547,-0.95605,-1.794,0.221,-0.206
2026-05-23 12:44:44.451,1423823907,6451,2,0.33374,0.73877,1.00684,-1.221,1.069,1.45
2026-05-23 12:44:44.651,1423824107,6651,1,0.06152,0.60254,-0.95386,-1.786,0.374,-0.038
2026-05-23 12:44:44.651,1423824107,6651,2,0.33521,0.74512,1.01099,-0.992,1.237,1.366
2026-05-23 12:44:44.851,1423824307,6851,1,0.06372,0.60547,-0.95361,-1.725,0.344,0.084
2026-05-23 12:44:44.851,1423824307,6851,2,0.33032,0.74023,1.01636,-1.145,1.351,1.206
2026-05-23 12:44:45.051,1423824507,7051,1,0.06445,0.60156,-0.94946,-1.809,0.313,0.015
2026-05-23 12:44:45.051,1423824507,7051,2,0.33691,0.73853,1.00879,-1.031,1.076,1.466
2026-05-23 12:44:45.251,1423824707,7251,1,0.06128,0.60718,-0.94629,-1.916,0.229,0.092
2026-05-23 12:44:45.251,1423824707,7251,2,0.33228,0.7417,1.01123,-1.351,1.252,1.107
2026-05-23 12:44:45.451,1423824907,7451,1,0.05884,0.60864,-0.95557,-1.885,0.496,-0.076
2026-05-23 12:44:45.451,1423824907,7451,2,0.33057,0.74072,1.00757,-0.916,0.954,1.443
2026-05-23 12:44:45.704,1423825160,7704,1,0.06494,0.60718,-0.95068,-1.695,0.344,0.038
2026-05-23 12:44:45.704,1423825160,7704,2,0.33081,0.74634,1.01465,-1.191,1.053,1.237
2026-05-23 12:44:45.904,1423825360,7904,1,0.0686,0.60498,-0.95605,-1.618,0.351,0.275
2026-05-23 12:44:45.904,1423825360,7904,2,0.3335,0.74536,1.01099,-1.206,1.267,1.374
2026-05-23 12:44:46.104,1423825560,8104,1,0.06299,0.60571,-0.9502,-1.557,0.252,0.107
2026-05-23 12:44:46.104,1423825560,8104,2,0.3335,0.74146,1.00903,-1.374,1.053,1.168
2026-05-23 12:44:46.304,1423825760,8304,1,0.06445,0.60303,-0.95703,-1.931,0.191,0.069
2026-05-23 12:44:46.304,1423825760,8304,2,0.33301,0.73755,1.0144,-1.321,1.198,1.252
2026-05-23 12:44:46.504,1423825960,8504,1,0.06274,0.60327,-0.96387,-1.817,0.336,-0.13
2026-05-23 12:44:46.504,1423825960,8504,2,0.33228,0.74146,1.01367,-1.58,1.145,1.427
2026-05-23 12:44:46.715,1423826171,8715,1,0.06396,0.6123,-0.96436,-1.672,0.336,0.038
2026-05-23 12:44:46.715,1423826171,8715,2,0.32642,0.73828,1.01099,-1.412,1.382,1.282
2026-05-23 12:44:46.915,1423826371,8915,1,0.06616,0.59766,-0.95337,-1.756,0.336,0.061
2026-05-23 12:44:46.915,1423826371,8915,2,0.33374,0.73804,1.01636,-1.298,1.099,1.214
2026-05-23 12:44:47.115,1423826571,9115,1,0.06055,0.60864,-0.95093,-1.695,0.336,-0.168
2026-05-23 12:44:47.115,1423826571,9115,2,0.33105,0.73755,1.01318,-0.885,1.176,1.305
2026-05-23 12:44:47.315,1423826771,9315,1,0.06982,0.60376,-0.95752,-1.924,0.328,
2026-05-23 12:44:47.315,1423826771,9315,2,0.32764,0.74194,1.00952,-1.214,1.267,1.328
2026-05-23 12:44:47.515,1423826971,9515,1,0.06689,0.60645,-0.94507,-1.718,0.221,0.015
2026-05-23 12:44:47.515,1423826971,9515,2,0.32715,0.7395,1.01514,-1.031,1.084,1.252
2026-05-23 12:44:50.451,1423829907,12451,1,0.06494,0.60889,-0.95874,-1.702,0.557,-0.046
2026-05-23 12:44:50.451,1423829907,12451,2,0.33252,0.74463,1.01855,-0.641,0.969,0.893
2026-05-23 12:44:50.651,1423830107,12651,1,0.06543,0.59912,-0.95435,-1.802,0.336,-0.084
2026-05-23 12:44:50.651,1423830107,12651,2,0.32959,0.73291,1.01733,-1.244,1.137,1.473
2026-05-23 12:44:50.851,1423830307,12851,1,0.05957,0.59497,-0.95215,-1.863,0.191,-0.069
2026-05-23 12:44:50.851,1423830307,12851,2,0.33228,0.73901,1.00928,-1.183,1.298,1.313
2026-05-23 12:44:51.051,1423830507,13051,1,0.07007,0.60425,-0.95337,-1.756,0.29,0.023
2026-05-23 12:44:51.051,1423830507,13051,2,0.33496,0.74219,1.01367,-1.244,1.298,1.771
2026-05-23 12:44:51.251,1423830707,13251,1,0.06689,0.60938,-0.95752,-1.84,0.168,-0.046
2026-05-23 12:44:51.251,1423830707,13251,2,0.33472,0.73853,1.00757,-1.214,1.092,1.359
2026-05-23 12:44:51.453,1423830909,13453,1,0.06299,0.60229,-0.95532,-1.901,0.282,-0.13
2026-05-23 12:44:51.453,1423830909,13453,2,0.33154,0.7373,1.01367,-0.916,1.237,1.252
2026-05-23 12:44:51.653,1423831109,13653,1,0.06079,0.60547,-0.94653,-1.534,0.282,-0.069
2026-05-23 12:44:51.653,1423831109,13653,2,0.32422,0.7312,1.01758,-1.573,1.031,1.267
2026-05-23 12:44:51.853,1423831309,13853,1,0.06665,0.60571,-0.9519,-1.679,0.412,0.107
2026-05-23 12:44:51.853,1423831309,13853,2,0.32983,0.73779,1.01172,-1.153,1.122,1.389
2026-05-23 12:44:52.053,1423831509,14053,1,0.05884,0.60596,-0.95728,-1.931,0.298,-0.122
2026-05-23 12:44:52.053,1423831509,14053,2,0.33203,0.7395,1.01636,-1.656,1.26,1.145
2026-05-23 12:44:52.253,1423831709,14253,1,0.0625,0.60425,-0.95679,-1.779,0.244,-0.069
2026-05-23 12:44:52.253,1423831709,14253,2,0.33545,0.73657,1.01318,-1.076,1.092,1.321
2026-05-23 12:44:54.934,1423834390,16934,1,0.06421,0.60425,-0.95898,-1.626,0.336,0.061
2026-05-23 12:44:54.934,1423834390,16934,2,0.33594,0.73877,1.02295,-1.13,1.084,1.244
2026-05-23 12:44:55.134,1423834590,17134,1,0.06934,0.60815,-0.95703,-1.992,0.336,0.031
2026-05-23 12:44:55.134,1423834590,17134,2,0.34058,0.73682,1.01099,-1.221,1.115,1.443
2026-05-23 12:44:55.334,1423834790,17334,1,0.06152,0.60449,-0.95239,-1.901,0.206,-0.076
2026-05-23 12:44:55.334,1423834790,17334,2,0.33496,0.73486,1.01807,-1.45,1.092,1.282
