datetime,epoch_ms,ts_millis,sensor,temperature_c,pressure_hpa,altitude_m
2026-05-20 13:18:22.491,1166641947,6491,BME280,27.11,1005.67,63.277
2026-05-20 13:18:22.691,1166642147,6691,BME280,27.11,1005.67,63.277
2026-05-20 13:18:25.588,1166645044,9588,BME280,27.12,1005.65,63.451
2026-05-20 13:18:28.651,1166648107,12651,BME280,27.12,1005.65,63.495
2026-05-20 13:18:29.851,1166649307,12851,BME280,27.12,1005.65,63.495
2026-05-20 13:18:29.051,1166648507,13051,BME280,27.12,1005.65,63.495
2026-05-20 13:18:29.251,1166648707,13251,BME280,27.12,1005.65,63.495
2026-05-20 13:18:29.451,1166648907,13451,BME280,27.11,1005.64,63.543
2026-05-20 13:18:32.381,1166651837,16381,BME280,27.11,1005.63,63.658
2026-05-20 13:18:32.581,1166652037,16581,BME280,27.11,1005.63,63.658
2026-05-20 13:18:33.781,1166653237,16781,BME280,27.11,1005.63,63.658
2026-05-20 13:18:33.981,1166653437,16981,BME280,27.11,1005.63,63.658
2026-05-20 13:18:33.267,1166652723,17267,BME280,27.12,1005.63,63.649
2026-05-20 13:18:33.467,1166652923,17467,BME280,27.12,1005.63,63.649
2026-05-20 13:18:33.667,1166653123,17667,BME280,27.12,1005.63,63.649
2026-05-20 13:18:34.867,1166654323,17867,BME280,27.12,1005.63,63.649
2026-05-20 13:18:34.067,1166653523,18067,BME280,27.12,1005.63,63.649
2026-05-20 13:18:34.267,1166653723,18267,BME280,27.11,1005.62,63.692
2026-05-20 13:18:34.467,1166653923,18467,BME280,27.11,1005.62,63.692
2026-05-20 13:18:34.667,1166654123,18667,BME280,27.11,1005.62,63.692
2026-05-20 13:18:35.867,1166655323,18867,BME280,27.11,1005.62,63.692
2026-05-20 13:18:35.067,1166654523,19067,BME280,27.11,1005.62,63.692
2026-05-20 13:18:38.924,1166658380,21923,BME280,27.12,1005.63,63.677
2026-05-20 13:18:38.123,1166657579,22123,BME280,27.12,1005.63,63.677
2026-05-20 13:18:38.419,1166657875,22419,BME280,27.11,1005.63,63.644
2026-05-20 13:18:38.619,1166658075,22619,BME280,27.11,1005.63,63.644
2026-05-20 13:18:39.819,1166659275,22819,BME280,27.11,1005.63,63.644
2026-05-20 13:18:41.549,1166661005,25549,BME280,27.12,1005.64,63.519
2026-05-20 13:18:42.749,1166662205,25749,BME280,27.12,1005.64,63.519
2026-05-20 13:18:44.561,1166664017,28561,BME280,27.12,1005.67,63.287
2026-05-20 13:18:47.586,1166667042,31586,BME280,27.12,1005.66,63.365
2026-05-20 13:18:48.786,1166668242,31786,BME280,27.12,1005.66,63.365
2026-05-20 13:18:48.173,1166667629,32173,BME280,27.12,1005.66,63.365
2026-05-20 13:18:48.373,1166667829,32373,BME280,27.12,1005.66,63.388
2026-05-20 13:18:48.573,1166668029,32573,BME280,27.12,1005.66,63.388
2026-05-20 13:18:49.773,1166669229,32773,BME280,27.12,1005.66,63.388
2026-05-20 13:18:49.973,1166669429,32973,BME280,27.12,1005.66,63.388
2026-05-20 13:18:49.173,1166668629,33173,BME280,27.12,1005.66,63.388
2026-05-20 13:18:52.240,1166671696,36240,BME280,27.11,1005.63,63.605
2026-05-20 13:18:52.440,1166671896,36440,BME280,27.11,1005.63,63.605
2026-05-20 13:18:52.640,1166672096,36640,BME280,27.11,1005.63,63.605
2026-05-20 13:18:53.890,1166673346,36890,BME280,27.11,1005.63,63.605
2026-05-20 13:18:53.090,1166672546,37090,BME280,27.11,1005.63,63.605
2026-05-20 13:18:53.290,1166672746,37290,BME280,27.12,1005.62,63.736
2026-05-20 13:18:53.540,1166672996,37540,BME280,27.12,1005.62,63.736
2026-05-20 13:18:54.740,1166674196,37740,BME280,27.12,1005.62,63.736
2026-05-20 13:18:54.940,1166674396,37940,BME280,27.12,1005.62,63.736
2026-05-20 13:18:54.140,1166673596,38140,BME280,27.12,1005.62,63.736
2026-05-20 13:18:54.340,1166673796,38340,BME280,27.13,1005.64,63.567
2026-05-20 13:18:54.540,1166673996,38540,BME280,27.13,1005.64,63.567
2026-05-20 13:18:55.740,1166675196,38740,BME280,27.13,1005.64,63.567
2026-05-20 13:18:55.976,1166675432,38976,BME280,27.13,1005.64,63.567
2026-05-20 13:18:55.176,1166674632,39176,BME280,27.12,1005.64,63.572
2026-05-20 13:18:55.376,1166674832,39376,BME280,27.12,1005.64,63.572
2026-05-20 13:18:55.576,1166675032,39576,BME280,27.12,1005.64,63.572
2026-05-20 13:18:56.776,1166676232,39776,BME280,27.12,1005.64,63.572
2026-05-20 13:18:56.976,1166676432,39976,BME280,27.12,1005.64,63.572
2026-05-20 13:18:56.176,1166675632,40176,BME280,27.12,1005.63,63.649
2026-05-20 13:18:56.376,1166675832,40376,BME280,27.12,1005.63,63.649
2026-05-20 13:18:56.576,1166676032,40576,BME280,27.12,1005.63,63.649
2026-05-20 13:18:57.996,1166677452,40996,BME280,27.12,1005.63,63.649
2026-05-20 13:18:57.196,1166676652,41196,BME280,27.12,1005.63,63.635
2026-05-20 13:18:57.396,1166676852,41396,BME280,27.12,1005.63,63.635
2026-05-20 13:18:57.596,1166677052,41596,BME280,27.12,1005.63,63.635
2026-05-20 13:18:58.796,1166678252,41796,BME280,27.12,1005.63,63.635
2026-05-20 13:19:00.445,1166679901,44444,BME280,27.11,1005.66,63.355
2026-05-20 13:19:00.644,1166680100,44644,BME280,27.11,1005.66,63.355
2026-05-20 13:19:01.844,1166681300,44844,BME280,27.11,1005.66,63.355
2026-05-20 13:19:01.044,1166680500,45044,BME280,27.11,1005.66,63.355
2026-05-20 13:19:01.244,1166680700,45244,BME280,27.12,1005.65,63.461
2026-05-20 13:19:01.444,1166680900,45444,BME280,27.12,1005.65,63.461
2026-05-20 13:19:06.489,1166685945,50488,BME280,27.12,1005.67,63.336
2026-05-20 13:19:09.194,1166688650,53194,BME280,27.11,1005.64,63.557
2026-05-20 13:19:09.394,1166688850,53394,BME280,27.11,1005.64,63.557
2026-05-20 13:19:12.224,1166691680,56224,BME280,27.11,1005.62,63.72
2026-05-20 13:19:12.424,1166691880,56424,BME280,27.11,1005.62,63.72
2026-05-20 13:19:12.624,1166692080,56624,BME280,27.11,1005.62,63.72
2026-05-20 13:19:13.980,1166693436,56980,BME280,27.11,1005.62,63.72
2026-05-20 13:19:13.180,1166692636,57180,BME280,27.13,1005.66,63.351
2026-05-20 13:19:16.741,1166696197,59741,BME280,27.12,1005.68,63.23
2026-05-20 13:19:16.941,1166696397,59941,BME280,27.12,1005.68,63.23
2026-05-20 13:19:19.772,1166699228,62772,BME280,27.12,1005.66,63.408
2026-05-20 13:19:19.972,1166699428,62972,BME280,27.12,1005.66,63.408
2026-05-20 13:19:19.172,1166698628,63172,BME280,27.12,1005.66,63.394
2026-05-20 13:19:19.372,1166698828,63372,BME280,27.12,1005.66,63.394
2026-05-20 13:19:19.572,1166699028,63572,BME280,27.12,1005.66,63.394
