datetime,epoch_ms,ts_millis,sensor,temperature_c,pressure_hpa,altitude_m
2026-05-23 16:41:31.895,1438031351,5895,BME280,25.13,1006.32,57.847
2026-05-23 16:41:31.095,1438030551,6095,BME280,25.13,1006.32,57.847
2026-05-23 16:41:31.295,1438030751,6295,BME280,25.12,1006.32,57.872
2026-05-23 16:41:32.495,1438031951,6495,BME280,25.12,1006.32,57.872
2026-05-23 16:41:32.695,1438032151,6695,BME280,25.12,1006.32,57.872
2026-05-23 16:41:32.895,1438032351,6895,BME280,25.12,1006.32,57.872
2026-05-23 16:41:32.095,1438031551,7095,BME280,25.12,1006.32,57.872
2026-05-23 16:41:32.295,1438031751,7295,BME280,25.12,1006.3,57.996
2026-05-23 16:41:33.495,1438032951,7495,BME280,25.12,1006.3,57.996
2026-05-23 16:41:33.695,1438033151,7695,BME280,25.12,1006.3,57.996
2026-05-23 16:41:33.895,1438033351,7895,BME280,25.12,1006.3,57.996
2026-05-23 16:41:33.095,1438032551,8095,BME280,25.12,1006.3,57.996
2026-05-23 16:41:33.295,1438032751,8295,BME280,25.13,1006.33,57.733
2026-05-23 16:41:34.495,1438033951,8495,BME280,25.13,1006.33,57.733
2026-05-23 16:41:34.695,1438034151,8695,BME280,25.13,1006.33,57.733
2026-05-23 16:41:34.895,1438034351,8895,BME280,25.13,1006.33,57.733
2026-05-23 16:41:34.095,1438033551,9095,BME280,25.13,1006.33,57.733
2026-05-23 16:41:34.295,1438033751,9295,BME280,25.13,1006.32,57.838
2026-05-23 16:41:35.495,1438034951,9495,BME280,25.13,1006.32,57.838
2026-05-23 16:41:35.695,1438035151,9695,BME280,25.13,1006.32,57.838
2026-05-23 16:41:35.895,1438035351,9895,BME280,25.13,1006.32,57.838
2026-05-23 16:41:35.095,1438034551,10095,BME280,25.13,1006.32,57.838
2026-05-23 16:41:35.295,1438034751,10295,BME280,25.12,1006.31,57.938
2026-05-23 16:41:36.495,1438035951,10495,BME280,25.12,1006.31,57.938
2026-05-23 16:41:36.695,1438036151,10695,BME280,25.12,1006.31,57.938
2026-05-23 16:41:36.895,1438036351,10895,BME280,25.12,1006.31,57.938
2026-05-23 16:41:39.794,1438039250,13794,BME280,25.12,1006.32,57.872
2026-05-23 16:41:39.994,1438039450,13994,BME280,25.12,1006.32,57.872
2026-05-23 16:41:39.194,1438038650,14194,BME280,25.12,1006.32,57.872
2026-05-23 16:41:39.394,1438038850,14394,BME280,25.12,1006.32,57.829
