datetime,epoch_ms,ts_millis,sensor,temperature_c,pressure_hpa,altitude_m
2026-06-01 13:29:26.588,2204106044,1057588,BME280,29.94,1007.0,52.145
2026-06-01 13:29:26.588,2204106044,1057588,BME280,29.94,1007.0,52.145
2026-06-01 13:29:39.398,2204118854,1070398,BME280,29.94,1007.0,52.15
2026-06-01 13:29:39.398,2204118854,1070398,BME280,29.94,1007.0,52.15
2026-06-01 13:29:45.393,2204124849,1076392,BME280,29.94,1006.96,52.489
2026-06-01 13:29:45.691,2204125147,1076691,BME280,29.94,1006.96,52.489
2026-06-01 13:29:45.891,2204125347,1076891,BME280,29.94,1006.96,52.489
2026-06-01 13:29:46.291,2204125747,1077291,BME280,29.94,1006.99,52.242
2026-06-01 13:29:46.491,2204125947,1077491,BME280,29.94,1006.99,52.242
2026-06-01 13:29:46.750,2204126206,1077750,BME280,29.94,1006.99,52.242
2026-06-01 13:29:46.950,2204126406,1077950,BME280,29.94,1006.99,52.242
2026-06-01 13:29:46.150,2204125606,1078150,BME280,29.95,1007.02,52.04
2026-06-01 13:29:47.350,2204126806,1078350,BME280,29.95,1007.02,52.04
2026-06-01 13:29:47.550,2204127006,1078550,BME280,29.95,1007.02,52.04
2026-06-01 13:29:47.750,2204127206,1078750,BME280,29.95,1007.02,52.04
2026-06-01 13:29:47.950,2204127406,1078950,BME280,29.95,1007.02,52.04
2026-06-01 13:29:47.150,2204126606,1079150,BME280,29.95,1007.0,52.142
2026-06-01 13:29:48.350,2204127806,1079350,BME280,29.95,1007.0,52.142
2026-06-01 13:29:48.550,2204128006,1079550,BME280,29.95,1007.0,52.142
2026-06-01 13:29:48.776,2204128232,1079776,BME280,29.95,1007.0,52.142
2026-06-01 13:29:48.776,2204128232,1079776,BME280,29.95,1007.0,52.142
2026-06-01 13:29:55.424,2204134880,1086423,BME280,29.95,1006.99,52.233
2026-06-01 13:29:55.623,2204135079,1086623,BME280,29.95,1006.99,52.233
2026-06-01 13:29:55.828,2204135284,1086828,BME280,29.95,1006.99,52.233
2026-06-01 13:29:55.028,2204134484,1087028,BME280,29.95,1006.97,52.378
2026-06-01 13:29:55.228,2204134684,1087228,BME280,29.95,1006.97,52.378
2026-06-01 13:29:56.428,2204135884,1087428,BME280,29.95,1006.97,52.378
2026-06-01 13:29:56.628,2204136084,1087628,BME280,29.95,1006.97,52.378
2026-06-01 13:29:56.828,2204136284,1087828,BME280,29.95,1006.97,52.378
2026-06-01 13:29:56.028,2204135484,1088028,BME280,29.95,1007.0,52.161
2026-06-01 13:29:56.228,2204135684,1088228,BME280,29.95,1007.0,52.161
2026-06-01 13:29:57.428,2204136884,1088428,BME280,29.95,1007.0,52.161
2026-06-01 13:29:57.628,2204137084,1088628,BME280,29.95,1007.0,52.161
2026-06-01 13:29:57.828,2204137284,1088828,BME280,29.95,1007.0,52.161
2026-06-01 13:29:57.028,2204136484,1089028,BME280,29.95,1006.97,52.446
2026-06-01 13:29:57.228,2204136684,1089228,BME280,29.95,1006.97,52.446
2026-06-01 13:29:58.428,2204137884,1089428,BME280,29.95,1006.97,52.446
2026-06-01 13:29:58.628,2204138084,1089628,BME280,29.95,1006.97,52.446
2026-06-01 13:29:58.828,2204138284,1089828,BME280,29.95,1006.97,52.446
2026-06-01 13:29:58.028,2204137484,1090028,BME280,29.94,1006.96,52.469
2026-06-01 13:29:58.228,2204137684,1090228,BME280,29.94,1006.96,52.469
2026-06-01 13:29:59.428,2204138884,1090428,BME280,29.94,1006.96,52.469
2026-06-01 13:29:59.628,2204139084,1090628,BME280,29.94,1006.96,52.469
2026-06-01 13:29:59.828,2204139284,1090828,BME280,29.94,1006.96,52.469
2026-06-01 13:29:59.028,2204138484,1091028,BME280,29.95,1007.0,52.204
2026-06-01 13:29:59.228,2204138684,1091228,BME280,29.95,1007.0,52.204
2026-06-01 13:30:00.428,2204139884,1091428,BME280,29.95,1007.0,52.204
2026-06-01 13:30:00.628,2204140084,1091628,BME280,29.95,1007.0,52.204
2026-06-01 13:30:00.828,2204140284,1091828,BME280,29.95,1007.0,52.204
2026-06-01 13:30:00.028,2204139484,1092028,BME280,29.95,1006.99,52.218
2026-06-01 13:30:00.228,2204139684,1092228,BME280,29.95,1006.99,52.218
2026-06-01 13:30:01.428,2204140884,1092428,BME280,29.95,1006.99,52.218
2026-06-01 13:30:01.628,2204141084,1092628,BME280,29.95,1006.99,52.218
2026-06-01 13:30:01.828,2204141284,1092828,BME280,29.95,1006.99,52.218
2026-06-01 13:30:01.028,2204140484,1093028,BME280,29.95,1007.0,52.2
2026-06-01 13:30:01.228,2204140684,1093228,BME280,29.95,1007.0,52.2
2026-06-01 13:30:02.428,2204141884,1093428,BME280,29.95,1007.0,52.2
2026-06-01 13:30:02.628,2204142084,1093628,BME280,29.95,1007.0,52.2
2026-06-01 13:30:02.828,2204142284,1093828,BME280,29.95,1007.0,52.2
2026-06-01 13:30:02.028,2204141484,1094028,BME280,29.95,1006.99,52.257
2026-06-01 13:30:02.228,2204141684,1094228,BME280,29.95,1006.99,52.257
2026-06-01 13:30:03.428,2204142884,1094428,BME280,29.95,1006.99,52.257
2026-06-01 13:30:03.628,2204143084,1094628,BME280,29.95,1006.99,52.257
2026-06-01 13:30:03.828,2204143284,1094828,BME280,29.95,1006.99,52.257
2026-06-01 13:30:03.028,2204142484,1095028,BME280,29.95,1007.0,52.152
2026-06-01 13:30:03.228,2204142684,1095228,BME280,29.95,1007.0,52.152
2026-06-01 13:30:04.428,2204143884,1095428,BME280,29.95,1007.0,52.152
2026-06-01 13:30:04.628,2204144084,1095628,BME280,29.95,1007.0,52.152
2026-06-01 13:30:04.828,2204144284,1095828,BME280,29.95,1007.0,52.152
2026-06-01 13:30:04.028,2204143484,1096028,BME280,29.94,1006.98,52.368
2026-06-01 13:30:04.228,2204143684,1096228,BME280,29.94,1006.98,52.368
2026-06-01 13:30:05.428,2204144884,1096428,BME280,29.94,1006.98,52.368
2026-06-01 13:30:05.628,2204145084,1096628,BME280,29.94,1006.98,52.368
2026-06-01 13:30:05.828,2204145284,1096828,BME280,29.94,1006.98,52.368
2026-06-01 13:30:05.028,2204144484,1097028,BME280,29.94,1006.98,52.31
2026-06-01 13:30:05.228,2204144684,1097228,BME280,29.94,1006.98,52.31
2026-06-01 13:30:06.428,2204145884,1097428,BME280,29.94,1006.98,52.31
2026-06-01 13:30:06.628,2204146084,1097628,BME280,29.94,1006.98,52.31
2026-06-01 13:30:06.828,2204146284,1097828,BME280,29.94,1006.98,52.31
2026-06-01 13:30:06.028,2204145484,1098028,BME280,29.94,1006.96,52.498
2026-06-01 13:30:06.228,2204145684,1098228,BME280,29.94,1006.96,52.498
2026-06-01 13:30:07.428,2204146884,1098428,BME280,29.94,1006.96,52.498
2026-06-01 13:30:07.628,2204147084,1098628,BME280,29.94,1006.96,52.498
2026-06-01 13:30:07.828,2204147284,1098828,BME280,29.94,1006.96,52.498
2026-06-01 13:30:07.028,2204146484,1099028,BME280,29.95,1006.99,52.262
2026-06-01 13:30:07.228,2204146684,1099228,BME280,29.95,1006.99,52.262
2026-06-01 13:30:08.428,2204147884,1099428,BME280,29.95,1006.99,52.262
2026-06-01 13:30:08.628,2204148084,1099628,BME280,29.95,1006.99,52.262
2026-06-01 13:30:08.828,2204148284,1099828,BME280,29.95,1006.99,52.262
2026-06-01 13:30:08.028,2204147484,1100028,BME280,29.95,1007.0,52.137
2026-06-01 13:30:08.228,2204147684,1100228,BME280,29.95,1007.0,52.137
2026-06-01 13:30:09.428,2204148884,1100428,BME280,29.95,1007.0,52.137
2026-06-01 13:30:09.628,2204149084,1100628,BME280,29.95,1007.0,52.137
2026-06-01 13:30:09.828,2204149284,1100828,BME280,29.95,1007.0,52.137
2026-06-01 13:30:09.028,2204148484,1101028,BME280,29.96,1007.0,52.191
2026-06-01 13:30:09.228,2204148684,1101228,BME280,29.96,1007.0,52.191
