datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-05-20 12:06:08.064,1162307520,151063,2,1.06812,0.18115,0.13086,-15.168,-42.366,-8.702
2026-05-20 12:06:13.241,1162312697,156240,1,0.98608,0.05615,0.45313,1.756,19.588,-10.649
2026-05-20 12:06:13.241,1162312697,156240,1,0.98608,0.05615,0.45313,1.756,19.588,-10.649
2026-05-20 12:06:13.241,1162312697,156240,2,0.99927,0.06079,0.1521,-12.588,-2.84,0.893
2026-05-20 12:06:18.391,1162317847,161391,1,1.02124,-0.09204,0.35181,-2.214,-0.206,-2.992
2026-05-20 12:06:18.391,1162317847,161391,1,1.02124,-0.09204,0.35181,-2.214,-0.206,-2.992
2026-05-20 12:06:18.391,1162317847,161391,2,1.01953,0.10474,0.05078,-7.924,1.115,3.321
2026-05-20 12:06:23.485,1162322941,166485,1,1.01392,-0.12451,0.35889,-2.267,0.412,-1.496
2026-05-20 12:06:23.485,1162322941,166485,2,1.02979,0.12573,0.06445,0.55,1.626,-2.664
2026-05-20 12:06:23.685,1162323141,166685,1,1.00854,-0.08325,0.36646,0.847,3.366,-3.092
2026-05-20 12:06:23.685,1162323141,166685,2,1.00537,0.12378,0.04126,-8.145,1.611,-3.817
2026-05-20 12:06:26.696,1162326152,169696,1,1.01611,-0.04004,0.40381,-10.374,2.641,-6.046
2026-05-20 12:06:26.696,1162326152,169696,2,1.01147,0.11938,0.04614,-8.359,3.992,-0.824
2026-05-20 12:06:26.896,1162326352,169896,1,1.02344,-0.0459,0.41064,-24.221,5.916,-10.374
2026-05-20 12:06:26.896,1162326352,169896,2,1.01123,0.11572,0.02783,-20.656,-6.137,7.405
2026-05-20 12:06:27.096,1162326552,170096,1,0.93335,-0.07324,0.41211,-21.557,8.168,-16.664
2026-05-20 12:06:27.096,1162326552,170096,2,0.95825,0.10376,0.04858,-0.969,-4.26,0.641
2026-05-20 12:06:27.296,1162326752,170296,1,1.07715,0.10083,0.48242,-19.046,-7.763,-2.71
2026-05-20 12:06:27.296,1162326752,170296,2,1.08228,0.07642,-0.18774,-36.87,-0.061,-1.305
2026-05-20 12:06:27.496,1162326952,170496,1,0.87988,0.10962,0.36206,-12.084,-22.702,-11.962
2026-05-20 12:06:27.496,1162326952,170496,2,0.91235,0.2124,0.0481,-7.237,19.878,4.336
2026-05-20 12:06:27.696,1162327152,170696,1,0.81714,0.02222,0.34302,30.84,21.824,-12.786
2026-05-20 12:06:27.696,1162327152,170696,2,1.09863,-0.13452,0.25366,-2.695,-19.122,-21.824
2026-05-20 12:06:27.896,1162327352,170896,1,0.96655,-0.01343,0.40356,-13.718,11.336,-0.221
2026-05-20 12:06:27.896,1162327352,170896,2,0.95728,0.21997,-0.09229,27.756,11.069,32.947
2026-05-20 12:06:30.825,1162330281,173825,1,0.98438,-0.03442,0.44995,7.221,-1.771,-13.481
2026-05-20 12:06:30.825,1162330281,173825,2,1.13037,0.01855,-0.1748,-1.42,-15.924,31.282
2026-05-20 12:06:30.025,1162329481,174025,1,1.00903,-0.08276,0.46338,6.985,-9.992,17.573
2026-05-20 12:06:30.025,1162329481,174025,2,0.97559,0.17603,-0.09814,-9.908,25.939,-63.038
