datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-05-20 15:20:56.284,1173995740,7284,1,0.89502,0.23779,0.53833,14.634,1.42,27.847
2026-05-20 15:20:56.284,1173995740,7284,2,1.03125,0.08765,-0.11621,5.076,-12.031,18.84
2026-05-20 15:20:56.484,1173995940,7484,1,1.13086,0.10132,0.47412,10.641,-35.519,26.519
2026-05-20 15:20:56.484,1173995940,7484,2,0.96021,-0.02637,-0.01318,59.878,31.122,26.885
2026-05-20 15:20:56.684,1173996140,7684,1,1.02417,-0.20264,0.375,41.267,-19.366,28.069
2026-05-20 15:20:56.684,1173996140,7684,2,0.93823,-0.41357,-0.10181,87.855,-6.412,37.191
2026-05-20 15:20:56.884,1173996340,7884,1,0.99756,-0.33594,0.3125,45.115,-17.481,39.588
2026-05-20 15:20:56.884,1173996340,7884,2,0.95361,-0.30884,-0.22339,68.458,-11.267,18.405
2026-05-20 15:20:56.084,1173995540,8084,1,1.09814,-0.33179,0.14136,58.847,4.504,14.496
2026-05-20 15:20:56.084,1173995540,8084,2,0.93945,-0.36255,-0.20483,71.153,-3.328,-11.641
2026-05-20 15:20:57.284,1173996740,8284,1,0.98682,-0.24316,0.31372,49.313,-4.038,-12.13
2026-05-20 15:20:57.284,1173996740,8284,2,0.9939,-0.30396,-0.24292,53.214,-11.008,-27.824
2026-05-20 15:20:57.484,1173996940,8484,1,1.26904,-0.13647,0.39771,42.0,-25.359,0.687
2026-05-20 15:20:57.484,1173996940,8484,2,0.91772,-0.01465,-0.073,23.664,9.473,-21.267
2026-05-20 15:20:57.684,1173997140,8684,1,0.94946,0.1167,0.52417,6.824,21.481,-16.023
2026-05-20 15:20:57.684,1173997140,8684,2,0.9646,0.02881,-0.02759,18.183,2.634,-8.321
2026-05-20 15:20:57.884,1173997340,8884,1,0.98193,0.1958,0.44287,-18.557,5.924,-8.641
2026-05-20 15:20:57.884,1173997340,8884,2,0.99707,-0.02832,-0.0415,-40.489,19.763,-7.885
2026-05-20 15:20:57.084,1173996540,9084,1,0.9707,0.14014,0.46094,-55.855,1.374,-24.015
2026-05-20 15:20:57.084,1173996540,9084,2,0.98047,0.0332,-0.02686,-72.794,8.611,8.71
2026-05-20 15:20:58.284,1173997740,9284,1,0.95557,0.20898,0.53711,-99.618,-13.145,-18.939
2026-05-20 15:20:58.284,1173997740,9284,2,0.98633,0.21411,-0.22144,-130.489,2.313,1.985
2026-05-20 15:20:58.484,1173997940,9484,1,0.97046,-0.06616,0.36621,-91.374,-10.817,-33.962
2026-05-20 15:20:58.484,1173997940,9484,2,0.96338,-0.375,0.02344,-117.176,-13.382,4.191
2026-05-20 15:20:58.684,1173998140,9684,1,1.0022,-0.16016,0.33716,-88.374,-6.519,-10.939
2026-05-20 15:20:58.684,1173998140,9684,2,1.01025,-0.24487,-0.17212,-73.427,18.237,27.252
2026-05-20 15:20:58.884,1173998340,9884,1,1.0188,-0.22241,0.29224,-94.824,12.603,-1.397
2026-05-20 15:20:58.884,1173998340,9884,2,0.93726,-0.37378,-0.20605,-108.863,5.802,33.656
2026-05-20 15:20:58.084,1173997540,10084,1,0.98218,-0.46851,0.31445,-39.809,13.305,-8.031
2026-05-20 15:20:58.084,1173997540,10084,2,0.89307,-0.45972,-0.22607,-21.634,11.153,8.191
2026-05-20 15:20:59.284,1173998740,10284,1,0.95288,-0.42114,0.34033,15.611,-1.672,-3.863
2026-05-20 15:20:59.284,1173998740,10284,2,0.9187,-0.43188,-0.21631,24.527,10.679,-20.321
2026-05-20 15:20:59.484,1173998940,10484,1,0.95801,-0.24414,0.36328,29.504,3.42,-14.015
2026-05-20 15:20:59.484,1173998940,10484,2,0.9375,-0.33374,-0.16431,37.13,-22.954,-28.328
2026-05-20 15:20:59.684,1173999140,10684,1,0.99268,0.03589,0.48511,50.779,13.847,-7.771
2026-05-20 15:20:59.684,1173999140,10684,2,1.14502,-0.02881,-0.18237,75.229,-19.336,-2.359
2026-05-20 15:20:59.884,1173999340,10884,1,0.90063,0.10059,0.40283,61.473,2.389,1.466
2026-05-20 15:20:59.884,1173999340,10884,2,1.02563,-0.03345,-0.17944,35.038,6.679,-27.443
2026-05-20 15:20:59.084,1173998540,11084,1,1.02515,0.11914,0.38501,43.718,6.115,0.13
2026-05-20 15:20:59.084,1173998540,11084,2,1.00854,-0.01929,-0.04419,29.618,4.115,-10.763
2026-05-20 15:21:00.284,1173999740,11284,1,0.97827,0.12622,0.44556,10.023,5.481,-4.649
2026-05-20 15:21:00.284,1173999740,11284,2,1.03516,0.06812,-0.1189,5.099,-7.74,-6.443
2026-05-20 15:21:00.484,1173999940,11484,1,0.97754,0.21753,0.46875,-5.038,3.328,-7.702
2026-05-20 15:21:00.484,1173999940,11484,2,1.03882,0.0354,-0.09399,-11.664,7.099,2.969
2026-05-20 15:21:00.684,1174000140,11684,1,0.96289,0.21484,0.41675,-21.664,-4.55,6.603
2026-05-20 15:21:00.684,1174000140,11684,2,1.00122,0.04346,-0.09497,-23.298,-13.802,15.29
