datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-05-20 12:57:08.387,1165367843,9387,1,,,,,,
2026-05-20 12:57:08.387,1165367843,9387,2,-0.30933,-0.78955,-0.59741,-1.229,0.557,0.412
2026-05-20 12:57:09.587,1165369043,9587,1,,,,,,
2026-05-20 12:57:09.587,1165369043,9587,2,-0.30444,-0.78174,-0.5979,-1.443,0.527,0.634
2026-05-20 12:57:09.835,1165369291,9835,1,,,,,,
2026-05-20 12:57:09.835,1165369291,9835,2,-0.30762,-0.78979,-0.60352,-1.252,0.656,0.328
2026-05-20 12:57:09.117,1165368573,10117,1,,,,,,
2026-05-20 12:57:09.117,1165368573,10117,2,-0.30249,-0.78345,-0.59888,-1.382,0.45,0.534
2026-05-20 12:57:09.390,1165368846,10390,1,,,,,,
2026-05-20 12:57:09.390,1165368846,10390,2,-0.30493,-0.78931,-0.59644,-1.344,0.45,0.45
2026-05-20 12:57:10.703,1165370159,10703,1,,,,,,
2026-05-20 12:57:10.703,1165370159,10703,2,-0.30762,-0.78271,-0.59961,-1.366,0.504,0.45
2026-05-20 12:57:10.075,1165369531,11075,1,,,,,,
2026-05-20 12:57:10.075,1165369531,11075,2,-0.14844,-0.89551,-0.50781,2.916,19.969,1.756
2026-05-20 12:57:10.467,1165369923,11467,1,,,,,,
2026-05-20 12:57:10.467,1165369923,11467,2,-0.33862,-0.82422,-0.63037,6.588,15.26,-1.992
2026-05-20 12:57:11.684,1165371140,11684,1,,,,,,
2026-05-20 12:57:11.684,1165371140,11684,2,0.12427,-0.45508,-0.2373,-5.504,-38.351,-59.053
2026-05-20 12:57:11.935,1165371391,11935,1,,,,,,
2026-05-20 12:57:11.935,1165371391,11935,2,-0.41016,-0.78442,-0.60229,-7.084,-3.656,2.931
2026-05-20 12:57:11.135,1165370591,12135,1,,,,,,
2026-05-20 12:57:11.135,1165370591,12135,2,-0.375,-0.7644,-0.6001,6.595,4.397,6.672
2026-05-20 12:57:11.335,1165370791,12335,1,,,,,,
2026-05-20 12:57:11.335,1165370791,12335,2,-0.43042,-0.69556,-0.57129,-8.374,-13.55,23.924
2026-05-20 12:57:11.535,1165370991,12535,1,,,,,,
2026-05-20 12:57:11.535,1165370991,12535,2,-0.63843,-1.81519,-0.96875,88.71,-5.809,78.641
2026-05-20 12:57:12.735,1165372191,12735,1,,,,,,
2026-05-20 12:57:12.735,1165372191,12735,2,-0.42188,-0.73193,-0.5769,-1.328,0.58,0.305
2026-05-20 12:57:14.401,1165373857,15401,1,,,,,,
2026-05-20 12:57:14.401,1165373857,15401,2,-0.53296,-0.73438,-0.61328,16.405,50.015,-86.244
2026-05-20 12:57:15.698,1165375154,15698,1,,,,,,
2026-05-20 12:57:15.698,1165375154,15698,2,-0.39746,-0.75952,-0.5481,4.305,6.198,-12.824
2026-05-20 12:57:15.898,1165375354,15898,1,,,,,,
