datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-05-20 17:18:29.083,1181048539,69083,1,0.896,-0.16699,0.55493,-8.977,8.504,9.496
2026-05-20 17:18:29.083,1181048539,69083,2,0.86621,-0.18286,0.49634,-26.053,1.443,-7.527
2026-05-20 17:18:29.283,1181048739,69283,1,0.87158,-0.19897,0.66187,-11.229,12.863,2.473
2026-05-20 17:18:29.283,1181048739,69283,2,0.79102,-0.19067,0.58105,-1.107,35.237,-15.061
2026-05-20 17:18:29.483,1181048939,69483,1,0.5835,-0.13232,0.33081,15.061,43.053,7.176
2026-05-20 17:18:29.483,1181048939,69483,2,0.41479,0.06055,0.32422,58.42,97.695,3.267
2026-05-20 17:18:29.683,1181049139,69683,1,0.5874,0.0022,0.75073,-3.786,54.244,-17.58
2026-05-20 17:18:29.683,1181049139,69683,2,0.49316,0.05078,0.6814,-36.069,-34.069,-28.107
2026-05-20 17:18:29.883,1181049339,69883,1,0.60938,-0.02173,1.15283,-2.405,-0.885,-5.756
2026-05-20 17:18:29.883,1181049339,69883,2,0.7251,0.19482,0.64111,-27.603,-23.969,-3.908
2026-05-20 17:18:30.083,1181049539,70083,1,0.92944,0.02173,0.90625,3.901,-51.023,-4.947
2026-05-20 17:18:30.083,1181049539,70083,2,0.91748,0.06812,0.77197,5.267,-31.595,16.328
2026-05-20 17:18:30.283,1181049739,70283,1,1.43945,-0.17163,0.71509,-10.542,-10.672,-16.672
2026-05-20 17:18:30.283,1181049739,70283,2,0.81641,0.00732,0.53418,10.252,45.794,-5.962
2026-05-20 17:18:30.483,1181049939,70483,1,0.76929,-0.03076,0.5415,3.046,0.313,-0.779
2026-05-20 17:18:30.483,1181049939,70483,2,0.7793,0.03052,0.61743,1.405,-45.443,6.176
2026-05-20 17:18:30.683,1181050139,70683,1,1.26685,-0.02368,0.71777,32.267,23.763,4.504
2026-05-20 17:18:30.683,1181050139,70683,2,1.05469,0.198,0.62939,38.031,78.328,-16.985
2026-05-20 17:18:30.883,1181050339,70883,1,0.88721,-0.01563,0.95679,-4.55,23.099,-8.267
2026-05-20 17:18:30.883,1181050339,70883,2,0.80835,0.14014,0.67456,17.985,-9.198,13.504
2026-05-20 17:18:31.083,1181050539,71083,1,0.85742,0.0271,1.02124,0.656,0.733,5.214
2026-05-20 17:18:31.083,1181050539,71083,2,0.84277,0.1311,0.65796,16.786,-26.107,22.473
2026-05-20 17:18:31.283,1181050739,71283,1,0.67041,-0.01563,0.57617,-6.748,-20.107,0.282
2026-05-20 17:18:31.283,1181050739,71283,2,0.26367,0.03052,0.13721,5.351,35.427,39.443
2026-05-20 17:18:31.483,1181050939,71483,1,0.52368,-0.06055,0.44312,-2.466,-86.13,-6.534
2026-05-20 17:18:31.483,1181050939,71483,2,1.08765,-0.02783,0.43164,-82.779,-215.885,23.756
2026-05-20 17:18:31.683,1181051139,71683,1,1.15161,-0.04712,0.35669,-20.885,8.481,-1.969
2026-05-20 17:18:31.683,1181051139,71683,2,1.00757,0.01636,0.25488,27.038,66.092,7.641
2026-05-20 17:18:31.883,1181051339,71883,1,1.05835,-0.03418,0.38062,-12.382,-14.534,-9.458
2026-05-20 17:18:31.883,1181051339,71883,2,1.02197,-0.18652,0.26978,26.328,30.061,8.42
2026-05-20 17:18:32.083,1181051539,72083,1,0.95776,-0.00732,0.48291,-0.344,10.718,-2.817
2026-05-20 17:18:32.083,1181051539,72083,2,0.95581,-0.09863,0.4082,-8.26,-0.115,-3.534
2026-05-20 17:18:32.394,1181051850,72394,1,0.88306,0.00391,0.45898,3.153,23.321,5.061
2026-05-20 17:18:32.394,1181051850,72394,2,0.71533,-0.03247,0.3562,-4.809,14.252,-18.84
2026-05-20 17:18:32.706,1181052162,72706,1,0.73291,-0.01831,0.5957,5.542,20.008,2.885
2026-05-20 17:18:32.706,1181052162,72706,2,0.77979,0.11646,0.5813,-4.504,24.809,-8.603
2026-05-20 17:18:33.214,1181052670,73214,1,0.90479,0.01099,0.85059,-0.046,-20.298,-1.206
2026-05-20 17:18:33.214,1181052670,73214,2,1.00537,0.05835,0.6792,-4.672,-22.145,9.145
2026-05-20 17:18:33.414,1181052870,73414,1,1.10303,-0.01733,0.59985,2.229,-10.992,-3.13
2026-05-20 17:18:33.414,1181052870,73414,2,1.05396,0.00903,0.65723,6.397,6.252,1.618
2026-05-20 17:18:33.614,1181053070,73614,1,1.0354,-0.0105,0.59204,-5.176,14.557,-1.244
2026-05-20 17:18:33.614,1181053070,73614,2,0.86841,0.04736,0.57764,30.588,31.298,1.359
2026-05-20 17:18:33.814,1181053270,73814,1,0.83252,0.03564,0.68335,-0.977,3.366,-3.908
2026-05-20 17:18:33.814,1181053270,73814,2,0.80371,-0.00073,0.55591,-11.687,-11.809,-2.55
