datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-05-22 16:30:45.135,1350984591,1772134,2,0.92139,0.38037,0.38867,6.023,-1.901,-8.916
2026-05-22 16:31:00.210,1350999666,1787210,1,0.04028,-0.05664,0.8584,-5.725,3.13,2.397
2026-05-22 16:31:00.210,1350999666,1787210,2,0.5271,-0.44629,1.125,-3.061,1.802,-0.916
2026-05-22 16:31:01.692,1351001148,1787691,1,0.02881,-0.07007,0.84326,-4.496,0.695,-2.84
2026-05-22 16:31:01.692,1351001148,1787691,2,0.52271,-0.43823,1.10815,-0.595,0.756,-2.298
2026-05-22 16:31:01.947,1351001403,1787947,1,0.04346,-0.08179,0.83691,-3.55,-2.595,-2.115
2026-05-22 16:31:01.947,1351001403,1787947,2,0.54419,-0.44116,1.1062,-2.481,-1.58,-2.26
2026-05-22 16:31:01.147,1351000603,1788147,1,0.06348,-0.08545,0.84033,-0.405,-2.947,-1.305
2026-05-22 16:31:01.147,1351000603,1788147,2,0.552,-0.43335,1.12695,-0.359,-0.13,-2.16
2026-05-22 16:31:01.347,1351000803,1788347,1,0.07373,-0.08813,0.8374,-3.145,-2.656,-1.588
2026-05-22 16:31:01.347,1351000803,1788347,2,0.55078,-0.42407,1.10962,-0.962,0.069,0.473
2026-05-22 16:31:01.547,1351001003,1788547,1,0.09058,-0.10156,0.83545,-0.977,-1.702,-0.076
2026-05-22 16:31:01.547,1351001003,1788547,2,0.55615,-0.41699,1.12183,-0.763,1.229,2.992
2026-05-22 16:31:02.911,1351002367,1788911,1,0.07886,-0.08813,0.83838,-3.099,1.794,1.061
2026-05-22 16:31:02.911,1351002367,1788911,2,0.54004,-0.42163,1.11304,-2.611,2.55,4.099
2026-05-22 16:31:02.111,1351001567,1789111,1,0.07031,-0.10303,0.84302,-2.992,3.588,0.321
2026-05-22 16:31:02.111,1351001567,1789111,2,0.54346,-0.43213,1.10522,-4.962,1.389,2.626
2026-05-22 16:31:02.322,1351001778,1789322,1,0.05029,-0.09644,0.83521,-1.206,1.053,0.832
2026-05-22 16:31:02.322,1351001778,1789322,2,0.53394,-0.44751,1.11304,-2.855,0.16,1.794
2026-05-22 16:31:02.522,1351001978,1789522,1,0.05396,-0.09839,0.83398,-0.153,-0.603,-0.244
2026-05-22 16:31:02.522,1351001978,1789522,2,0.54199,-0.43213,1.0896,4.046,-0.687,0.214
2026-05-22 16:31:03.722,1351003178,1789722,1,0.06372,-0.09521,0.8313,1.13,-4.702,2.771
2026-05-22 16:31:03.722,1351003178,1789722,2,0.54614,-0.42188,1.11865,2.824,2.389,0.588
2026-05-22 16:31:03.922,1351003378,1789922,1,0.07715,-0.07935,0.84277,-3.13,-1.947,-1.977
2026-05-22 16:31:03.922,1351003378,1789922,2,0.54468,-0.40552,1.12329,-0.244,-0.275,0.458
2026-05-22 16:31:03.122,1351002578,1790122,1,0.09155,-0.08496,0.83643,-2.084,-2.321,-3.183
2026-05-22 16:31:03.122,1351002578,1790122,2,0.552,-0.4104,1.12573,-0.817,-0.344,-0.756
2026-05-22 16:31:03.322,1351002778,1790322,1,0.11768,-0.09253,0.81958,-3.55,0.069,-1.664
2026-05-22 16:31:03.322,1351002778,1790322,2,0.55493,-0.37646,1.11206,-9.275,-1.641,0.931
2026-05-22 16:31:03.522,1351002978,1790522,1,0.10474,-0.05908,0.84253,0.534,2.45,3.107
2026-05-22 16:31:03.522,1351002978,1790522,2,0.54102,-0.37817,1.14209,-2.931,1.198,1.481
2026-05-22 16:31:04.722,1351004178,1790722,1,0.09399,-0.07349,0.83423,-6.344,2.664,-2.198
2026-05-22 16:31:04.722,1351004178,1790722,2,0.55176,-0.40479,1.12256,-3.954,-0.374,1.802
2026-05-22 16:31:04.922,1351004378,1790922,1,0.09106,-0.1001,0.83716,-1.214,3.55,2.084
2026-05-22 16:31:04.922,1351004378,1790922,2,0.54224,-0.40991,1.11475,-0.908,3.313,3.252
2026-05-22 16:31:04.122,1351003578,1791122,1,0.05884,-0.09424,0.84521,-2.664,2.588,0.588
2026-05-22 16:31:04.122,1351003578,1791122,2,0.53979,-0.43164,1.10693,-0.511,0.053,1.618
2026-05-22 16:31:04.322,1351003778,1791322,1,0.05249,-0.08838,0.86792,-1.992,-1.977,1.168
2026-05-22 16:31:04.322,1351003778,1791322,2,0.5376,-0.42773,1.09155,5.168,-2.84,-1.038
2026-05-22 16:31:04.522,1351003978,1791522,1,0.09521,-0.1228,0.8772,11.985,-9.26,3.527
2026-05-22 16:31:04.522,1351003978,1791522,2,0.54517,-0.32324,0.91821,35.656,10.084,4.634
2026-05-22 16:31:05.722,1351005178,1791722,1,0.11914,-0.10229,0.95337,10.87,-40.244,1.229
2026-05-22 16:31:05.722,1351005178,1791722,2,0.68311,-0.36279,1.04712,44.603,-14.328,-12.802
