datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-05-23 17:25:13.014,1440652470,17014,1,-0.29785,-0.57349,-0.92725,-1.809,0.229,-0.107
2026-05-23 17:25:13.014,1440652470,17014,2,-0.43628,-0.10352,-0.4624,-1.046,0.863,1.389
2026-05-23 17:25:13.214,1440652670,17214,1,-0.302,-0.57666,-0.92456,-1.855,0.382,0.038
2026-05-23 17:25:13.214,1440652670,17214,2,-0.43311,-0.10742,-0.46606,-0.718,1.092,1.275
2026-05-23 17:25:14.414,1440653870,17414,1,-0.30322,-0.57397,-0.92529,-1.687,0.282,0.015
2026-05-23 17:25:14.414,1440653870,17414,2,-0.43164,-0.09766,-0.46924,-0.931,0.84,1.336
2026-05-23 17:25:16.244,1440655700,20243,1,-0.30518,-0.57202,-0.92285,-1.863,0.321,-0.031
2026-05-23 17:25:16.244,1440655700,20243,2,-0.43677,-0.10742,-0.45972,-1.153,1.023,1.42
2026-05-23 17:25:17.443,1440656899,20443,1,-0.2998,-0.573,-0.92944,-1.679,0.366,-0.282
2026-05-23 17:25:17.443,1440656899,20443,2,-0.42847,-0.09985,-0.46753,-0.687,1.267,1.16
2026-05-23 17:25:17.643,1440657099,20643,1,-0.30688,-0.5769,-0.92871,-1.985,0.244,0.061
2026-05-23 17:25:17.643,1440657099,20643,2,-0.43066,-0.10522,-0.4729,-0.947,0.924,1.214
2026-05-23 17:25:17.843,1440657299,20843,1,-0.29956,-0.5686,-0.92822,-1.031,0.527,-0.458
2026-05-23 17:25:17.843,1440657299,20843,2,-0.43799,-0.0957,-0.46582,-0.817,1.168,1.198
2026-05-23 17:25:20.806,1440660262,23806,1,-0.30151,-0.56689,-0.93994,-1.832,0.328,-0.191
2026-05-23 17:25:20.806,1440660262,23806,2,-0.4353,-0.09546,-0.46997,-1.038,1.122,1.122
2026-05-23 17:25:20.006,1440659462,24006,1,-0.30396,-0.56982,-0.93701,-1.672,0.275,-0.198
2026-05-23 17:25:20.006,1440659462,24006,2,-0.427,-0.10693,-0.47559,-1.038,0.969,1.275
2026-05-23 17:25:20.206,1440659662,24206,1,-0.30664,-0.5647,-0.92261,-1.794,0.237,-0.084
2026-05-23 17:25:20.206,1440659662,24206,2,-0.43311,-0.10425,-0.46948,-0.977,1.069,1.275
2026-05-23 17:25:21.406,1440660862,24406,1,-0.30371,-0.57568,-0.93115,-1.824,0.374,-0.099
2026-05-23 17:25:21.406,1440660862,24406,2,-0.43286,-0.09937,-0.46704,-1.084,1.153,1.183
2026-05-23 17:25:21.606,1440661062,24606,1,-0.3103,-0.56055,-0.92676,-1.672,0.244,-0.191
2026-05-23 17:25:21.606,1440661062,24606,2,-0.43384,-0.10181,-0.46997,-1.008,1.176,1.42
2026-05-23 17:25:21.806,1440661262,24806,1,-0.30737,-0.56836,-0.93481,-1.992,0.244,-0.008
2026-05-23 17:25:21.806,1440661262,24806,2,-0.42944,-0.09961,-0.46704,-1.137,1.015,1.229
2026-05-23 17:25:21.006,1440660462,25006,1,-0.30322,-0.56836,-0.92578,-1.687,0.168,-0.092
2026-05-23 17:25:21.006,1440660462,25006,2,-0.43335,-0.10352,-0.46899,-1.137,0.977,1.176
2026-05-23 17:25:21.238,1440660694,25238,1,-0.3103,-0.57153,-0.92749,-1.519,0.282,-0.168
2026-05-23 17:25:21.238,1440660694,25238,2,-0.42676,-0.09692,-0.47852,-0.908,1.038,1.336
