datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-06-02 15:25:21.279,2297460735,905279,1,0.82324,-0.2312,0.40869,-9.718,10.702,-5.702
2026-06-02 15:25:21.279,2297460735,905279,2,0.97119,-0.12476,0.65308,-14.084,1.237,-1.641
2026-06-02 15:25:21.550,2297461006,905550,1,0.70337,-0.32178,0.4165,-5.069,3.802,-25.023
2026-06-02 15:25:21.550,2297461006,905550,2,0.90723,0.20996,0.76929,-82.466,-4.107,-22.076
2026-06-02 15:25:22.274,2297461730,906274,1,0.83008,0.04346,0.50317,-0.786,-2.382,10.679
2026-06-02 15:25:22.274,2297461730,906274,2,0.85913,0.17236,0.57178,17.252,-2.84,20.878
2026-06-02 15:25:22.646,2297462102,906646,1,0.91895,-0.1377,0.56128,5.534,-17.626,38.87
2026-06-02 15:25:22.646,2297462102,906646,2,0.82764,0.11475,0.70532,-49.511,-8.176,-0.046
2026-06-02 15:25:22.984,2297462440,906984,1,0.73413,-0.35596,0.53857,-26.359,19.405,5.466
2026-06-02 15:25:22.984,2297462440,906984,2,0.93066,-0.07568,0.71924,-18.786,6.092,12.802
2026-06-02 15:25:23.184,2297462640,907184,1,0.74219,-0.42871,0.4729,-7.267,15.298,-1.481
2026-06-02 15:25:23.184,2297462640,907184,2,0.88501,-0.06592,0.69727,-16.366,2.13,-9.603
2026-06-02 15:25:23.407,2297462863,907407,1,0.78198,-0.31763,0.54199,11.29,-8.099,-19.893
2026-06-02 15:25:23.407,2297462863,907407,2,0.90894,0.1228,0.70142,48.656,-3.626,11.153
2026-06-02 15:25:23.868,2297463324,907868,1,0.83301,0.01318,0.46802,-3.878,-4.756,1.069
2026-06-02 15:25:23.868,2297463324,907868,2,0.91016,0.17383,0.61646,-3.252,-1.802,4.756
2026-06-02 15:25:24.281,2297463737,908281,1,0.90405,-0.1001,0.44507,-5.634,4.229,-0.87
2026-06-02 15:25:24.281,2297463737,908281,2,0.96973,0.18677,0.56323,13.336,10.176,0.641
2026-06-02 15:25:24.660,2297464116,908660,1,0.88916,-0.0752,0.52368,6.916,17.405,31.221
2026-06-02 15:25:24.660,2297464116,908660,2,0.90332,0.25684,0.55103,29.053,10.015,4.756
2026-06-02 15:25:25.152,2297464608,909152,1,0.80566,-0.20898,0.46118,13.015,3.527,27.962
2026-06-02 15:25:25.152,2297464608,909152,2,0.91626,0.05225,0.79102,15.359,2.527,11.641
2026-06-02 15:25:25.429,2297464885,909429,1,0.75366,-0.24951,0.52661,-0.985,-0.061,5.519
2026-06-02 15:25:25.429,2297464885,909429,2,0.91479,-0.0061,0.73462,-8.053,-0.908,16.359
2026-06-02 15:25:25.669,2297465125,909669,1,0.79102,-0.35205,0.47559,9.992,2.344,8.924
2026-06-02 15:25:25.669,2297465125,909669,2,0.90503,0.03516,0.71167,24.412,9.511,-6.344
