datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-05-09 20:42:58.345,242917801,467345,1,0.01172,-0.92407,0.32007,-1.099,0.443,0.489
2026-05-09 20:42:58.345,242917801,467345,2,0.0647,0.1626,0.98755,1.115,0.771,-1.656
2026-05-09 20:42:59.859,242919315,467859,1,0.00952,-0.92993,0.3208,-1.595,0.473,0.481
2026-05-09 20:42:59.859,242919315,467859,2,0.06519,0.15479,0.98608,1.382,0.656,-1.695
2026-05-09 20:42:59.060,242918516,468060,1,0.01416,-0.93237,0.31885,-1.084,0.565,0.588
2026-05-09 20:42:59.060,242918516,468060,2,0.07324,0.15942,0.98901,1.595,0.664,-1.656
2026-05-09 20:42:59.464,242918920,468464,1,0.00806,-0.92847,0.32202,-1.313,0.702,0.389
2026-05-09 20:42:59.464,242918920,468464,2,0.07251,0.16602,0.98804,1.313,0.794,-1.649
2026-05-09 20:43:00.888,242920344,468888,1,0.01221,-0.93237,0.31763,-1.611,0.481,0.366
2026-05-09 20:43:00.888,242920344,468888,2,0.06714,0.16016,0.98364,1.389,0.718,-1.504
2026-05-09 20:43:00.630,242920086,469630,1,0.00903,-0.92798,0.32324,-1.351,0.542,0.42
2026-05-09 20:43:00.630,242920086,469630,2,0.06787,0.15723,0.99683,1.313,0.733,-1.443
2026-05-09 20:43:01.800,242921256,469800,1,0.00781,-0.92651,0.32275,-1.45,0.542,0.504
2026-05-09 20:43:01.800,242921256,469800,2,0.06616,0.15967,0.99658,2.099,0.336,-1.656
2026-05-09 20:43:01.153,242920609,470153,1,0.01294,-0.92456,0.31958,-1.206,0.74,0.55
2026-05-09 20:43:01.153,242920609,470153,2,0.0769,0.16357,0.99438,-0.344,1.359,-1.679
2026-05-09 20:43:01.461,242920917,470461,1,0.01074,-0.9314,0.31958,-1.618,0.611,0.618
2026-05-09 20:43:01.461,242920917,470461,2,0.06812,0.15576,1.00293,1.519,0.687,-1.557
2026-05-09 20:43:02.764,242922220,470764,1,0.00757,-0.92944,0.33081,-1.229,0.443,0.588
2026-05-09 20:43:02.764,242922220,470764,2,0.06812,0.1582,1.00171,-0.397,0.84,-1.779
2026-05-09 20:43:02.015,242921471,471015,1,0.00732,-0.92188,0.32275,-1.71,0.817,0.496
2026-05-09 20:43:02.015,242921471,471015,2,0.07373,0.15918,0.99268,1.511,0.71,-1.672
2026-05-09 20:43:02.159,242921615,471159,1,0.01221,-0.93115,0.32422,-1.267,0.527,0.611
2026-05-09 20:43:02.159,242921615,471159,2,0.07251,0.15332,0.99121,1.374,0.672,-1.687
