datetime,epoch_ms,ts_millis,sensor,temperature_c,pressure_hpa,altitude_m
2026-06-11 16:28:35.063,3078854519,6063,BME280,25.99,1007.49,48.093
2026-06-11 16:28:35.263,3078854719,6263,BME280,25.99,1007.49,48.093
2026-06-11 16:28:35.463,3078854919,6463,BME280,25.99,1007.49,48.078
2026-06-11 16:28:35.663,3078855119,6663,BME280,25.99,1007.49,48.078
2026-06-11 16:28:35.863,3078855319,6863,BME280,25.99,1007.49,48.078
2026-06-11 16:28:36.063,3078855519,7063,BME280,25.99,1007.49,48.078
2026-06-11 16:28:36.263,3078855719,7263,BME280,25.99,1007.49,48.078
2026-06-11 16:28:36.463,3078855919,7463,BME280,25.99,1007.45,48.376
2026-06-11 16:28:36.663,3078856119,7663,BME280,25.99,1007.45,48.376
2026-06-11 16:28:36.863,3078856319,7863,BME280,25.99,1007.45,48.376
2026-06-11 16:28:37.063,3078856519,8063,BME280,25.99,1007.45,48.376
2026-06-11 16:28:37.263,3078856719,8263,BME280,25.99,1007.45,48.376
2026-06-11 16:28:37.463,3078856919,8463,BME280,25.99,1007.48,48.179
2026-06-11 16:28:37.663,3078857119,8663,BME280,25.99,1007.48,48.179
2026-06-11 16:28:37.863,3078857319,8863,BME280,25.99,1007.48,48.179
2026-06-11 16:28:38.063,3078857519,9063,BME280,25.99,1007.48,48.179
2026-06-11 16:28:38.263,3078857719,9263,BME280,25.99,1007.48,48.179
2026-06-11 16:28:38.463,3078857919,9463,BME280,25.98,1007.47,48.237
2026-06-11 16:28:38.663,3078858119,9663,BME280,25.98,1007.47,48.237
2026-06-11 16:28:38.863,3078858319,9863,BME280,25.98,1007.47,48.237
2026-06-11 16:28:39.063,3078858519,10063,BME280,25.98,1007.47,48.237
2026-06-11 16:28:39.263,3078858719,10263,BME280,25.98,1007.47,48.237
2026-06-11 16:28:39.463,3078858919,10463,BME280,25.99,1007.48,48.116
2026-06-11 16:28:39.663,3078859119,10663,BME280,25.99,1007.48,48.116
2026-06-11 16:28:39.863,3078859319,10863,BME280,25.99,1007.48,48.116
2026-06-11 16:28:40.063,3078859519,11063,BME280,25.99,1007.48,48.116
2026-06-11 16:28:40.263,3078859719,11263,BME280,25.99,1007.48,48.116
2026-06-11 16:28:40.463,3078859919,11463,BME280,25.99,1007.47,48.208
2026-06-11 16:28:40.663,3078860119,11663,BME280,25.99,1007.47,48.208
2026-06-11 16:28:40.863,3078860319,11863,BME280,25.99,1007.47,48.208
2026-06-11 16:28:41.063,3078860519,12063,BME280,25.99,1007.47,48.208
2026-06-11 16:28:41.263,3078860719,12263,BME280,25.99,1007.47,48.208
2026-06-11 16:28:41.463,3078860919,12463,BME280,25.99,1007.48,48.126
2026-06-11 16:28:41.663,3078861119,12663,BME280,25.99,1007.48,48.126
2026-06-11 16:28:41.863,3078861319,12863,BME280,25.99,1007.48,48.126
2026-06-11 16:28:42.063,3078861519,13063,BME280,25.99,1007.48,48.126
2026-06-11 16:28:42.263,3078861719,13263,BME280,25.99,1007.48,48.126
2026-06-11 16:28:42.463,3078861919,13463,BME280,25.99,1007.45,48.414
2026-06-11 16:28:42.663,3078862119,13663,BME280,25.99,1007.45,48.414
2026-06-11 16:28:42.863,3078862319,13863,BME280,25.99,1007.45,48.414
2026-06-11 16:28:43.063,3078862519,14063,BME280,25.99,1007.45,48.414
2026-06-11 16:28:43.263,3078862719,14263,BME280,25.99,1007.45,48.414
2026-06-11 16:28:43.463,3078862919,14463,BME280,25.99,1007.47,48.222
2026-06-11 16:28:43.663,3078863119,14663,BME280,25.99,1007.47,48.222
2026-06-11 16:28:43.863,3078863319,14863,BME280,25.99,1007.47,48.222
2026-06-11 16:28:44.063,3078863519,15063,BME280,25.99,1007.47,48.222
2026-06-11 16:28:44.263,3078863719,15263,BME280,25.99,1007.47,48.222
2026-06-11 16:28:44.463,3078863919,15463,BME280,25.99,1007.46,48.337
2026-06-11 16:28:44.663,3078864119,15663,BME280,25.99,1007.46,48.337
2026-06-11 16:28:44.863,3078864319,15863,BME280,25.99,1007.46,48.337
2026-06-11 16:28:45.063,3078864519,16063,BME280,25.99,1007.46,48.337
2026-06-11 16:28:45.263,3078864719,16263,BME280,25.99,1007.46,48.337
2026-06-11 16:28:45.463,3078864919,16463,BME280,26.0,1007.48,48.14
2026-06-11 16:28:45.663,3078865119,16663,BME280,26.0,1007.48,48.14
2026-06-11 16:28:45.863,3078865319,16863,BME280,26.0,1007.48,48.14
2026-06-11 16:28:46.063,3078865519,17063,BME280,26.0,1007.48,48.14
2026-06-11 16:28:46.263,3078865719,17263,BME280,26.0,1007.48,48.14
2026-06-11 16:28:46.463,3078865919,17463,BME280,25.99,1007.47,48.237
2026-06-11 16:28:46.663,3078866119,17663,BME280,25.99,1007.47,48.237
2026-06-11 16:28:46.863,3078866319,17863,BME280,25.99,1007.47,48.237
2026-06-11 16:28:47.063,3078866519,18063,BME280,25.99,1007.47,48.237
2026-06-11 16:28:47.263,3078866719,18263,BME280,25.99,1007.47,48.237
2026-06-11 16:28:55.128,3078874584,26128,BME280,25.99,1007.48,48.188
2026-06-11 16:28:55.328,3078874784,26328,BME280,25.99,1007.47,48.217
2026-06-11 16:28:55.528,3078874984,26528,BME280,25.99,1007.47,48.217
2026-06-11 16:28:55.728,3078875184,26728,BME280,25.99,1007.47,48.217
2026-06-11 16:28:55.928,3078875384,26928,BME280,25.99,1007.47,48.217
2026-06-11 16:28:56.128,3078875584,27128,BME280,25.99,1007.47,48.217
2026-06-11 16:28:56.328,3078875784,27328,BME280,26.0,1007.5,48.011
2026-06-11 16:28:56.528,3078875984,27528,BME280,26.0,1007.5,48.011
2026-06-11 16:28:56.728,3078876184,27728,BME280,26.0,1007.5,48.011
2026-06-11 16:28:56.928,3078876384,27928,BME280,26.0,1007.5,48.011
2026-06-11 16:28:57.128,3078876584,28128,BME280,26.0,1007.5,48.011
2026-06-11 16:28:57.472,3078876928,28472,BME280,26.0,1007.52,47.852
2026-06-11 16:28:57.672,3078877128,28672,BME280,26.0,1007.52,47.852
2026-06-11 16:28:57.872,3078877328,28872,BME280,26.0,1007.52,47.852
2026-06-11 16:28:58.072,3078877528,29072,BME280,26.0,1007.52,47.852
2026-06-11 16:28:58.272,3078877728,29272,BME280,26.0,1007.49,48.03
2026-06-11 16:28:58.472,3078877928,29472,BME280,26.0,1007.49,48.03
2026-06-11 16:28:58.672,3078878128,29672,BME280,26.0,1007.49,48.03
2026-06-11 16:28:58.872,3078878328,29872,BME280,26.0,1007.49,48.03
2026-06-11 16:28:59.072,3078878528,30072,BME280,26.0,1007.49,48.03
2026-06-11 16:28:59.272,3078878728,30272,BME280,25.99,1007.47,48.275
2026-06-11 16:28:59.472,3078878928,30472,BME280,25.99,1007.47,48.275
