datetime,epoch_ms,ts_millis,sensor,temperature_c,pressure_hpa,altitude_m
2026-06-14 22:30:48.645,3359788101,10645,BME280,28.08,1012.13,9.311
2026-06-14 22:30:58.707,3359798163,20707,BME280,28.08,1012.13,9.331
2026-06-14 22:31:01.022,3359800478,24022,BME280,28.09,1012.12,9.378
2026-06-14 22:31:01.222,3359800678,24222,BME280,28.09,1012.14,9.25
2026-06-14 22:31:01.422,3359800878,24422,BME280,28.09,1012.14,9.25
2026-06-14 22:31:02.622,3359802078,24622,BME280,28.09,1012.14,9.25
2026-06-14 22:31:02.822,3359802278,24822,BME280,28.09,1012.14,9.25
2026-06-14 22:31:02.022,3359801478,25022,BME280,28.09,1012.14,9.25
2026-06-14 22:31:05.099,3359804555,28099,BME280,28.08,1012.12,9.398
2026-06-14 22:31:05.444,3359804900,28444,BME280,28.08,1012.1,9.552
2026-06-14 22:31:06.644,3359806100,28644,BME280,28.08,1012.1,9.552
2026-06-14 22:31:06.844,3359806300,28844,BME280,28.08,1012.1,9.552
2026-06-14 22:31:06.044,3359805500,29044,BME280,28.08,1012.1,9.552
2026-06-14 22:31:06.244,3359805700,29244,BME280,28.08,1012.14,9.21
2026-06-14 22:31:06.444,3359805900,29444,BME280,28.08,1012.14,9.21
2026-06-14 22:31:07.644,3359807100,29644,BME280,28.08,1012.14,9.21
2026-06-14 22:31:07.844,3359807300,29844,BME280,28.08,1012.14,9.21
2026-06-14 22:31:07.044,3359806500,30044,BME280,28.08,1012.14,9.21
2026-06-14 22:31:07.516,3359806972,30516,BME280,28.08,1012.13,9.369
2026-06-14 22:31:08.716,3359808172,30716,BME280,28.08,1012.13,9.369
2026-06-14 22:31:08.916,3359808372,30916,BME280,28.08,1012.13,9.369
2026-06-14 22:31:08.116,3359807572,31116,BME280,28.08,1012.13,9.369
2026-06-14 22:31:08.316,3359807772,31316,BME280,28.09,1012.14,9.221
2026-06-14 22:31:08.516,3359807972,31516,BME280,28.09,1012.14,9.221
2026-06-14 22:31:09.716,3359809172,31716,BME280,28.09,1012.14,9.221
2026-06-14 22:31:09.916,3359809372,31916,BME280,28.09,1012.14,9.221
