datetime,epoch_ms,ts_millis,sensor,temperature_c,pressure_hpa,altitude_m
2026-06-14 21:59:43.851,3357923307,5851,BME280,28.17,1012.19,8.798
2026-06-14 21:59:44.051,3357923507,6051,BME280,28.17,1012.19,8.798
2026-06-14 21:59:44.251,3357923707,6251,BME280,28.17,1012.19,8.798
2026-06-14 21:59:44.451,3357923907,6451,BME280,28.18,1012.22,8.591
2026-06-14 21:59:44.699,3357924155,6698,BME280,28.18,1012.22,8.591
2026-06-14 21:59:44.900,3357924356,6900,BME280,28.18,1012.22,8.591
2026-06-14 21:59:45.100,3357924556,7100,BME280,28.18,1012.22,8.591
2026-06-14 21:59:45.300,3357924756,7300,BME280,28.18,1012.23,8.533
2026-06-14 21:59:45.500,3357924956,7500,BME280,28.18,1012.23,8.533
2026-06-14 21:59:46.944,3357926400,7944,BME280,28.18,1012.23,8.533
2026-06-14 21:59:46.242,3357925698,8242,BME280,28.18,1012.23,8.533
2026-06-14 21:59:46.518,3357925974,8518,BME280,28.17,1012.2,8.711
2026-06-14 21:59:47.980,3357927436,8980,BME280,28.17,1012.2,8.711
2026-06-14 21:59:47.432,3357926888,9432,BME280,28.17,1012.19,8.792
2026-06-14 21:59:47.664,3357927120,9664,BME280,28.17,1012.19,8.792
2026-06-14 21:59:48.006,3357927462,10006,BME280,28.17,1012.19,8.792
2026-06-14 21:59:48.269,3357927725,10269,BME280,28.17,1012.21,8.682
2026-06-14 21:59:48.734,3357928190,10734,BME280,28.17,1012.21,8.682
2026-06-14 21:59:49.031,3357928487,11031,BME280,28.17,1012.21,8.682
2026-06-14 21:59:49.356,3357928812,11356,BME280,28.18,1012.21,8.678
2026-06-14 21:59:49.556,3357929012,11556,BME280,28.18,1012.21,8.678
2026-06-14 21:59:49.756,3357929212,11756,BME280,28.18,1012.21,8.678
2026-06-14 21:59:50.956,3357930412,11956,BME280,28.18,1012.21,8.678
2026-06-14 21:59:50.156,3357929612,12156,BME280,28.18,1012.21,8.678
2026-06-14 21:59:50.479,3357929935,12479,BME280,28.17,1012.22,8.538
2026-06-14 21:59:50.687,3357930143,12687,BME280,28.17,1012.22,8.538
2026-06-14 21:59:51.921,3357931377,12921,BME280,28.17,1012.22,8.538
2026-06-14 21:59:51.164,3357930620,13164,BME280,28.17,1012.22,8.538
2026-06-14 21:59:51.364,3357930820,13364,BME280,28.17,1012.22,8.558
2026-06-14 21:59:51.631,3357931087,13631,BME280,28.17,1012.22,8.558
2026-06-14 21:59:51.907,3357931363,13907,BME280,28.17,1012.22,8.558
2026-06-14 21:59:52.107,3357931563,14107,BME280,28.17,1012.22,8.558
2026-06-14 21:59:52.307,3357931763,14307,BME280,28.17,1012.2,8.711
2026-06-14 21:59:52.541,3357931997,14541,BME280,28.17,1012.2,8.711
2026-06-14 21:59:52.741,3357932197,14741,BME280,28.17,1012.2,8.711
2026-06-14 21:59:53.941,3357933397,14941,BME280,28.17,1012.2,8.711
2026-06-14 21:59:53.141,3357932597,15141,BME280,28.17,1012.2,8.711
2026-06-14 21:59:53.141,3357932597,15141,BME280,28.17,1012.2,8.711
2026-06-14 21:59:58.314,3357937770,20314,BME280,28.17,1012.22,8.543
2026-06-14 21:59:58.514,3357937970,20514,BME280,28.17,1012.22,8.543
2026-06-14 21:59:58.514,3357937970,20514,BME280,28.17,1012.22,8.543
2026-06-14 22:00:08.609,3357948065,30609,BME280,28.17,1012.22,8.538
2026-06-14 22:00:08.609,3357948065,30609,BME280,28.17,1012.22,8.538
2026-06-14 22:00:13.759,3357953215,35759,BME280,28.16,1012.22,8.548
2026-06-14 22:00:14.959,3357954415,35959,BME280,28.16,1012.22,8.548
2026-06-14 22:00:14.159,3357953615,36159,BME280,28.16,1012.22,8.615
2026-06-14 22:00:14.159,3357953615,36159,BME280,28.16,1012.22,8.615
2026-06-14 22:00:19.287,3357958743,41287,BME280,28.16,1012.22,8.548
2026-06-14 22:00:22.659,3357962115,44659,BME280,28.16,1012.23,8.461
2026-06-14 22:00:22.859,3357962315,44859,BME280,28.16,1012.23,8.461
2026-06-14 22:00:23.067,3357962523,45067,BME280,28.16,1012.23,8.461
2026-06-14 22:00:23.267,3357962723,45267,BME280,28.15,1012.19,8.84
