datetime,epoch_ms,ts_millis,sensor,temperature_c,pressure_hpa,altitude_m
2026-06-26 14:27:28.822,72620982,7822,BME280,181.87,-137.08,2867.328
2026-06-26 14:27:28.022,72620182,8022,BME280,23.04,713.04,2867.328
2026-06-26 14:27:28.222,72620382,8222,BME280,23.04,713.04,2867.328
2026-06-26 14:27:29.422,72621582,8422,BME280,23.04,713.04,2867.328
2026-06-26 14:27:29.622,72621782,8622,BME280,23.04,713.04,2867.328
2026-06-26 14:27:29.822,72621982,8822,BME280,23.04,713.04,2867.328
2026-06-26 14:27:29.022,72621182,9022,BME280,23.04,713.04,2867.328
2026-06-26 14:27:29.222,72621382,9222,BME280,23.04,713.04,2867.328
2026-06-26 14:27:30.422,72622582,9422,BME280,23.04,713.04,2867.328
2026-06-26 14:27:30.622,72622782,9622,BME280,23.04,713.04,2867.328
2026-06-26 14:27:30.822,72622982,9822,BME280,23.04,713.04,2867.328
2026-06-26 14:27:30.022,72622182,10022,BME280,23.04,713.04,2867.328
2026-06-26 14:27:30.222,72622382,10222,BME280,23.04,713.04,2867.328
2026-06-26 14:27:31.422,72623582,10422,BME280,23.04,713.04,2867.328
2026-06-26 14:27:31.622,72623782,10622,BME280,23.04,713.04,2867.328
2026-06-26 14:27:31.822,72623982,10822,BME280,23.04,713.04,2867.328
2026-06-26 14:27:31.022,72623182,11022,BME280,23.04,713.04,2867.328
2026-06-26 14:27:31.222,72623382,11222,BME280,23.04,713.04,2867.328
2026-06-26 14:27:32.422,72624582,11422,BME280,23.04,713.04,2867.328
2026-06-26 14:27:32.622,72624782,11622,BME280,23.04,713.04,2867.328
2026-06-26 14:27:32.822,72624982,11822,BME280,23.04,713.04,2867.328
2026-06-26 14:27:32.022,72624182,12022,BME280,23.04,713.04,2867.328
2026-06-26 14:27:32.222,72624382,12222,BME280,23.04,713.04,2867.328
2026-06-26 14:27:33.422,72625582,12422,BME280,23.04,713.04,2867.328
2026-06-26 14:27:33.622,72625782,12622,BME280,23.04,713.04,2867.328
2026-06-26 14:27:33.822,72625982,12822,BME280,23.04,713.04,2867.328
2026-06-26 14:27:33.022,72625182,13022,BME280,23.04,713.04,2867.328
2026-06-26 14:27:33.222,72625382,13222,BME280,23.04,713.04,2867.328
2026-06-26 14:27:34.422,72626582,13422,BME280,23.04,713.04,2867.328
2026-06-26 14:27:34.622,72626782,13622,BME280,23.04,713.04,2867.328
2026-06-26 14:27:34.822,72626982,13822,BME280,23.04,713.04,2867.328
2026-06-26 14:27:34.022,72626182,14022,BME280,23.04,713.04,2867.328
2026-06-26 14:27:34.222,72626382,14222,BME280,23.04,713.04,2867.328
2026-06-26 14:27:35.422,72627582,14422,BME280,23.04,713.04,2867.328
2026-06-26 14:27:35.622,72627782,14622,BME280,23.04,713.04,2867.328
2026-06-26 14:27:35.822,72627982,14822,BME280,23.04,713.04,2867.328
2026-06-26 14:27:35.025,72627185,15025,BME280,23.04,713.04,2867.328
2026-06-26 14:27:35.225,72627385,15225,BME280,23.04,713.04,2867.328
2026-06-26 14:27:36.425,72628585,15425,BME280,23.04,713.04,2867.328
2026-06-26 14:27:36.625,72628785,15625,BME280,23.04,713.04,2867.328
2026-06-26 14:27:36.825,72628985,15825,BME280,23.04,713.04,2867.328
2026-06-26 14:27:36.025,72628185,16025,BME280,23.04,713.04,2867.328
2026-06-26 14:27:36.225,72628385,16225,BME280,23.04,713.04,2867.328
2026-06-26 14:27:37.425,72629585,16425,BME280,23.04,713.04,2867.328
2026-06-26 14:27:37.625,72629785,16625,BME280,23.04,713.04,2867.328
2026-06-26 14:27:46.899,72639059,8899,BME280,181.87,-137.08,2867.328
2026-06-26 14:27:46.099,72638259,9099,BME280,23.04,713.04,2867.328
2026-06-26 14:27:46.299,72638459,9299,BME280,23.04,713.04,2867.328
2026-06-26 14:27:47.499,72639659,9499,BME280,23.04,713.04,2867.328
2026-06-26 14:27:47.699,72639859,9699,BME280,23.04,713.04,2867.328
2026-06-26 14:27:47.899,72640059,9899,BME280,23.04,713.04,2867.328
2026-06-26 14:27:47.099,72639259,10099,BME280,23.04,713.04,2867.328
2026-06-26 14:27:47.299,72639459,10299,BME280,23.04,713.04,2867.328
2026-06-26 14:27:48.499,72640659,10499,BME280,23.04,713.04,2867.328
2026-06-26 14:27:48.699,72640859,10699,BME280,23.04,713.04,2867.328
2026-06-26 14:27:48.899,72641059,10899,BME280,23.04,713.04,2867.328
2026-06-26 14:27:48.099,72640259,11099,BME280,23.04,713.04,2867.328
2026-06-26 14:27:48.299,72640459,11299,BME280,23.04,713.04,2867.328
2026-06-26 14:27:49.499,72641659,11499,BME280,23.04,713.04,2867.328
2026-06-26 14:27:49.699,72641859,11699,BME280,23.04,713.04,2867.328
2026-06-26 14:27:49.899,72642059,11899,BME280,23.04,713.04,2867.328
2026-06-26 14:27:49.099,72641259,12099,BME280,23.04,713.04,2867.328
