datetime,epoch_ms,ts_millis,sensor,temperature_c,pressure_hpa,altitude_m
2026-06-29 13:50:01.881,329574041,30881,BME280,25.14,1006.75,54.217
2026-06-29 13:50:05.232,329577392,35231,BME280,25.14,1006.75,54.299
2026-06-29 13:50:05.467,329577627,35467,BME280,25.15,1006.76,54.169
2026-06-29 13:50:05.467,329577627,35467,BME280,25.15,1006.76,54.169
2026-06-29 13:50:10.612,329582772,40612,BME280,25.15,1006.76,54.203
2026-06-29 13:50:10.812,329582972,40812,BME280,25.15,1006.76,54.203
2026-06-29 13:50:11.012,329583172,41012,BME280,25.15,1006.76,54.203
2026-06-29 13:50:11.304,329583464,41304,BME280,25.15,1006.74,54.327
2026-06-29 13:50:11.617,329583777,41616,BME280,25.15,1006.74,54.327
2026-06-29 13:50:11.821,329583981,41821,BME280,25.15,1006.74,54.327
2026-06-29 13:50:12.021,329584181,42021,BME280,25.15,1006.74,54.327
2026-06-29 13:50:12.232,329584392,42232,BME280,25.15,1006.74,54.327
2026-06-29 13:50:12.432,329584592,42432,BME280,25.15,1006.77,54.116
2026-06-29 13:50:12.688,329584848,42687,BME280,25.15,1006.77,54.116
2026-06-29 13:50:13.887,329586047,42887,BME280,25.15,1006.77,54.116
2026-06-29 13:50:25.822,329597982,55822,BME280,25.14,1006.75,54.288
2026-06-29 13:50:25.822,329597982,55822,BME280,25.14,1006.75,54.288
2026-06-29 13:50:31.975,329604135,60975,BME280,25.15,1006.77,54.112
2026-06-29 13:50:31.175,329603335,61175,BME280,25.15,1006.77,54.112
2026-06-29 13:50:31.175,329603335,61175,BME280,25.15,1006.77,54.112
2026-06-29 13:50:36.239,329608399,66239,BME280,25.14,1006.76,54.188
2026-06-29 13:50:36.439,329608599,66439,BME280,25.14,1006.76,54.188
2026-06-29 13:50:36.639,329608799,66639,BME280,25.14,1006.76,54.188
2026-06-29 13:50:36.839,329608999,66839,BME280,25.14,1006.76,54.188
2026-06-29 13:50:37.039,329609199,67039,BME280,25.14,1006.76,54.188
2026-06-29 13:50:37.239,329609399,67239,BME280,25.14,1006.74,54.347
2026-06-29 13:50:37.439,329609599,67439,BME280,25.14,1006.74,54.347
