datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
NTP_NOT_SET,,33772,2,-0.62207,0.38159,0.70996,0.71,1.664,-0.504
NTP_NOT_SET,,33772,2,-0.62207,0.38159,0.70996,0.71,1.664,-0.504
NTP_NOT_SET,,53958,1,-0.02588,-0.27026,-0.91479,0.618,2.382,0.557
NTP_NOT_SET,,53958,1,-0.02588,-0.27026,-0.91479,0.618,2.382,0.557
NTP_NOT_SET,,53958,2,-0.62085,0.38599,0.71069,0.802,1.634,-0.382
NTP_NOT_SET,,53958,2,-0.62085,0.38599,0.71069,0.802,1.634,-0.382
NTP_NOT_SET,,69155,1,-0.02856,-0.2749,-0.90869,0.771,2.214,0.542
NTP_NOT_SET,,69155,1,-0.02856,-0.2749,-0.90869,0.771,2.214,0.542
NTP_NOT_SET,,69155,2,-0.62134,0.39673,0.70752,0.908,2.137,-0.901
NTP_NOT_SET,,79337,1,-0.02368,-0.28003,-0.92334,-0.573,3.824,0.939
NTP_NOT_SET,,79337,2,-0.62305,0.38794,0.71045,0.855,1.885,-0.718
2026-06-06T21:19:33.432779,,,,,,,,,
2026-06-06 21:19:33.375,2664312831,6375,1,-0.02295,-0.27563,-0.90747,0.664,2.282,0.588
2026-06-06 21:19:33.375,2664312831,6375,2,-0.61987,0.38354,0.7063,0.557,1.519,-0.458
2026-06-06 21:19:34.652,2664314108,6652,1,-0.02051,-0.27393,-0.91162,0.527,2.298,0.794
2026-06-06 21:19:34.652,2664314108,6652,2,-0.62964,0.38086,0.71094,0.412,1.481,-0.351
2026-06-06 21:19:34.852,2664314308,6852,1,-0.02222,-0.27148,-0.90723,0.443,2.252,0.504
2026-06-06 21:19:34.852,2664314308,6852,2,-0.62524,0.38574,0.69849,0.702,1.412,-0.412
2026-06-06 21:19:34.374,2664313830,7374,1,-0.02466,-0.28003,-0.90308,0.634,2.427,0.458
2026-06-06 21:19:34.374,2664313830,7374,2,-0.62231,0.39063,0.70898,0.687,1.534,-0.504
2026-06-06 21:19:35.675,2664315131,7675,1,-0.01685,-0.27319,-0.9187,0.565,2.405,0.687
2026-06-06 21:19:35.675,2664315131,7675,2,-0.6189,0.39087,0.70776,0.565,1.435,-0.527
2026-06-06 21:19:36.751,2664316207,8751,1,-0.02686,-0.27661,-0.91504,0.58,2.336,0.702
2026-06-06 21:19:36.751,2664316207,8751,2,-0.62354,0.39307,0.71631,0.595,1.679,-0.534
2026-06-06 21:19:36.466,2664315922,9466,1,-0.02344,-0.27832,-0.91284,0.595,2.435,0.626
2026-06-06 21:19:36.466,2664315922,9466,2,-0.61743,0.39063,0.71021,0.42,1.053,-0.656
2026-06-06 21:19:37.739,2664317195,9739,1,-0.02393,-0.27612,-0.91724,0.733,2.412,0.687
