datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-06-11T18:06:31.981659,,,,,,,,,
2026-06-11T18:07:03.239607,,,,,,,,,
2026-06-11 18:07:03.417,3084762873,5417,1,0.96851,-0.03613,0.50879,-3.573,-3.901,-1.153
2026-06-11 18:07:03.417,3084762873,5417,2,0.98071,-0.30811,-0.13867,-15.832,-5.786,3.977
2026-06-11 18:07:03.617,3084763073,5617,1,0.95679,-0.04248,0.42651,-3.191,-13.634,-0.634
2026-06-11 18:07:03.617,3084763073,5617,2,1.01172,-0.29126,-0.08618,2.305,-1.443,-2.565
2026-06-11 18:07:03.817,3084763273,5817,1,0.97339,-0.02417,0.44019,1.893,7.061,2.008
2026-06-11 18:07:03.817,3084763273,5817,2,1.0061,-0.30518,-0.17505,-1.107,-3.466,1.069
2026-06-11 18:07:03.017,3084762473,6017,1,0.96875,-0.03369,0.42505,0.595,5.168,0.565
2026-06-11 18:07:03.017,3084762473,6017,2,0.98169,-0.28857,-0.15137,2.015,-2.473,1.71
2026-06-11 18:07:04.217,3084763673,6217,1,0.98535,-0.00586,0.4043,-3.168,2.817,-2.87
2026-06-11 18:07:04.217,3084763673,6217,2,0.98926,-0.29224,-0.20044,-5.29,0.962,-1.076
2026-06-11 18:07:04.450,3084763906,6450,1,1.0127,-0.02393,0.45728,-1.412,-4.527,-1.542
2026-06-11 18:07:04.450,3084763906,6450,2,1.02881,-0.25806,-0.20728,-5.221,-6.481,-2.534
2026-06-11 18:07:04.650,3084764106,6650,1,0.96899,0.02588,0.41797,11.183,1.275,-6.595
2026-06-11 18:07:04.650,3084764106,6650,2,0.96826,-0.27417,-0.17651,-7.679,-3.298,-4.115
2026-06-11 18:07:04.850,3084764306,6850,1,0.99243,0.03369,0.39038,1.802,9.496,-2.45
2026-06-11 18:07:04.850,3084764306,6850,2,0.97827,-0.27808,-0.20044,-3.092,3.29,0.275
2026-06-11 18:07:04.055,3084763511,7055,1,0.98633,0.00732,0.4082,-1.321,2.519,0.275
2026-06-11 18:07:04.055,3084763511,7055,2,1.00366,-0.27539,-0.17627,-1.908,4.092,0.435
2026-06-11 18:07:05.255,3084764711,7255,1,1.01733,0.01929,0.40039,-1.603,-2.176,2.954
2026-06-11 18:07:05.255,3084764711,7255,2,1.00146,-0.28345,-0.14917,0.397,6.908,2.008
2026-06-11 18:07:05.469,3084764925,7469,1,0.9729,0.00928,0.42261,-5.061,4.573,3.412
2026-06-11 18:07:05.469,3084764925,7469,2,0.99414,-0.29663,-0.13379,-11.458,-1.458,5.878
2026-06-11 18:07:05.678,3084765134,7678,1,0.96851,-0.00391,0.42358,-13.031,2.053,1.702
2026-06-11 18:07:05.678,3084765134,7678,2,0.98608,-0.3103,-0.18213,-2.687,-2.74,5.206
2026-06-11 18:07:05.878,3084765334,7878,1,1.01563,-0.02881,0.35181,-9.198,-0.611,-0.924
2026-06-11 18:07:05.878,3084765334,7878,2,0.98535,-0.3103,-0.1604,-4.55,8.748,2.527
2026-06-11 18:07:06.078,3084765534,8078,1,0.97998,-0.04004,0.41992,-5.481,5.794,0.229
2026-06-11 18:07:06.078,3084765534,8078,2,0.9502,-0.31836,-0.16357,0.908,-0.573,-0.847
2026-06-11 18:07:06.278,3084765734,8278,1,1.00977,-0.06812,0.3772,15.992,23.603,0.573
2026-06-11 18:07:06.278,3084765734,8278,2,1.03271,-0.29614,-0.20532,25.031,7.053,-14.206
2026-06-11 18:07:06.478,3084765934,8478,1,0.93115,-0.02222,0.50317,16.725,9.489,5.573
2026-06-11 18:07:06.478,3084765934,8478,2,0.9895,-0.31885,-0.11377,1.382,5.504,-6.924
2026-06-11 18:07:06.678,3084766134,8678,1,0.91797,-0.0022,0.51587,15.595,14.29,8.183
2026-06-11 18:07:06.678,3084766134,8678,2,1.02686,-0.25391,-0.07251,6.969,5.908,-7.008
2026-06-11 18:07:06.878,3084766334,8878,1,0.91577,-0.00049,0.56641,1.122,12.641,4.656
2026-06-11 18:07:06.878,3084766334,8878,2,1.01685,-0.26416,-0.09912,10.542,7.168,1.046
2026-06-11 18:07:07.083,3084766539,9083,1,0.89893,-0.03491,0.56836,-1.969,-8.45,-4.916
2026-06-11 18:07:07.083,3084766539,9083,2,0.98755,-0.27979,-0.0979,-15.817,-8.382,1.733
2026-06-11 18:07:07.283,3084766739,9283,1,0.948,0.00684,0.46899,-3.702,-24.534,-7.183
2026-06-11 18:07:07.283,3084766739,9283,2,1.00562,-0.29102,-0.13989,-22.0,-16.504,3.947
2026-06-11 18:07:07.483,3084766939,9483,1,1.02515,0.01611,0.38306,-6.008,-19.473,-2.046
2026-06-11 18:07:07.483,3084766939,9483,2,1.00879,-0.2998,-0.18066,11.794,-1.099,-2.145
2026-06-11 18:07:07.683,3084767139,9683,1,1.03833,-0.02002,0.38086,2.565,-10.504,-3.74
2026-06-11 18:07:07.683,3084767139,9683,2,1.021,-0.30493,-0.21167,15.557,8.771,-9.763
2026-06-11 18:07:07.883,3084767339,9883,1,0.96558,0.04077,0.40942,12.634,16.954,-3.168
2026-06-11 18:07:07.883,3084767339,9883,2,0.95752,-0.24854,-0.28809,-4.626,-7.718,-7.985
2026-06-11 18:07:08.104,3084767560,10104,1,0.9541,0.3103,0.30444,21.45,-13.985,3.252
2026-06-11 18:07:08.104,3084767560,10104,2,1.04321,-0.06055,-0.29761,17.008,-8.252,-3.26
2026-06-11 18:07:08.304,3084767760,10304,1,1.01685,-0.02588,0.2688,14.13,-1.885,-6.511
2026-06-11 18:07:08.304,3084767760,10304,2,0.98315,-0.20483,-0.22388,-3.527,-6.557,-11.168
2026-06-11 18:07:08.504,3084767960,10504,1,1.05835,0.10352,0.28809,-11.802,6.038,-4.435
2026-06-11 18:07:08.504,3084767960,10504,2,1.02002,-0.1416,-0.26685,1.305,12.702,-11.847
2026-06-11 18:07:08.704,3084768160,10704,1,1.01807,0.07446,0.33325,0.534,13.527,-8.649
2026-06-11 18:07:08.704,3084768160,10704,2,1.08301,-0.13184,-0.30225,28.756,5.038,-5.145
2026-06-11 18:07:08.904,3084768360,10904,1,0.99194,0.41382,0.28442,6.099,25.344,-9.611
2026-06-11 18:07:08.904,3084768360,10904,2,0.99072,-0.32837,-0.17188,-0.878,-0.885,0.267
2026-06-11 18:07:14.091,3084773547,16091,1,0.99365,-0.05127,0.38696,-0.817,1.786,-0.26
2026-06-11 18:07:14.091,3084773547,16091,2,0.9856,-0.31885,-0.15576,1.069,1.756,-0.58
2026-06-11 18:07:14.291,3084773747,16291,1,0.98975,-0.04688,0.39331,-0.351,1.534,-0.542
2026-06-11 18:07:14.291,3084773747,16291,2,0.9812,-0.31543,-0.15698,1.221,1.412,-0.977
2026-06-11 18:07:14.491,3084773947,16491,1,0.98413,-0.04297,0.39136,0.947,1.748,-0.405
2026-06-11 18:07:14.491,3084773947,16491,2,0.9917,-0.31885,-0.16504,-0.153,1.992,-1.527
2026-06-11 18:07:14.691,3084774147,16691,1,0.98193,-0.03833,0.39624,-0.443,0.634,-0.29
2026-06-11 18:07:14.691,3084774147,16691,2,0.98535,-0.31665,-0.15283,-0.389,0.42,-0.42
2026-06-11 18:07:14.891,3084774347,16891,1,0.9939,-0.04614,0.40356,-3.466,2.908,3.359
2026-06-11 18:07:14.891,3084774347,16891,2,0.97974,-0.30859,-0.17017,2.321,-0.618,0.084
2026-06-11 18:07:15.174,3084774630,17174,1,1.00977,-0.05005,0.36279,8.046,4.771,-0.702
2026-06-11 18:07:15.174,3084774630,17174,2,0.98975,-0.32983,-0.14941,14.16,6.672,-4.931
2026-06-11 18:07:15.374,3084774830,17374,1,0.96338,-0.01929,0.41724,6.107,-4.244,-4.26
2026-06-11 18:07:15.374,3084774830,17374,2,0.99805,-0.33252,-0.1687,9.809,0.771,-6.13
2026-06-11 18:07:15.574,3084775030,17574,1,0.99487,-0.00562,0.33472,14.053,-1.26,10.305
2026-06-11 18:07:15.574,3084775030,17574,2,0.97583,-0.31226,-0.17725,21.718,-5.206,-5.962
2026-06-11 18:07:15.774,3084775230,17774,1,0.99414,-0.02173,0.38037,14.458,-0.878,7.176
2026-06-11 18:07:15.774,3084775230,17774,2,0.98853,-0.29712,-0.1709,14.771,-1.206,-3.695
2026-06-11 18:07:15.974,3084775430,17974,1,1.01318,-0.0332,0.36938,11.832,1.595,4.489
2026-06-11 18:07:15.974,3084775430,17974,2,1.00952,-0.29956,-0.18237,5.893,5.939,-4.244
2026-06-11 18:07:16.188,3084775644,18188,1,0.98242,-0.03516,0.44873,5.16,-105.962,-5.908
2026-06-11 18:07:16.188,3084775644,18188,2,0.97754,-0.28198,-0.28467,2.649,-11.679,-6.618
2026-06-11 18:07:16.388,3084775844,18388,1,0.9541,-0.08569,0.09375,13.924,-37.565,5.267
2026-06-11 18:07:16.388,3084775844,18388,2,0.98608,-0.26245,-0.21851,10.496,5.588,-5.115
2026-06-11 18:07:16.588,3084776044,18588,1,1.04199,0.03931,-0.05298,4.557,-50.466,-15.466
2026-06-11 18:07:16.588,3084776044,18588,2,0.98657,-0.25732,-0.22583,-2.084,1.748,-2.267
2026-06-11 18:07:16.788,3084776244,18788,1,1.04419,0.08521,-0.17603,43.313,-8.29,-31.435
2026-06-11 18:07:16.788,3084776244,18788,2,1.01196,-0.28027,-0.1792,-14.664,-3.351,0.084
2026-06-11 18:07:16.988,3084776444,18988,1,1.03198,0.14429,-0.06226,49.641,-13.092,12.885
2026-06-11 18:07:16.988,3084776444,18988,2,0.97241,-0.23096,-0.15308,-10.74,-12.664,1.313
2026-06-11 18:07:17.188,3084776644,19188,1,0.52441,-0.31055,-0.67603,21.595,-23.58,-18.366
2026-06-11 18:07:17.188,3084776644,19188,2,0.92383,-0.30444,-0.17529,-35.397,-15.588,3.046
2026-06-11 18:07:17.388,3084776844,19388,1,0.92041,-0.04956,-0.40942,-95.687,104.305,67.313
2026-06-11 18:07:17.388,3084776844,19388,2,0.94897,-0.28906,-0.26221,-39.588,-7.053,8.473
2026-06-11 18:07:17.588,3084777044,19588,1,0.91016,-0.13599,0.07251,-152.847,85.0,16.427
2026-06-11 18:07:17.588,3084777044,19588,2,0.96704,-0.31909,-0.09033,-61.611,-21.061,3.588
2026-06-11 18:07:17.788,3084777244,19788,1,0.97632,-0.06201,0.21777,18.374,-17.748,11.794
2026-06-11 18:07:17.788,3084777244,19788,2,0.94067,-0.29419,-0.31958,-2.237,3.542,5.756
2026-06-11 18:07:17.016,3084776472,20016,1,1.01538,-0.12817,0.18286,-11.061,1.542,-1.115
2026-06-11 18:07:17.016,3084776472,20016,2,0.95996,-0.28857,-0.27051,-26.29,4.916,4.443
2026-06-11 18:07:18.216,3084777672,20216,1,0.83496,-0.26831,0.28491,-25.931,38.771,9.687
2026-06-11 18:07:18.216,3084777672,20216,2,0.9563,-0.29077,-0.25586,-6.687,4.939,0.901
2026-06-11 18:07:18.416,3084777872,20416,1,1.01685,-0.18579,0.37793,-6.313,-11.809,0.542
2026-06-11 18:07:18.416,3084777872,20416,2,0.97168,-0.18677,-0.30811,7.321,13.618,1.328
2026-06-11 18:07:18.627,3084778083,20627,1,0.95459,-0.07153,0.5061,84.023,44.122,3.443
2026-06-11 18:07:18.627,3084778083,20627,2,0.96802,-0.28467,-0.25122,25.382,11.351,-0.336
2026-06-11 18:07:18.827,3084778283,20827,1,0.83862,-0.09595,0.66699,36.443,4.771,11.74
2026-06-11 18:07:18.827,3084778283,20827,2,0.97192,-0.30859,-0.21606,-4.473,-1.473,-1.267
2026-06-11 18:07:18.027,3084777483,21027,1,0.83081,-0.08179,0.66553,-8.412,-29.336,6.0
2026-06-11 18:07:18.027,3084777483,21027,2,0.97168,-0.2959,-0.18237,46.198,-12.511,-13.397
2026-06-11 18:07:19.227,3084778683,21227,1,0.98242,-0.12915,0.48364,25.649,4.061,6.344
2026-06-11 18:07:19.227,3084778683,21227,2,0.98242,-0.26196,-0.25049,-10.282,-17.061,-8.87
2026-06-11 18:07:19.427,3084778883,21427,1,0.95874,-0.11719,0.427,13.031,-8.427,-0.809
2026-06-11 18:07:19.427,3084778883,21427,2,1.00684,-0.27661,-0.28882,17.443,-1.313,-13.221
2026-06-11 18:07:19.627,3084779083,21627,1,0.95874,-0.08716,0.44971,18.092,-1.763,8.359
2026-06-11 18:07:19.627,3084779083,21627,2,0.96802,-0.24023,-0.28784,17.298,-11.084,-8.771
2026-06-11 18:07:19.827,3084779283,21827,1,1.00488,-0.12549,0.36841,22.626,-1.26,2.336
2026-06-11 18:07:19.827,3084779283,21827,2,0.9519,-0.2168,-0.29126,15.168,5.71,-11.504
2026-06-11 18:07:19.027,3084778483,22027,1,0.97534,-0.07153,0.39941,12.168,2.763,0.42
2026-06-11 18:07:19.027,3084778483,22027,2,0.97681,-0.22046,-0.25757,15.046,-0.26,-9.321
2026-06-11 18:07:20.227,3084779683,22227,1,0.99927,-0.07544,0.40894,12.748,3.473,1.763
2026-06-11 18:07:20.227,3084779683,22227,2,0.74634,-0.26392,-0.29614,17.908,4.611,-16.55
2026-06-11 18:07:20.427,3084779883,22427,1,0.94678,-0.06128,0.35376,-9.649,-1.931,-2.847
