datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-06-14 15:04:46.659,3333026115,597658,1,0.93579,-0.0791,0.52319,-0.084,5.603,1.809
2026-06-14T15:04:52.984435,,,,,,,,,
2026-06-14 15:04:46.659,3333026115,597658,1,0.93579,-0.0791,0.52319,-0.084,5.603,1.809
2026-06-14 15:04:46.659,3333026115,597658,2,1.03223,0.08228,-0.10205,1.298,2.687,-1.672
2026-06-14 15:04:54.713,3333034169,605713,1,0.89453,-0.12598,0.52979,-2.321,1.473,-1.489
2026-06-14 15:04:54.713,3333034169,605713,2,1.03784,0.11133,-0.13208,-2.878,-1.443,-1.794
2026-06-14 15:04:55.295,3333034751,607294,1,0.89722,-0.13062,0.56226,-2.992,3.496,1.366
2026-06-14 15:04:55.295,3333034751,607294,2,1.05615,0.10083,-0.10498,4.466,1.71,1.611
2026-06-14 15:04:56.494,3333035950,607494,1,0.89185,-0.12378,0.55469,8.092,0.237,2.809
2026-06-14 15:04:56.494,3333035950,607494,2,1.04541,0.12061,-0.11597,5.893,-0.061,-0.74
2026-06-14 15:04:56.743,3333036199,607743,1,0.89014,-0.06689,0.54028,3.756,1.809,-2.038
2026-06-14 15:04:56.743,3333036199,607743,2,1.05078,0.10229,-0.13208,3.458,-7.496,5.092
2026-06-14 15:04:57.432,3333036888,608432,1,0.91699,-0.03418,0.5437,6.534,-0.321,3.672
2026-06-14 15:04:57.432,3333036888,608432,2,1.00977,0.11206,-0.15137,3.733,-2.443,-1.504
2026-06-14 15:04:57.793,3333037249,608793,1,0.89673,-0.03784,0.52588,2.618,0.16,1.947
2026-06-14 15:04:57.793,3333037249,608793,2,1.05127,0.12451,-0.14648,11.252,6.321,-2.374
2026-06-14 15:04:57.216,3333036672,609215,1,0.92554,-0.03613,0.50854,5.504,-2.13,3.069
2026-06-14 15:04:57.216,3333036672,609215,2,1.01758,0.08228,-0.17114,-1.412,-5.099,0.458
2026-06-14 15:04:58.448,3333037904,609448,1,0.94409,-0.02271,0.51538,12.321,-0.336,3.489
2026-06-14 15:04:58.448,3333037904,609448,2,1.0166,0.08984,-0.20557,8.947,4.786,-0.649
2026-06-14 15:04:58.680,3333038136,609680,1,0.927,-0.04492,0.4873,5.618,2.038,2.664
2026-06-14 15:04:58.680,3333038136,609680,2,1.01807,0.08667,-0.20093,1.481,3.168,0.771
2026-06-14 15:04:58.880,3333038336,609880,1,0.92041,-0.03198,0.52051,1.672,2.382,1.107
2026-06-14 15:04:58.880,3333038336,609880,2,1.01343,0.0686,-0.17896,2.489,-0.58,1.771
2026-06-14 15:04:58.104,3333037560,610104,1,0.91357,-0.03857,0.50122,4.374,1.008,1.626
2026-06-14 15:04:58.104,3333037560,610104,2,1.03467,0.09351,-0.09644,1.427,5.534,-3.649
2026-06-14 15:04:59.005,3333038461,611005,1,0.89038,0.05737,0.55591,1.557,3.58,-5.321
2026-06-14 15:04:59.005,3333038461,611005,2,1.03296,0.09131,-0.09766,2.176,3.679,-3.153
2026-06-14 15:04:59.211,3333038667,611211,1,0.90234,0.06982,0.55078,-7.153,5.26,0.519
2026-06-14 15:04:59.211,3333038667,611211,2,1.03394,0.10376,-0.10693,-1.412,3.046,1.008
2026-06-14 15:04:59.411,3333038867,611411,1,0.89502,0.06152,0.58032,-1.458,5.122,1.412
2026-06-14 15:04:59.411,3333038867,611411,2,1.03564,0.11182,-0.1106,11.137,2.664,-4.13
2026-06-14 15:05:01.972,3333041428,612972,1,0.88135,-0.08276,0.58374,2.84,1.382,1.069
2026-06-14 15:05:01.972,3333041428,612972,2,1.03198,0.10278,-0.1709,-0.763,-2.107,-0.573
2026-06-14 15:05:02.806,3333042262,613806,1,0.91943,-0.05151,0.51807,-7.916,-0.321,-4.237
2026-06-14 15:05:02.806,3333042262,613806,2,1.01123,0.08154,-0.146,10.924,1.725,-2.473
2026-06-14 15:05:03.455,3333042911,614455,1,0.96704,-0.03784,0.50635,3.443,4.397,3.008
2026-06-14 15:05:03.455,3333042911,614455,2,1.02441,0.10962,-0.16968,-0.74,-0.947,2.221
2026-06-14 15:05:03.015,3333042471,615015,1,0.93311,-0.02563,0.51343,3.496,1.023,1.664
2026-06-14 15:05:03.015,3333042471,615015,2,1.02124,0.09375,-0.18018,-7.603,3.87,2.282
2026-06-14 15:05:03.215,3333042671,615215,1,0.94116,-0.03101,0.5144,-3.626,1.977,-0.924
2026-06-14 15:05:03.215,3333042671,615215,2,1.00391,0.09155,-0.1709,7.893,0.771,-2.55
2026-06-14 15:05:03.415,3333042871,615415,1,0.93091,-0.01099,0.51001,-12.168,10.55,-2.267
2026-06-14 15:05:03.415,3333042871,615415,2,1.01123,0.06836,-0.16846,-3.466,3.931,0.42
2026-06-14 15:05:04.615,3333044071,615615,1,0.90503,-0.01538,0.52832,-1.931,1.183,4.366
2026-06-14 15:05:04.615,3333044071,615615,2,1.02881,0.0979,-0.1665,-2.015,-1.084,3.099
2026-06-14 15:05:04.815,3333044271,615815,1,1.03906,-0.05054,0.43604,16.084,-15.496,4.237
2026-06-14 15:05:04.815,3333044271,615815,2,1.03491,0.07031,-0.18774,13.863,2.924,-0.405
2026-06-14 15:05:04.015,3333043471,616015,1,0.91504,-0.03418,0.53247,-10.298,16.115,0.74
2026-06-14 15:05:04.015,3333043471,616015,2,1.01904,0.0874,-0.12842,-3.145,10.298,-2.298
2026-06-14 15:05:04.286,3333043742,616285,1,0.88403,-0.02686,0.58228,7.374,5.649,3.191
