datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-06-14T22:31:15.949209,,,,,,,,,
2026-06-14 22:31:16.565,3359816021,5565,1,0.78174,-0.05786,0.71436,-48.679,4.504,-19.504
2026-06-14 22:31:16.565,3359816021,5565,2,1.04199,0.03833,-0.24731,-52.176,11.458,-3.29
2026-06-14 22:31:17.879,3359817335,5879,1,0.86987,-0.15698,0.59351,-60.313,15.153,-55.366
2026-06-14 22:31:17.879,3359817335,5879,2,0.96802,-0.08984,-0.34546,-76.42,8.229,2.45
2026-06-14 22:31:17.079,3359816535,6079,1,0.8501,-0.10693,0.6001,-22.794,11.344,-24.931
2026-06-14 22:31:17.079,3359816535,6079,2,0.8623,0.03198,-0.38135,-19.305,-11.534,8.168
2026-06-14 22:31:17.279,3359816735,6279,1,0.74854,-0.30249,0.66626,-50.573,53.878,-3.565
2026-06-14 22:31:17.279,3359816735,6279,2,1.20508,0.02222,0.03809,47.481,24.634,-38.893
2026-06-14 22:31:26.571,3359826027,14571,1,0.88379,0.02734,0.60938,17.023,-3.924,5.634
2026-06-14 22:31:26.571,3359826027,14571,2,0.99341,-0.03418,-0.27222,-17.756,-10.046,13.794
2026-06-14 22:31:28.807,3359828263,16807,1,0.87012,-0.00146,0.60156,15.206,10.168,9.26
2026-06-14 22:31:28.807,3359828263,16807,2,1.02319,-0.01196,-0.18262,-53.183,-20.107,12.634
2026-06-14 22:31:30.974,3359830430,18974,1,0.90503,-0.00391,0.57764,4.992,1.42,2.061
2026-06-14 22:31:30.974,3359830430,18974,2,0.97925,-0.01489,-0.31372,2.733,1.55,-0.893
2026-06-14 22:31:32.078,3359831534,21078,1,-0.27515,-0.02515,1.04272,-0.534,-1.328,-3.504
2026-06-14 22:31:32.078,3359831534,21078,2,0.54321,0.0498,0.98657,1.359,3.634,-0.366
2026-06-14 22:31:34.290,3359833746,23289,1,-0.33179,-0.05078,0.99121,-0.641,1.221,0.084
2026-06-14 22:31:34.290,3359833746,23289,2,0.5127,0.03418,0.99902,-0.664,0.603,-0.924
2026-06-14 22:31:36.421,3359835877,25421,1,0.9541,0.01099,0.51001,8.908,-1.122,-16.053
2026-06-14 22:31:36.421,3359835877,25421,2,0.77734,0.01221,-0.61426,-10.298,-7.824,1.847
2026-06-14 22:31:39.660,3359839116,27659,1,1.03271,-0.00171,0.53638,43.466,-4.282,10.115
2026-06-14 22:31:39.660,3359839116,27659,2,0.65894,0.073,-0.69946,0.435,-4.046,-1.328
2026-06-14 22:31:41.848,3359841304,29848,1,0.99292,0.06812,0.43677,-1.565,3.168,2.282
2026-06-14 22:31:41.848,3359841304,29848,2,0.68555,0.01782,-0.68701,11.305,9.053,6.405
2026-06-14 22:31:43.961,3359843417,31961,1,0.90112,-0.01074,0.57471,3.641,2.511,2.321
2026-06-14 22:31:43.961,3359843417,31961,2,0.89844,-0.00562,-0.47192,0.076,1.267,-1.786
2026-06-14 22:31:45.116,3359844572,34116,1,0.91162,0.01367,0.55737,-3.855,4.206,-2.885
2026-06-14 22:31:45.116,3359844572,34116,2,0.88086,-0.03589,-0.46924,-5.13,2.206,5.023
2026-06-14 22:31:47.228,3359846684,36228,1,0.91382,0.00684,0.55127,0.405,1.45,0.137
2026-06-14 22:31:47.228,3359846684,36228,2,0.86987,-0.01367,-0.50708,0.618,0.137,-0.947
2026-06-14 22:31:49.365,3359848821,38365,1,0.92065,-0.00684,0.53833,-3.473,1.84,-1.031
