datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-06-26T15:44:54.874230,,,,,,,,,
2026-06-26T15:46:57.493276,,,,,,,,,
2026-06-26 15:46:57.674,77389834,5674,1,0.9397,0.12671,0.51367,-3.71,-7.351,-1.527
2026-06-26 15:46:57.674,77389834,5674,2,0.8606,-0.14282,-0.47241,13.061,-0.626,-1.947
2026-06-26 15:46:57.920,77390080,5919,1,0.948,0.12207,0.48218,5.137,-0.023,9.382
2026-06-26 15:46:57.920,77390080,5919,2,0.88086,-0.0874,-0.49097,1.595,6.947,-2.511
2026-06-26 15:46:58.250,77390410,6250,1,0.93066,0.10229,0.5144,4.45,5.565,2.328
2026-06-26 15:46:58.250,77390410,6250,2,0.88721,-0.12231,-0.46655,2.641,3.244,-2.603
2026-06-26 15:46:58.621,77390781,6621,1,0.91553,0.10547,0.53613,4.038,4.282,0.656
2026-06-26 15:46:58.621,77390781,6621,2,0.89697,-0.10693,-0.46387,-3.092,-1.634,0.298
2026-06-26 15:46:58.821,77390981,6821,1,0.91382,0.11719,0.53076,-0.214,2.931,-2.305
2026-06-26 15:46:58.821,77390981,6821,2,0.88647,-0.11719,-0.46802,-5.427,0.679,1.71
2026-06-26 15:46:59.065,77391225,7065,1,0.91943,0.14941,0.51953,-5.573,-0.863,-6.244
2026-06-26 15:46:59.065,77391225,7065,2,0.88403,-0.10767,-0.4856,-10.779,0.267,6.817
2026-06-26 15:46:59.265,77391425,7265,1,0.93018,0.12988,0.50659,-5.183,-0.023,-4.893
2026-06-26 15:46:59.265,77391425,7265,2,0.88452,-0.1145,-0.479,-8.42,3.023,2.557
2026-06-26 15:46:59.465,77391625,7465,1,0.91699,0.14453,0.51514,-1.374,1.573,-1.847
2026-06-26 15:46:59.465,77391625,7465,2,0.87866,-0.11011,-0.49658,1.008,1.336,-0.069
2026-06-26 15:46:59.772,77391932,7772,1,0.92163,0.14941,0.50488,0.901,2.672,1.908
2026-06-26 15:46:59.772,77391932,7772,2,0.8689,-0.11743,-0.4856,3.733,-0.771,-0.038
2026-06-26 15:47:00.004,77392164,8004,1,0.93408,0.13281,0.50537,3.092,2.176,3.038
2026-06-26 15:47:00.004,77392164,8004,2,0.87744,-0.13281,-0.48413,3.42,1.74,-2.489
2026-06-26 15:47:00.252,77392412,8252,1,0.92896,0.13623,0.5144,5.901,3.832,5.954
2026-06-26 15:47:00.252,77392412,8252,2,0.88159,-0.12842,-0.48486,7.954,3.702,-2.756
2026-06-26 15:47:00.452,77392612,8452,1,0.91553,0.11475,0.52197,3.824,2.122,2.679
2026-06-26 15:47:00.452,77392612,8452,2,0.87524,-0.12476,-0.48608,0.84,0.534,-2.076
2026-06-26 15:47:00.652,77392812,8652,1,0.93628,0.11841,0.51245,5.962,1.824,1.695
2026-06-26 15:47:00.652,77392812,8652,2,0.88013,-0.12891,-0.48804,2.763,-0.267,-2.45
2026-06-26 15:47:00.912,77393072,8912,1,0.93408,0.12354,0.50562,3.939,2.328,2.611
2026-06-26 15:47:00.912,77393072,8912,2,0.87329,-0.12695,-0.47412,6.87,6.076,-3.221
2026-06-26 15:47:01.112,77393272,9112,1,0.92432,0.1189,0.50146,0.198,6.115,2.58
2026-06-26 15:47:01.112,77393272,9112,2,0.87524,-0.1189,-0.47168,4.481,6.458,-0.878
2026-06-26 15:47:01.312,77393472,9312,1,0.9292,0.10815,0.51636,-2.443,5.214,-1.122
2026-06-26 15:47:01.312,77393472,9312,2,0.88477,-0.12915,-0.46973,0.939,1.748,0.298
2026-06-26 15:47:01.512,77393672,9512,1,0.91821,0.12573,0.52588,0.511,3.267,-0.977
2026-06-26 15:47:01.512,77393672,9512,2,0.88818,-0.14355,-0.46777,-1.351,2.168,-0.275
2026-06-26 15:47:01.712,77393872,9712,1,0.91284,0.12158,0.52637,0.504,4.16,-0.084
2026-06-26 15:47:01.712,77393872,9712,2,0.88086,-0.13135,-0.47656,1.511,2.168,-2.244
2026-06-26 15:47:01.912,77394072,9912,1,0.91699,0.12573,0.52148,0.435,1.496,-0.565
2026-06-26 15:47:01.912,77394072,9912,2,0.8894,-0.12549,-0.4751,1.466,2.359,-1.878
2026-06-26 15:47:02.192,77394352,10191,1,0.90039,0.12842,0.54834,0.359,2.725,-0.885
2026-06-26 15:47:02.192,77394352,10191,2,0.88965,-0.10791,-0.47949,-0.756,-4.344,4.16
2026-06-26 15:47:02.425,77394585,10425,1,0.927,0.11694,0.51855,-7.74,2.74,-2.603
2026-06-26 15:47:02.425,77394585,10425,2,0.8606,-0.14819,-0.48242,-3.29,-0.191,4.542
2026-06-26 15:47:02.917,77395077,10917,1,0.92993,0.11255,0.50781,3.893,0.977,2.985
2026-06-26 15:47:02.917,77395077,10917,2,0.8645,-0.14941,-0.49829,7.137,3.809,-2.74
2026-06-26 15:47:03.201,77395361,11201,1,0.91919,0.09766,0.53247,1.252,1.061,0.664
2026-06-26 15:47:03.201,77395361,11201,2,0.87134,-0.16431,-0.49097,0.893,2.046,-1.313
2026-06-26 15:47:03.418,77395578,11418,1,0.92285,0.10669,0.51904,2.176,3.397,1.328
2026-06-26 15:47:03.418,77395578,11418,2,0.87695,-0.15625,-0.49219,2.916,3.809,-1.672
2026-06-26 15:47:03.618,77395778,11618,1,0.9231,0.11426,0.50952,0.145,3.504,-0.466
2026-06-26 15:47:03.618,77395778,11618,2,0.87036,-0.15649,-0.49487,1.718,2.145,-1.397
2026-06-26 15:47:03.838,77395998,11838,1,0.91626,0.12939,0.51611,1.473,1.84,-1.359
2026-06-26 15:47:03.838,77395998,11838,2,0.85791,-0.11719,-0.47876,-1.282,0.84,-0.893
2026-06-26 15:47:04.154,77396314,12154,1,0.92554,0.11987,0.50488,1.176,0.733,-0.832
2026-06-26 15:47:04.154,77396314,12154,2,0.88086,-0.13208,-0.49097,3.511,2.84,-2.221
2026-06-26 15:47:04.434,77396594,12434,1,0.93506,0.10889,0.51489,4.061,4.519,1.473
2026-06-26 15:47:04.434,77396594,12434,2,0.87427,-0.14307,-0.47534,2.908,3.794,-3.924
2026-06-26 15:47:04.634,77396794,12634,1,0.90942,0.12988,0.52539,5.206,6.374,2.26
2026-06-26 15:47:04.634,77396794,12634,2,0.875,-0.14087,-0.47314,9.595,5.153,-5.992
2026-06-26 15:47:05.000,77397160,13000,1,0.90161,0.11548,0.54956,7.473,2.427,3.863
2026-06-26 15:47:05.000,77397160,13000,2,0.89136,-0.13232,-0.46924,2.802,0.641,-2.397
2026-06-26 15:47:05.204,77397364,13203,1,0.91113,0.13135,0.53076,3.023,3.611,2.305
2026-06-26 15:47:05.204,77397364,13203,2,0.87866,-0.12939,-0.47583,2.244,1.458,-0.71
2026-06-26 15:47:05.403,77397563,13403,1,0.91846,0.11401,0.53369,-2.45,1.29,-1.023
