datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-06-29T12:50:49.172096,,,,,,,,,
2026-06-29 12:50:49.376,326021536,8376,1,-0.19922,-0.85962,-0.36206,0.641,2.389,0.42
2026-06-29 12:50:49.376,326021536,8376,2,0.10645,-1.02002,0.01563,0.664,1.328,-0.489
2026-06-29 12:50:50.718,326022878,8718,1,-0.20776,-0.84912,-0.37036,0.412,2.473,0.527
2026-06-29 12:50:50.718,326022878,8718,2,0.09985,-1.02124,0.03174,0.672,1.435,-0.55
2026-06-29 12:50:50.048,326022208,9048,1,-0.20068,-0.86108,-0.37793,0.71,2.565,0.351
2026-06-29 12:50:50.048,326022208,9048,2,0.09863,-1.0271,0.01587,0.977,1.466,-0.519
2026-06-29 12:50:50.300,326022460,9299,1,-0.20044,-0.85645,-0.36572,0.832,2.344,0.191
2026-06-29 12:50:50.300,326022460,9299,2,0.10327,-1.01733,0.02246,0.733,1.481,-0.542
2026-06-29 12:50:50.519,326022679,9519,1,-0.19971,-0.86768,-0.35962,0.733,2.641,0.145
2026-06-29 12:50:50.519,326022679,9519,2,0.10132,-1.02026,0.01001,0.618,1.534,-0.557
2026-06-29 12:50:51.719,326023879,9719,1,-0.20825,-0.85815,-0.37646,0.511,2.145,0.481
2026-06-29 12:50:51.719,326023879,9719,2,0.10352,-1.02759,0.03101,0.779,1.42,-0.473
2026-06-29 12:50:51.919,326024079,9919,1,-0.19897,-0.85205,-0.36304,1.0,2.748,0.916
2026-06-29 12:50:51.919,326024079,9919,2,0.09961,-1.02026,0.02148,0.954,1.695,-0.519
2026-06-29 12:50:51.251,326023411,10251,1,-0.20483,-0.85913,-0.35278,0.26,2.489,0.336
2026-06-29 12:50:51.251,326023411,10251,2,0.10767,-1.02563,0.02222,0.786,1.557,-0.412
2026-06-29 12:50:51.451,326023611,10451,1,-0.20679,-0.85498,-0.35889,0.527,2.374,0.489
2026-06-29 12:50:51.451,326023611,10451,2,0.1062,-1.021,0.0144,0.84,1.405,-0.389
2026-06-29 12:50:51.651,326023811,10651,1,-0.19995,-0.85718,-0.36084,0.504,2.458,0.344
2026-06-29 12:50:51.651,326023811,10651,2,0.1001,-1.01758,0.02466,0.649,1.435,-0.405
2026-06-29 12:50:52.855,326025015,10855,1,-0.20068,-0.8584,-0.36548,0.565,2.405,0.382
2026-06-29 12:50:52.855,326025015,10855,2,0.10449,-1.02222,0.01831,0.42,1.374,-0.45
2026-06-29 12:50:52.055,326024215,11055,1,-0.20728,-0.8606,-0.36328,0.504,2.55,0.473
2026-06-29 12:50:52.055,326024215,11055,2,0.1062,-1.02246,0.03296,0.748,1.198,-0.534
2026-06-29 12:50:52.255,326024415,11255,1,-0.19971,-0.85474,-0.35767,0.458,2.282,0.466
2026-06-29 12:50:52.255,326024415,11255,2,0.10107,-1.02075,0.02515,0.878,1.573,-0.557
2026-06-29 12:50:52.455,326024615,11455,1,-0.20483,-0.85815,-0.37012,0.611,2.573,0.511
2026-06-29 12:50:52.455,326024615,11455,2,0.10425,-1.02124,0.0166,0.382,1.344,-0.504
2026-06-29 12:50:52.655,326024815,11655,1,-0.19922,-0.85913,-0.3689,0.557,2.321,0.626
2026-06-29 12:50:52.655,326024815,11655,2,0.10352,-1.01685,0.01025,0.947,1.389,-0.542
2026-06-29 12:50:53.855,326026015,11855,1,-0.19873,-0.85913,-0.35815,0.626,2.374,0.221
2026-06-29 12:50:53.855,326026015,11855,2,0.09888,-1.01831,0.01685,0.427,1.336,-0.557
2026-06-29 12:50:53.055,326025215,12055,1,-0.20166,-0.85864,-0.35669,0.405,2.473,0.229
2026-06-29 12:50:53.055,326025215,12055,2,0.10352,-1.01953,0.01758,0.916,1.634,-0.687
2026-06-29 12:50:53.255,326025415,12255,1,-0.20386,-0.85864,-0.36938,0.466,2.344,0.496
2026-06-29 12:50:53.255,326025415,12255,2,0.10059,-1.02051,0.02368,0.427,1.466,-0.519
2026-06-29 12:50:53.455,326025615,12455,1,-0.20313,-0.86255,-0.36182,0.412,2.542,0.198
2026-06-29 12:50:53.455,326025615,12455,2,0.09961,-1.01978,0.02026,0.878,1.618,-0.511
2026-06-29 12:50:53.655,326025815,12655,1,-0.20044,-0.86255,-0.35986,0.45,2.382,0.519
2026-06-29 12:50:53.655,326025815,12655,2,0.104,-1.02563,0.01221,0.794,1.344,-0.481
2026-06-29 12:50:54.855,326027015,12855,1,-0.20532,-0.8584,-0.36792,0.611,2.229,0.328
2026-06-29 12:50:54.855,326027015,12855,2,0.10376,-1.0249,0.01514,0.863,1.466,-0.58
2026-06-29 12:50:54.126,326026286,13126,1,-0.19873,-0.85938,-0.35791,0.611,2.374,0.374
2026-06-29 12:50:54.126,326026286,13126,2,0.10815,-1.02246,0.02637,0.893,1.634,-0.458
2026-06-29 12:50:54.346,326026506,13346,1,-0.19922,-0.86377,-0.36279,0.221,2.366,0.504
2026-06-29 12:50:54.346,326026506,13346,2,0.10669,-1.02466,0.01953,0.733,1.45,-0.557
2026-06-29 12:50:54.550,326026710,13550,1,-0.2041,-0.85645,-0.37134,0.405,2.282,0.374
2026-06-29 12:50:54.550,326026710,13550,2,0.09912,-1.02515,0.0188,0.618,1.603,-0.542
2026-06-29 12:50:55.750,326027910,13750,1,-0.20386,-0.86157,-0.36401,0.702,2.511,0.382
2026-06-29 12:50:55.750,326027910,13750,2,0.10205,-1.02319,0.02026,0.351,1.618,-0.588
2026-06-29 12:50:55.950,326028110,13950,1,-0.20654,-0.85498,-0.36426,0.489,2.366,0.366
2026-06-29 12:50:55.950,326028110,13950,2,0.09888,-1.0144,0.01978,0.55,1.45,-0.672
2026-06-29 12:50:55.150,326027310,14150,1,-0.20728,-0.85815,-0.37036,0.435,2.275,0.389
2026-06-29 12:50:55.150,326027310,14150,2,0.10181,-1.02075,0.021,0.763,1.412,-0.45
2026-06-29 12:50:55.350,326027510,14350,1,-0.20313,-0.85938,-0.36719,0.786,2.511,0.321
2026-06-29 12:50:55.350,326027510,14350,2,0.10474,-1.02197,0.01514,0.58,1.649,-0.466
2026-06-29 12:50:55.550,326027710,14550,1,-0.19897,-0.85474,-0.36011,0.443,2.366,0.588
2026-06-29 12:50:55.550,326027710,14550,2,0.10474,-1.02197,0.02368,0.511,1.519,-0.389
2026-06-29 12:50:56.750,326028910,14750,1,-0.19824,-0.85693,-0.35889,0.374,2.473,0.328
2026-06-29 12:50:56.750,326028910,14750,2,0.10059,-1.01831,0.01318,0.779,1.527,-0.481
2026-06-29 12:50:56.950,326029110,14950,1,-0.19922,-0.85596,-0.36133,0.595,2.298,0.374
2026-06-29 12:50:56.950,326029110,14950,2,0.09644,-1.01953,0.01318,0.847,1.496,-0.527
2026-06-29 12:50:56.150,326028310,15150,1,-0.20239,-0.85791,-0.3645,0.42,2.321,0.336
2026-06-29 12:50:56.150,326028310,15150,2,0.09668,-1.01709,0.01953,1.015,1.473,-0.542
2026-06-29 12:50:56.350,326028510,15350,1,-0.20068,-0.85327,-0.37427,0.573,2.359,0.313
2026-06-29 12:50:56.350,326028510,15350,2,0.10791,-1.02686,0.02222,0.489,1.344,-0.55
2026-06-29 12:50:56.550,326028710,15550,1,-0.19434,-0.85376,-0.36694,0.374,2.168,0.489
2026-06-29 12:50:56.550,326028710,15550,2,0.10693,-1.02051,0.02783,0.702,1.405,-0.519
2026-06-29 12:50:57.750,326029910,15750,1,-0.19678,-0.8562,-0.36963,0.626,2.611,0.397
2026-06-29 12:50:57.750,326029910,15750,2,0.104,-1.01807,0.01587,0.702,1.527,-0.634
2026-06-29 12:50:57.950,326030110,15950,1,-0.19897,-0.85547,-0.36523,0.718,2.282,0.351
2026-06-29 12:50:57.950,326030110,15950,2,0.10181,-1.02393,0.01587,0.733,1.458,-0.511
2026-06-29 12:50:57.150,326029310,16150,1,-0.19751,-0.85669,-0.36377,0.405,2.427,0.397
2026-06-29 12:50:57.150,326029310,16150,2,0.09888,-1.01611,0.0144,0.702,1.626,-0.55
2026-06-29 12:50:57.350,326029510,16350,1,-0.20093,-0.8584,-0.37231,0.71,2.435,0.374
2026-06-29 12:50:57.350,326029510,16350,2,0.10254,-1.02563,0.0249,0.557,1.573,-0.504
2026-06-29 12:50:57.550,326029710,16550,1,-0.20215,-0.85791,-0.36206,0.542,2.481,0.511
2026-06-29 12:50:57.550,326029710,16550,2,0.10059,-1.02344,0.02661,0.595,1.489,-0.634
2026-06-29 12:50:58.750,326030910,16750,1,-0.20728,-0.85107,-0.37134,0.595,2.443,0.466
2026-06-29 12:50:58.750,326030910,16750,2,0.10254,-1.02637,0.01587,0.611,1.527,-0.649
2026-06-29 12:50:58.950,326031110,16950,1,-0.20313,-0.85815,-0.35889,0.603,2.344,0.344
2026-06-29 12:50:58.950,326031110,16950,2,0.10718,-1.021,0.01245,1.038,1.489,-0.519
2026-06-29 12:50:58.150,326030310,17150,1,-0.20264,-0.86206,-0.36401,0.45,2.496,0.389
2026-06-29 12:50:58.150,326030310,17150,2,0.10132,-1.02002,0.02148,0.832,1.649,-0.458
2026-06-29 12:50:58.350,326030510,17350,1,-0.20386,-0.86011,-0.37134,0.481,2.336,0.252
2026-06-29 12:50:58.350,326030510,17350,2,0.09741,-1.0188,0.01807,0.672,1.397,-0.55
2026-06-29 12:50:58.550,326030710,17550,1,-0.19995,-0.854,-0.36279,0.496,2.198,0.45
2026-06-29 12:50:58.550,326030710,17550,2,0.09546,-1.01782,0.01929,0.687,1.557,-0.527
2026-06-29 12:50:59.750,326031910,17750,1,-0.19458,-0.85352,-0.36108,0.466,2.504,0.305
2026-06-29 12:50:59.750,326031910,17750,2,0.10083,-1.01367,0.0249,0.664,1.351,-0.55
2026-06-29 12:50:59.950,326032110,17950,1,-0.19897,-0.85229,-0.36255,0.595,2.45,0.603
2026-06-29 12:50:59.950,326032110,17950,2,0.10352,-1.02515,0.02393,0.634,1.351,-0.435
2026-06-29 12:50:59.150,326031310,18150,1,-0.20361,-0.86035,-0.37061,0.382,2.168,0.435
2026-06-29 12:50:59.150,326031310,18150,2,0.09888,-1.01709,0.02026,1.015,1.733,-0.656
2026-06-29 12:50:59.350,326031510,18350,1,-0.2063,-0.85962,-0.36279,0.595,2.595,0.382
2026-06-29 12:50:59.350,326031510,18350,2,0.10205,-1.01465,0.01465,0.74,1.389,-0.504
2026-06-29 12:50:59.550,326031710,18550,1,-0.20313,-0.85547,-0.36206,0.435,2.397,0.344
2026-06-29 12:50:59.550,326031710,18550,2,0.09619,-1.02148,0.02148,0.534,1.359,-0.26
