datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
NTP_NOT_SET,,40068,1,7.06641,-0.53516,4.76367,16.829,15.549,-0.061
NTP_NOT_SET,,40068,1,7.06641,-0.53516,4.76367,16.829,15.549,-0.061
NTP_NOT_SET,,40068,2,1.01343,-0.10278,-0.17383,8.298,1.389,-1.038
NTP_NOT_SET,,48509,1,0.85474,-0.00415,0.65527,14.588,8.328,7.107
NTP_NOT_SET,,48509,2,0.99829,0.07764,-0.17944,-7.023,5.13,-5.214
NTP_NOT_SET,,58648,1,-5.89355,-0.09424,,1700.244,-27.378,1888.719
NTP_NOT_SET,,58648,1,-5.89355,-0.09424,,1700.244,-27.378,1888.719
NTP_NOT_SET,,58648,2,1.02344,-0.09668,-0.18872,-0.023,1.855,-0.565
NTP_NOT_SET,,63953,1,-5.89355,-0.09424,-11.88477,1700.244,-27.378,1888.719
NTP_NOT_SET,,63953,2,0.98779,-0.10938,-0.17236,-2.145,1.191,-4.771
NTP_NOT_SET,,64153,1,0.8916,-0.11108,0.60229,12.534,7.267,5.992
NTP_NOT_SET,,64153,2,1.04688,-0.07422,-0.24927,-1.015,6.893,-3.481
NTP_NOT_SET,,69438,1,-5.89355,-0.09424,-11.88477,1700.244,-27.378,1888.719
NTP_NOT_SET,,69438,2,1.03418,-0.06543,-0.15137,5.336,6.84,-2.16
NTP_NOT_SET,,71830,1,-5.89355,-0.09424,-11.88477,1700.244,-27.378,1888.719
NTP_NOT_SET,,71830,2,1.03101,-0.03857,-0.15015,-0.573,3.366,-6.954
NTP_NOT_SET,,74131,1,-5.89355,-0.09424,-11.88477,1700.244,-27.378,1888.719
NTP_NOT_SET,,74131,2,1.01025,-0.04443,-0.18848,-2.511,0.618,-5.527
NTP_NOT_SET,,74331,1,-5.89355,-0.09424,,1700.244,-27.378,1888.719
NTP_NOT_SET,,74331,2,1.03418,-0.04297,-0.16064,-4.099,-1.954,-1.802
NTP_NOT_SET,,74618,1,-5.89355,-0.09424,,1700.244,-27.378,1888.719
NTP_NOT_SET,,74618,2,1.02661,-0.02075,-0.18286,1.626,-1.893,-1.382
NTP_NOT_SET,,74885,1,-5.89355,-0.09424,,1700.244,-27.378,1888.719
NTP_NOT_SET,,74885,2,1.01538,-0.0083,-0.18945,2.427,-0.397,-1.763
NTP_NOT_SET,,75085,1,-0.73669,-0.01178,-1.4856,212.855,-3.427,236.45
NTP_NOT_SET,,75085,2,1.02954,-0.02734,-0.18872,4.702,2.282,-2.466
NTP_NOT_SET,,75285,1,0.90405,-0.07251,0.58447,4.473,3.725,0.573
NTP_NOT_SET,,75285,2,1.10303,-0.01563,-0.19409,-14.885,2.504,0.641
NTP_NOT_SET,,75637,1,1.04224,-0.1709,0.20581,-11.779,-86.908,-16.947
NTP_NOT_SET,,75637,2,1.01123,-0.02783,-0.21265,20.16,9.16,-1.023
NTP_NOT_SET,,75837,1,1.0481,-0.09009,0.09741,-13.527,0.198,-8.427
NTP_NOT_SET,,75837,2,1.03174,-0.04883,-0.13501,-1.053,7.733,2.573
NTP_NOT_SET,,76114,1,1.09863,-0.11548,0.27441,40.641,70.725,4.87
NTP_NOT_SET,,76114,2,1.03491,-0.03906,-0.16675,1.267,-0.809,-1.824
NTP_NOT_SET,,76314,1,0.90796,-0.17041,0.33472,9.626,-4.252,9.603
NTP_NOT_SET,,76314,2,1.03491,-0.02856,-0.15137,-4.435,1.42,0.702
NTP_NOT_SET,,76514,1,0.95776,-0.04077,0.45239,9.145,40.031,4.13
NTP_NOT_SET,,76514,2,1.02881,-0.01563,-0.14209,-3.298,-0.015,0.252
NTP_NOT_SET,,76742,1,0.95435,-0.07056,0.49072,-10.771,2.42,-5.458
NTP_NOT_SET,,76742,2,1.0188,-0.02783,-0.16895,6.382,2.015,-1.176
NTP_NOT_SET,,76963,1,0.93286,-0.08179,0.50659,0.191,2.015,-0.16
NTP_NOT_SET,,76963,2,1.03955,-0.02661,-0.16211,0.908,0.908,0.145
NTP_NOT_SET,,77163,1,1.06714,-0.06958,0.32642,-56.618,-81.901,-28.595
NTP_NOT_SET,,77163,2,1.02832,-0.02734,-0.16968,-4.244,4.29,-0.763
NTP_NOT_SET,,77363,1,1.04004,-0.07715,0.15503,-4.756,-8.321,-1.023
NTP_NOT_SET,,77363,2,1.02832,-0.01807,-0.17749,-4.321,6.496,2.573
NTP_NOT_SET,,77627,1,-5.89355,-0.09424,,1700.244,-27.378,1888.719
NTP_NOT_SET,,77627,2,1.03369,-0.04565,-0.14868,-8.985,0.893,1.405
NTP_NOT_SET,,77827,1,-5.89355,-0.09424,,1700.244,-27.378,1888.719
NTP_NOT_SET,,77827,2,1.04248,-0.02539,-0.12085,-0.252,-0.718,-0.023
NTP_NOT_SET,,78027,1,-5.89355,-0.09424,,1700.244,-27.378,1888.719
NTP_NOT_SET,,78027,2,1.04175,-0.0166,-0.12598,0.282,1.336,-0.817
NTP_NOT_SET,,78361,1,1.05029,-0.0752,0.10767,1.0,-8.122,-0.702
NTP_NOT_SET,,78361,2,1.02148,-0.06445,-0.17578,0.313,3.008,1.817
NTP_NOT_SET,,78561,1,1.08618,-0.05933,0.07666,2.115,-13.374,-3.473
NTP_NOT_SET,,78561,2,1.03931,-0.06934,-0.17017,-5.702,2.145,2.252
NTP_NOT_SET,,78761,1,1.06396,-0.06445,0.12695,-9.687,19.458,7.87
NTP_NOT_SET,,78761,2,1.03467,-0.05029,-0.14014,15.687,-4.374,-5.351
NTP_NOT_SET,,79032,1,1.06226,-0.06128,0.0957,3.26,-0.679,-2.618
NTP_NOT_SET,,79032,2,1.03174,-0.05273,-0.15356,1.641,-0.305,-0.885
NTP_NOT_SET,,79232,1,1.03931,-0.05737,0.09473,2.924,3.336,0.305
NTP_NOT_SET,,79232,2,1.02271,-0.04736,-0.17407,0.13,0.176,-0.099
NTP_NOT_SET,,79678,1,0.99902,-0.08496,0.25928,14.939,22.802,1.153
NTP_NOT_SET,,79678,2,1.02344,-0.04346,-0.18872,-0.45,-0.359,0.374
