datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-06-29T18:12:38.428685,,,,,,,,,
2026-06-29T18:12:42.577301,,,,,,,,,
NTP_NOT_SET,,15424,1,0.82788,-0.28979,0.67383,12.672,10.313,17.076
NTP_NOT_SET,,15424,2,1.01025,0.16772,0.04541,16.298,-6.573,7.244
NTP_NOT_SET,,15688,1,0.83179,-0.22266,0.65991,10.763,-5.924,9.412
NTP_NOT_SET,,15688,2,1.05225,0.18823,0.06177,7.893,2.076,-1.618
NTP_NOT_SET,,15888,1,0.8208,-0.18896,0.61523,-7.29,-2.427,-5.061
NTP_NOT_SET,,15888,2,0.99268,0.17236,-0.01294,-2.962,-7.969,1.084
NTP_NOT_SET,,16088,1,0.88403,-0.1189,0.57422,-8.824,-1.145,-11.527
NTP_NOT_SET,,16088,2,1.02515,0.25684,0.02686,3.519,3.412,0.053
NTP_NOT_SET,,16317,1,0.85864,-0.12158,0.58862,0.725,4.489,-3.573
NTP_NOT_SET,,16317,2,1.00122,0.26147,0.00684,7.763,-0.282,-4.885
NTP_NOT_SET,,16653,1,0.86304,-0.17456,0.5957,8.855,0.412,4.275
NTP_NOT_SET,,16653,2,1.03662,0.26147,-0.00049,10.718,4.198,-0.695
NTP_NOT_SET,,16873,1,0.85059,-0.11938,0.61499,-5.328,-0.412,-5.298
NTP_NOT_SET,,16873,2,0.99341,0.27734,-0.03394,-7.305,-1.0,6.183
NTP_NOT_SET,,17083,1,0.89819,-0.13306,0.59351,-0.061,1.206,-7.969
NTP_NOT_SET,,17083,2,1.03833,0.22168,0.00439,4.71,1.931,-1.321
NTP_NOT_SET,,17399,1,0.83569,-0.01563,0.56641,4.305,1.618,1.687
NTP_NOT_SET,,17399,2,0.99146,0.26855,0.04053,3.008,3.473,-5.664
NTP_NOT_SET,,17827,1,0.8335,-0.09644,0.60986,9.366,1.45,6.473
NTP_NOT_SET,,17827,2,1.02954,0.2749,0.02637,-1.221,4.977,1.733
NTP_NOT_SET,,18278,1,0.8623,-0.1416,0.61279,1.58,6.267,2.924
NTP_NOT_SET,,18278,2,1.00293,0.25806,-0.0105,0.374,-1.527,1.076
NTP_NOT_SET,,18628,1,0.8374,-0.14868,0.63745,-4.282,2.405,-5.71
NTP_NOT_SET,,18628,2,1.0332,0.2085,0.00635,-4.42,-2.817,-0.389
NTP_NOT_SET,,18828,1,0.86182,-0.1543,0.62524,-1.832,2.672,0.992
NTP_NOT_SET,,18828,2,1.02246,0.23828,0.00903,-4.458,-1.595,0.176
NTP_NOT_SET,,19028,1,0.85645,-0.14087,0.62354,-0.84,2.122,2.939
NTP_NOT_SET,,19028,2,1.01978,0.24023,0.02881,6.359,3.321,0.847
NTP_NOT_SET,,19393,1,0.86328,-0.15405,0.62036,-0.427,0.786,1.641
NTP_NOT_SET,,19393,2,1.02856,0.24561,0.01074,0.87,0.16,-0.687
NTP_NOT_SET,,19660,1,0.8479,-0.15967,0.61035,-1.626,3.87,-1.122
NTP_NOT_SET,,19660,2,1.02808,0.22778,0.02466,1.893,4.069,1.076
NTP_NOT_SET,,19861,1,0.84399,-0.16235,0.63232,0.809,4.328,-0.718
NTP_NOT_SET,,19861,2,1.02686,0.22949,0.03003,-1.145,1.015,-0.817
NTP_NOT_SET,,20061,1,0.83838,-0.15503,0.63965,-0.168,3.496,0.023
NTP_NOT_SET,,20061,2,1.02197,0.229,0.02319,-1.13,1.649,-0.45
NTP_NOT_SET,,20355,1,0.85083,-0.14282,0.62451,-2.618,-1.046,1.061
NTP_NOT_SET,,20355,2,1.01245,0.21753,0.03638,-1.435,-0.573,-1.756
NTP_NOT_SET,,20620,1,0.85571,-0.17554,0.61938,1.176,-0.015,-1.13
NTP_NOT_SET,,20620,2,1.02563,0.23242,0.02563,-0.763,0.214,-0.382
NTP_NOT_SET,,20871,1,0.84424,-0.15894,0.6106,0.397,3.328,-2.107
NTP_NOT_SET,,20871,2,1.02881,0.21899,0.03882,-3.122,1.763,-1.015
NTP_NOT_SET,,21147,1,0.86084,-0.13184,0.61084,-5.458,1.511,-1.107
NTP_NOT_SET,,21147,2,1.02051,0.22949,0.01538,-1.084,-3.466,-2.298
NTP_NOT_SET,,21452,1,0.88843,-0.14771,0.60352,-0.641,-2.382,-2.885
NTP_NOT_SET,,21452,2,1.02148,0.25098,0.01953,-3.053,0.153,-1.244
NTP_NOT_SET,,21661,1,0.86426,-0.13721,0.5874,-3.046,-0.595,-5.031
NTP_NOT_SET,,21661,2,1.03198,0.24487,0.01709,-3.061,3.534,-2.229
NTP_NOT_SET,,21925,1,0.8916,-0.12964,0.57813,3.26,1.076,-1.779
NTP_NOT_SET,,21925,2,1.02783,0.25586,0.03394,2.832,3.008,-1.771
NTP_NOT_SET,,22189,1,0.89233,-0.1106,0.57544,-0.595,2.496,-2.038
NTP_NOT_SET,,22189,2,1.0188,0.26294,0.01465,0.756,-0.618,-1.641
NTP_NOT_SET,,22439,1,0.89429,-0.10132,0.57373,3.183,2.565,0.443
NTP_NOT_SET,,22439,2,1.01367,0.26465,0.02026,1.122,3.656,-0.267
NTP_NOT_SET,,22639,1,0.88354,-0.10254,0.58228,2.992,0.29,4.229
NTP_NOT_SET,,22639,2,1.01929,0.27075,0.02002,1.267,1.496,2.443
NTP_NOT_SET,,22849,1,0.85962,-0.10767,0.59229,1.374,0.893,-2.382
NTP_NOT_SET,,22849,2,1.02588,0.26196,0.01392,-7.137,-1.74,-3.618
NTP_NOT_SET,,23049,1,0.91626,-0.11133,0.56787,-5.168,-2.405,-0.359
NTP_NOT_SET,,23049,2,1.01196,0.25439,0.02466,1.969,0.221,3.015
NTP_NOT_SET,,23249,1,0.90796,-0.13379,0.5542,-3.618,-3.733,0.221
NTP_NOT_SET,,23249,2,1.02124,0.25464,0.00879,-0.664,0.023,-0.664
NTP_NOT_SET,,23521,1,0.90112,-0.12109,0.53955,0.366,3.588,-0.244
NTP_NOT_SET,,23521,2,1.01855,0.25952,-0.00757,-0.893,0.664,2.023
NTP_NOT_SET,,23774,1,0.90503,-0.11963,0.54395,-4.038,3.183,-2.901
NTP_NOT_SET,,23774,2,1.01758,0.24023,-0.00757,-2.176,0.931,-0.107
NTP_NOT_SET,,24005,1,0.9187,-0.12646,0.54077,1.992,2.344,2.328
NTP_NOT_SET,,24005,2,1.01709,0.25903,-0.00366,4.847,3.305,-1.351
NTP_NOT_SET,,29116,1,0.90601,-0.11133,0.53882,-3.802,4.863,4.992
NTP_NOT_SET,,29116,2,1.021,0.27734,-0.00757,-1.977,0.756,-0.725
NTP_NOT_SET,,31275,1,0.90015,-0.09082,0.57251,2.817,2.382,-1.137
NTP_NOT_SET,,31275,2,1.01855,0.26904,0.00928,-0.252,-2.573,0.489
NTP_NOT_SET,,31475,1,0.90186,-0.09717,0.56567,-3.84,-0.252,1.237
NTP_NOT_SET,,31475,2,1.04321,0.26514,-0.02002,1.344,-2.725,-2.053
NTP_NOT_SET,,31675,1,0.90259,-0.08374,0.57837,-0.183,0.947,-0.847
NTP_NOT_SET,,31675,2,1.01392,0.26245,-0.02539,0.069,2.069,-2.885
NTP_NOT_SET,,31929,1,0.88843,-0.1123,0.58447,9.458,7.977,6.664
NTP_NOT_SET,,31929,1,0.88843,-0.1123,0.58447,9.458,7.977,6.664
NTP_NOT_SET,,31929,2,0.54224,0.14673,0.96997,0.244,-1.45,0.336
