datetime,epoch_ms,ts_millis,sensor,temperature_c,pressure_hpa,altitude_m
2026-06-01 16:56:07.729,2216507185,5729,BME280,30.02,1005.37,65.815
2026-06-01 16:56:07.929,2216507385,5929,BME280,30.02,1005.37,65.815
2026-06-01 16:56:07.129,2216506585,6129,BME280,30.02,1005.37,65.815
2026-06-01 16:56:07.329,2216506785,6329,BME280,30.02,1005.38,65.762
2026-06-01 16:56:08.529,2216507985,6529,BME280,30.02,1005.38,65.762
2026-06-01 16:56:08.729,2216508185,6729,BME280,30.02,1005.38,65.762
2026-06-01 16:56:08.929,2216508385,6929,BME280,30.02,1005.38,65.762
2026-06-01 16:56:08.129,2216507585,7129,BME280,30.02,1005.38,65.762
2026-06-01 16:56:08.329,2216507785,7329,BME280,30.02,1005.37,65.817
2026-06-01 16:56:09.529,2216508985,7529,BME280,30.02,1005.37,65.817
2026-06-01 16:56:09.729,2216509185,7729,BME280,30.02,1005.37,65.817
2026-06-01 16:56:09.929,2216509385,7929,BME280,30.02,1005.37,65.817
2026-06-01 16:56:09.129,2216508585,8129,BME280,30.02,1005.37,65.817
2026-06-01 16:56:09.329,2216508785,8329,BME280,30.01,1005.38,65.69
2026-06-01 16:56:10.529,2216509985,8529,BME280,30.01,1005.38,65.69
2026-06-01 16:56:10.729,2216510185,8729,BME280,30.01,1005.38,65.69
2026-06-01 16:56:11.447,2216510903,9447,BME280,30.02,1005.39,65.617
2026-06-01 16:56:11.647,2216511103,9647,BME280,30.02,1005.39,65.617
2026-06-01 16:56:11.847,2216511303,9847,BME280,30.02,1005.39,65.617
2026-06-01 16:56:11.047,2216510503,10047,BME280,30.02,1005.39,65.617
2026-06-01 16:56:11.247,2216510703,10247,BME280,30.01,1005.37,65.849
2026-06-01 16:56:12.447,2216511903,10447,BME280,30.01,1005.37,65.849
2026-06-01 16:56:12.647,2216512103,10647,BME280,30.01,1005.37,65.849
2026-06-01 16:56:12.847,2216512303,10847,BME280,30.01,1005.37,65.849
2026-06-01 16:56:12.047,2216511503,11047,BME280,30.01,1005.37,65.849
2026-06-01 16:56:12.247,2216511703,11247,BME280,30.02,1005.38,65.693
2026-06-01 16:56:13.447,2216512903,11447,BME280,30.02,1005.38,65.693
2026-06-01 16:56:13.647,2216513103,11647,BME280,30.02,1005.38,65.693
2026-06-01 16:56:13.847,2216513303,11847,BME280,30.02,1005.38,65.693
2026-06-01 16:56:13.047,2216512503,12047,BME280,30.02,1005.38,65.693
2026-06-01 16:56:13.247,2216512703,12247,BME280,30.02,1005.37,65.815
2026-06-01 16:56:14.447,2216513903,12447,BME280,30.02,1005.37,65.815
2026-06-01 16:56:14.647,2216514103,12647,BME280,30.02,1005.37,65.815
2026-06-01 16:56:14.847,2216514303,12847,BME280,30.02,1005.37,65.815
2026-06-01 16:56:14.047,2216513503,13047,BME280,30.02,1005.37,65.815
