datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-06-01T13:32:22.501744,,,,,,,,,
2026-06-01 13:32:22.267,2204281723,9267,1,0.89526,0.01172,0.65747,1.298,2.13,1.618
2026-06-01 13:32:22.267,2204281723,9267,2,,,,,,
2026-06-01 13:32:22.506,2204281962,9506,1,0.854,-0.04956,0.63623,-5.534,2.733,-4.305
2026-06-01 13:32:22.506,2204281962,9506,2,,,,,,
2026-06-01 13:32:22.726,2204282182,9726,1,0.90112,0.00317,0.66577,1.038,-6.947,-0.405
2026-06-01 13:32:22.726,2204282182,9726,2,,,,,,
2026-06-01 13:32:22.926,2204282382,9926,1,0.88135,-0.00439,0.66797,6.893,-0.298,3.679
2026-06-01 13:32:22.926,2204282382,9926,2,,,,,,
2026-06-01 13:32:23.126,2204282582,10126,1,0.8811,-0.00854,0.68628,2.328,3.321,1.29
2026-06-01 13:32:23.126,2204282582,10126,2,,,,,,
2026-06-01 13:32:23.326,2204282782,10326,1,0.88135,-0.00269,0.66187,1.076,-1.519,0.084
2026-06-01 13:32:23.326,2204282782,10326,2,,,,,,
2026-06-01 13:32:23.526,2204282982,10526,1,0.89014,-0.01172,0.66772,0.183,0.824,-4.908
2026-06-01 13:32:23.526,2204282982,10526,2,,,,,,
2026-06-01 13:32:23.726,2204283182,10726,1,0.88574,-0.00439,0.66431,0.031,1.183,-3.145
2026-06-01 13:32:23.726,2204283182,10726,2,,,,,,
2026-06-01 13:32:23.926,2204283382,10926,1,0.8894,-0.00928,0.6626,0.321,4.527,-0.115
2026-06-01 13:32:23.926,2204283382,10926,2,,,,,,
2026-06-01 13:32:24.126,2204283582,11126,1,0.87134,0.00195,0.70166,-2.267,1.74,-0.786
2026-06-01 13:32:24.126,2204283582,11126,2,,,,,,
2026-06-01 13:32:24.326,2204283782,11326,1,0.87256,0.00049,0.71045,-2.969,4.519,-2.519
2026-06-01 13:32:24.326,2204283782,11326,2,,,,,,
2026-06-01 13:32:24.526,2204283982,11526,1,0.86987,0.00391,0.69287,3.107,-4.29,-0.176
2026-06-01 13:32:24.526,2204283982,11526,2,,,,,,
2026-06-01 13:32:24.726,2204284182,11726,1,0.89526,-0.01074,0.66699,-1.618,2.947,-1.305
2026-06-01 13:32:24.726,2204284182,11726,2,,,,,,
2026-06-01 13:32:24.926,2204284382,11926,1,0.82813,0.00439,0.73145,-4.74,5.42,-6.374
2026-06-01 13:32:24.926,2204284382,11926,2,,,,,,
2026-06-01 13:32:25.126,2204284582,12126,1,0.94385,0.01758,0.68286,9.893,0.786,1.412
2026-06-01 13:32:25.126,2204284582,12126,2,,,,,,
2026-06-01 13:32:25.326,2204284782,12326,1,0.86499,-0.00146,0.67407,3.435,0.359,0.687
2026-06-01 13:32:25.326,2204284782,12326,2,,,,,,
2026-06-01 13:32:25.526,2204284982,12526,1,0.88965,0.02148,0.67603,-2.206,2.153,-1.794
