datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz
2026-06-01 16:55:03.178,2216442634,576178,1,0.87695,-0.37573,0.55127,0.206,1.824,-0.282
2026-06-01 16:55:03.178,2216442634,576178,2,0.98193,-0.13379,-0.35474,-1.87,0.313,0.55
2026-06-01 16:55:03.378,2216442834,576378,1,0.89331,-0.37842,0.54443,0.29,1.748,-0.802
2026-06-01 16:55:03.378,2216442834,576378,2,0.97998,-0.13184,-0.35864,-1.634,0.672,0.481
2026-06-01 16:55:03.578,2216443034,576578,1,0.88354,-0.37817,0.55029,0.649,1.901,-0.695
2026-06-01 16:55:03.578,2216443034,576578,2,0.98022,-0.13184,-0.35474,-1.664,0.565,0.45
2026-06-01 16:55:03.778,2216443234,576778,1,0.88062,-0.36987,0.55322,1.061,1.656,-0.206
2026-06-01 16:55:03.778,2216443234,576778,2,0.98193,-0.13354,-0.35986,-1.763,0.122,0.656
2026-06-01 16:55:03.978,2216443434,576978,1,0.88818,-0.37524,0.5542,0.252,1.489,-0.435
2026-06-01 16:55:03.978,2216443434,576978,2,0.97827,-0.12939,-0.36523,-1.656,0.573,0.664
2026-06-01 16:55:04.178,2216443634,577178,1,0.88818,-0.37085,0.55664,0.366,1.847,-0.038
2026-06-01 16:55:04.178,2216443634,577178,2,0.97949,-0.13379,-0.35522,-1.618,0.534,0.618
2026-06-01 16:55:04.378,2216443834,577378,1,0.87939,-0.37109,0.54956,0.557,2.282,-0.405
2026-06-01 16:55:04.378,2216443834,577378,2,0.98413,-0.13232,-0.35864,-1.74,0.16,0.595
2026-06-01 16:55:04.578,2216444034,577578,1,0.88037,-0.37939,0.55176,0.496,1.595,-1.832
2026-06-01 16:55:04.578,2216444034,577578,2,0.979,-0.13062,-0.36523,-1.847,0.565,0.687
2026-06-01 16:55:04.778,2216444234,577778,1,0.88794,-0.37671,0.55054,0.435,1.794,0.153
2026-06-01 16:55:04.778,2216444234,577778,2,0.97803,-0.1355,-0.34839,-1.595,0.466,0.473
2026-06-01 16:55:04.978,2216444434,577978,1,0.88818,-0.37256,0.54956,0.786,1.58,-0.305
2026-06-01 16:55:04.978,2216444434,577978,2,0.97998,-0.12671,-0.34985,-1.58,0.137,0.74
2026-06-01 16:55:05.178,2216444634,578178,1,0.88916,-0.37036,0.54321,0.893,1.504,-0.901
2026-06-01 16:55:05.178,2216444634,578178,2,0.98047,-0.12939,-0.35815,-1.611,0.542,0.634
2026-06-01 16:55:05.378,2216444834,578378,1,0.88647,-0.39087,0.54443,1.519,0.718,-5.252
2026-06-01 16:55:05.378,2216444834,578378,2,0.97632,-0.13428,-0.36865,-1.092,0.618,0.473
2026-06-01 16:55:05.578,2216445034,578578,1,0.87231,-0.35278,0.51245,1.802,7.351,-7.969
2026-06-01 16:55:05.578,2216445034,578578,2,0.98193,-0.13501,-0.3562,-2.595,2.611,0.153
2026-06-01 16:55:05.778,2216445234,578778,1,0.87207,-0.32715,0.57983,-1.321,14.405,-1.885
2026-06-01 16:55:05.778,2216445234,578778,2,0.98633,-0.13306,-0.36157,-0.611,0.573,0.695
2026-06-01 16:55:05.978,2216445434,578978,1,0.84009,-0.33276,0.57764,0.969,-1.298,2.794
2026-06-01 16:55:05.978,2216445434,578978,2,0.979,-0.13574,-0.35645,-3.137,-2.008,0.817
2026-06-01 16:55:06.178,2216445634,579178,1,0.87598,-0.35156,0.56055,1.504,-13.656,8.183
2026-06-01 16:55:06.178,2216445634,579178,2,0.98071,-0.12524,-0.3623,-1.29,-2.824,0.985
2026-06-01 16:55:06.378,2216445834,579378,1,0.91357,-0.375,0.51294,-9.313,-15.275,-5.069
2026-06-01 16:55:06.378,2216445834,579378,2,0.97803,-0.13306,-0.3772,0.802,-0.298,0.969
2026-06-01 16:55:06.578,2216446034,579578,1,0.94092,-0.37524,0.40845,-12.137,-19.542,-5.649
